https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XPRT,Volume USDT
1663459200,2022-09-18 00:00:00,XPRT/USDT,0.616,0.623,0.605,0.605,8819.8396,5376.0073799
1663372800,2022-09-17 00:00:00,XPRT/USDT,0.629,0.637,0.575,0.611,99414.2263,60330.2423937
1663286400,2022-09-16 00:00:00,XPRT/USDT,0.625,0.638,0.616,0.629,17080.204,10738.3752821
1663200000,2022-09-15 00:00:00,XPRT/USDT,0.627,0.638,0.618,0.625,14706.1994,9243.5003775
1663113600,2022-09-14 00:00:00,XPRT/USDT,0.63,0.641,0.613,0.629,107110.5923,67182.6298903
1663027200,2022-09-13 00:00:00,XPRT/USDT,0.652,0.668,0.63,0.63,34968.4457,22349.9204295
1662940800,2022-09-12 00:00:00,XPRT/USDT,0.665,0.67,0.635,0.656,82249.4541,53188.6633978
1662854400,2022-09-11 00:00:00,XPRT/USDT,0.661,0.679,0.64,0.665,77403.0497,50635.4363404
1662768000,2022-09-10 00:00:00,XPRT/USDT,0.659,0.678,0.623,0.661,94748.117,60849.9130291
1662681600,2022-09-09 00:00:00,XPRT/USDT,0.655,0.763,0.634,0.659,132567.811,89679.6329606
1662595200,2022-09-08 00:00:00,XPRT/USDT,0.654,0.669,0.63,0.654,26771.3082,17358.3762412
1662508800,2022-09-07 00:00:00,XPRT/USDT,0.63,0.654,0.618,0.652,12421.237,7869.6027098
1662422400,2022-09-06 00:00:00,XPRT/USDT,0.65,0.686,0.626,0.63,52133.53,33764.7184862
1662336000,2022-09-05 00:00:00,XPRT/USDT,0.654,0.672,0.626,0.647,40102.6251,25957.8070328
1662249600,2022-09-04 00:00:00,XPRT/USDT,0.66,0.677,0.64,0.66,24751.3667,16514.5572982
1662163200,2022-09-03 00:00:00,XPRT/USDT,0.675,0.681,0.642,0.66,41400.9418,27321.1929462
1662076800,2022-09-02 00:00:00,XPRT/USDT,0.689,0.779,0.67,0.675,65057.4432,44959.6448055
1661990400,2022-09-01 00:00:00,XPRT/USDT,0.672,0.845,0.655,0.689,76165.2413,54411.3967868
1661904000,2022-08-31 00:00:00,XPRT/USDT,0.69,0.711,0.66,0.667,49536.0768,33832.5422511
1661817600,2022-08-30 00:00:00,XPRT/USDT,0.691,0.704,0.674,0.689,16024.0636,11110.1325484
1661731200,2022-08-29 00:00:00,XPRT/USDT,0.65,0.706,0.621,0.697,79566.8624,52760.2210228
1661644800,2022-08-28 00:00:00,XPRT/USDT,0.669,0.894,0.641,0.651,141745.9988,99102.5154422
1661558400,2022-08-27 00:00:00,XPRT/USDT,0.66,0.715,0.649,0.669,149723.19044444,101370.48601506368
1661472000,2022-08-26 00:00:00,XPRT/USDT,0.684,0.708,0.652,0.654,66899.8206,45452.8214663
1661385600,2022-08-25 00:00:00,XPRT/USDT,0.684,0.697,0.671,0.685,42971.133,29340.0395321
1661299200,2022-08-24 00:00:00,XPRT/USDT,0.69,0.7,0.669,0.679,36805.9995312,24972.53601366
1661212800,2022-08-23 00:00:00,XPRT/USDT,0.693,0.7,0.674,0.694,40535.3629,27874.4618058
1661126400,2022-08-22 00:00:00,XPRT/USDT,0.76,0.773,0.687,0.7,52655.5431,37531.3918299
1661040000,2022-08-21 00:00:00,XPRT/USDT,0.715,0.799,0.704,0.76,41339.7246,30650.3273326
1660953600,2022-08-20 00:00:00,XPRT/USDT,0.709,0.778,0.7,0.715,58841.411,42607.2402684
1660867200,2022-08-19 00:00:00,XPRT/USDT,0.724,0.737,0.696,0.709,42456.5886,30266.8876409
1660780800,2022-08-18 00:00:00,XPRT/USDT,0.742,0.768,0.725,0.726,23780.0557,17652.0989927
1660694400,2022-08-17 00:00:00,XPRT/USDT,0.774,0.777,0.739,0.742,45240.0316,34225.1383438
1660608000,2022-08-16 00:00:00,XPRT/USDT,0.775,0.888,0.763,0.771,103948.9175,82772.3964613
1660521600,2022-08-15 00:00:00,XPRT/USDT,0.746,0.93,0.741,0.775,252783.3657,202984.4837437
1660435200,2022-08-14 00:00:00,XPRT/USDT,0.761,0.786,0.74,0.746,45764.589,34815.1589872
1660348800,2022-08-13 00:00:00,XPRT/USDT,0.751,0.865,0.734,0.76,143379.5894,112336.2548325
1660262400,2022-08-12 00:00:00,XPRT/USDT,0.715,0.826,0.708,0.751,107845.1111,80552.1867396
1660176000,2022-08-11 00:00:00,XPRT/USDT,0.732,0.752,0.7,0.71,84863.2812,61521.1223774
