https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3L,Volume USDT
1663459200,2022-09-18 00:00:00,UNI3L/USDT,0.000773,0.000773,0.000744,0.000766,4491386.2905,3388.5065076679
1663455600,2022-09-17 23:00:00,UNI3L/USDT,0.000768,0.000782,0.000765,0.000773,735094.6775,564.3774108381
1663452000,2022-09-17 22:00:00,UNI3L/USDT,0.000754,0.000768,0.000754,0.000767,1432351.6618,1092.4100193333
1663448400,2022-09-17 21:00:00,UNI3L/USDT,0.000764,0.000765,0.000757,0.000757,3404258.8477,2599.9866987
1663444800,2022-09-17 20:00:00,UNI3L/USDT,0.000755,0.000764,0.000749,0.000764,1070040.9948,815.9321998521
1663441200,2022-09-17 19:00:00,UNI3L/USDT,0.000751,0.000753,0.000748,0.000748,239830.2422,179.4354423617
1663437600,2022-09-17 18:00:00,UNI3L/USDT,0.00076,0.000764,0.000757,0.000757,36770.3035,27.9350012189
1663434000,2022-09-17 17:00:00,UNI3L/USDT,0.000768,0.000771,0.000752,0.000753,191871.5227,145.5572920177
1663430400,2022-09-17 16:00:00,UNI3L/USDT,0.000748,0.000769,0.000748,0.000764,1852415.0343,1411.1160933956
1663426800,2022-09-17 15:00:00,UNI3L/USDT,0.000748,0.000753,0.000741,0.000745,7300662.9348,5494.2852119997
1663423200,2022-09-17 14:00:00,UNI3L/USDT,0.000737,0.000748,0.000731,0.000748,4152757.0262,3043.5928463054
1663419600,2022-09-17 13:00:00,UNI3L/USDT,0.000746,0.000746,0.000729,0.000729,217603.2985,160.7315314776
1663416000,2022-09-17 12:00:00,UNI3L/USDT,0.000717,0.000749,0.000706,0.000749,12474061.9787,8896.6775758485
1663412400,2022-09-17 11:00:00,UNI3L/USDT,0.000722,0.000724,0.000715,0.00072,376322.8534,270.1728179335
1663408800,2022-09-17 10:00:00,UNI3L/USDT,0.000732,0.000732,0.000712,0.000722,427990.4598,307.6652062109
1663405200,2022-09-17 09:00:00,UNI3L/USDT,0.000732,0.000733,0.000723,0.000733,372597.2741,270.6599813119
