https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/UAH,54300.2966,54443.5478,54102.8038,54241.9451,386352.6698564992,7.12276577
1663545600000,2022-09-19 00:00:00,ETH/UAH,53789.8779,54625.0269,53789.8779,54337.298,1682652.2397064,30.9668
1663542000000,2022-09-18 23:00:00,ETH/UAH,54130.8543,54782.8463,53794.7615,53925.0104,1610193.5538553505,29.85986543
1663538400000,2022-09-18 22:00:00,ETH/UAH,53484.2261,54214.3685,53484.2261,54173.4075,1538172.3283950821,28.39349414
1663534800000,2022-09-18 21:00:00,ETH/UAH,55316.2585,55321.7251,53143.1,53897.162,1787155.4518547037,33.15861885
1663531200000,2022-09-18 20:00:00,ETH/UAH,55702.6689,55702.6689,55202.9501,55289.3994,1515857.0503267406,27.41677549
1663527600000,2022-09-18 19:00:00,ETH/UAH,55408.0986,55864.5023,55205.4155,55670.3241,1492758.0291944647,26.81425074
1663524000000,2022-09-18 18:00:00,ETH/UAH,55539.851,55932.2807,55142.8633,55365.5846,1764791.804567715,31.87524917
1663520400000,2022-09-18 17:00:00,ETH/UAH,56257.4419,56278.5526,55453.3007,55494.4109,1620375.0662973148,29.1988876
1663516800000,2022-09-18 16:00:00,ETH/UAH,57130.1513,57299.4274,56000.0,56253.1592,1542581.0692845243,27.42212333
1663513200000,2022-09-18 15:00:00,ETH/UAH,57255.5231,57425.3489,57005.3019,57080.4765,1950558.1761553031,34.17207241
1663509600000,2022-09-18 14:00:00,ETH/UAH,57839.7069,57859.8159,57102.3548,57148.3051,1592534.349127797,27.86669432
1663506000000,2022-09-18 13:00:00,ETH/UAH,57987.8195,58013.6974,57739.3713,57850.5221,1719860.245534618,29.72938157
1663502400000,2022-09-18 12:00:00,ETH/UAH,57800.1083,58029.8678,57474.5001,57964.5748,1810602.7459428953,31.23636725
1663498800000,2022-09-18 11:00:00,ETH/UAH,57706.3075,57893.1414,57656.0049,57830.2799,1800601.4378969597,31.1359627
1663495200000,2022-09-18 10:00:00,ETH/UAH,57423.4219,58112.1999,56777.0001,57704.5845,1724523.2687583608,29.88537711
