https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOV,Volume USDT
1663372800,2022-09-17 00:00:00,SOV/USDT,0.462,0.473,0.462,0.466,554.1314,259.5056772
1663369200,2022-09-16 23:00:00,SOV/USDT,0.461,0.461,0.461,0.461,0.3984,0.1836624
1663365600,2022-09-16 22:00:00,SOV/USDT,0.462,0.462,0.46,0.462,65.5733,30.2420676
1663362000,2022-09-16 21:00:00,SOV/USDT,0.462,0.462,0.462,0.462,0.4194,0.1937628
1663358400,2022-09-16 20:00:00,SOV/USDT,0.462,0.463,0.462,0.463,0.713,0.3296775
1663354800,2022-09-16 19:00:00,SOV/USDT,0.462,0.462,0.462,0.462,0.4647,0.2146914
1663351200,2022-09-16 18:00:00,SOV/USDT,0.463,0.464,0.463,0.464,114,52.8658718
1663347600,2022-09-16 17:00:00,SOV/USDT,0.466,0.466,0.458,0.458,2217.8821,1016.8073338
1663344000,2022-09-16 16:00:00,SOV/USDT,0.468,0.468,0.462,0.462,1559.0163,721.2850363
1663340400,2022-09-16 15:00:00,SOV/USDT,0.467,0.467,0.466,0.466,20.8211,9.7212975
1663336800,2022-09-16 14:00:00,SOV/USDT,0.463,0.468,0.462,0.467,1169.1605,541.161929
1663333200,2022-09-16 13:00:00,SOV/USDT,0.466,0.466,0.462,0.464,1016.4061,470.7973183
1663329600,2022-09-16 12:00:00,SOV/USDT,0.466,0.466,0.463,0.463,675.2185,312.7482328
1663326000,2022-09-16 11:00:00,SOV/USDT,0.466,0.466,0.463,0.463,108.8231,50.5946402
1663322400,2022-09-16 10:00:00,SOV/USDT,0.466,0.468,0.466,0.468,54.0746,25.2797889
1663318800,2022-09-16 09:00:00,SOV/USDT,0.466,0.468,0.463,0.468,372.6775,173.3151986
1663315200,2022-09-16 08:00:00,SOV/USDT,0.467,0.488,0.463,0.467,2620.397,1230.4937437
1663311600,2022-09-16 07:00:00,SOV/USDT,0.467,0.467,0.466,0.466,2.8024,1.3080554
1663308000,2022-09-16 06:00:00,SOV/USDT,0.467,0.467,0.466,0.467,235.3835,109.9233941
1663304400,2022-09-16 05:00:00,SOV/USDT,0.466,0.466,0.466,0.466,0,0
1663300800,2022-09-16 04:00:00,SOV/USDT,0.466,0.466,0.466,0.466,0,0
1663297200,2022-09-16 03:00:00,SOV/USDT,0.466,0.466,0.466,0.466,0,0
1663293600,2022-09-16 02:00:00,SOV/USDT,0.466,0.466,0.466,0.466,0,0
1663290000,2022-09-16 01:00:00,SOV/USDT,0.466,0.466,0.463,0.466,914.0225,423.8775439
1663286400,2022-09-16 00:00:00,SOV/USDT,0.466,0.466,0.466,0.466,0,0
1663282800,2022-09-15 23:00:00,SOV/USDT,0.466,0.466,0.466,0.466,10.1573,4.7333018
1663279200,2022-09-15 22:00:00,SOV/USDT,0.473,0.473,0.466,0.466,883.458,412.9318918
1663275600,2022-09-15 21:00:00,SOV/USDT,0.475,0.475,0.474,0.474,90.5027,42.9133833
1663272000,2022-09-15 20:00:00,SOV/USDT,0.476,0.477,0.476,0.476,122.3834,58.2777375
1663268400,2022-09-15 19:00:00,SOV/USDT,0.477,0.477,0.477,0.477,2.0922,0.9979794
1663264800,2022-09-15 18:00:00,SOV/USDT,0.478,0.479,0.471,0.476,358.2995,169.6718624
1663261200,2022-09-15 17:00:00,SOV/USDT,0.475,0.482,0.475,0.479,343.8464,165.4087931
1663257600,2022-09-15 16:00:00,SOV/USDT,0.473,0.475,0.473,0.475,54.21,25.6745753
1663254000,2022-09-15 15:00:00,SOV/USDT,0.473,0.473,0.468,0.473,2159.7725,1011.0388118
1663250400,2022-09-15 14:00:00,SOV/USDT,0.476,0.476,0.473,0.473,4.5803,2.1718771
1663246800,2022-09-15 13:00:00,SOV/USDT,0.476,0.476,0.476,0.476,2.0424,0.9721824
1663243200,2022-09-15 12:00:00,SOV/USDT,0.478,0.478,0.469,0.477,1587.886,747.1919355
1663239600,2022-09-15 11:00:00,SOV/USDT,0.482,0.483,0.468,0.475,1391.6014,662.0020611
1663236000,2022-09-15 10:00:00,SOV/USDT,0.477,0.481,0.477,0.481,21.94,10.5270971
1663232400,2022-09-15 09:00:00,SOV/USDT,0.48,0.486,0.472,0.472,1598.2496,760.5786499
1663228800,2022-09-15 08:00:00,SOV/USDT,0.479,0.48,0.475,0.48,168.7111,80.5215618
1663225200,2022-09-15 07:00:00,SOV/USDT,0.483,0.495,0.47,0.484,3975.1918,1901.6227901
1663221600,2022-09-15 06:00:00,SOV/USDT,0.486,0.489,0.48,0.48,283.9597,138.1636632
1663218000,2022-09-15 05:00:00,SOV/USDT,0.49,0.49,0.477,0.485,1012.1782,486.6008183
1663214400,2022-09-15 04:00:00,SOV/USDT,0.49,0.49,0.488,0.488,159.7836,78.0029616
1663210800,2022-09-15 03:00:00,SOV/USDT,0.493,0.493,0.489,0.489,98.3783,48.2970859
1663207200,2022-09-15 02:00:00,SOV/USDT,0.493,0.493,0.493,0.493,0,0
1663203600,2022-09-15 01:00:00,SOV/USDT,0.493,0.493,0.493,0.493,2.4465,1.2061245
1663200000,2022-09-15 00:00:00,SOV/USDT,0.499,0.499,0.487,0.494,4214.6667,2065.2274223
1663196400,2022-09-14 23:00:00,SOV/USDT,0.502,0.502,0.497,0.497,40.9504,20.4273178
1663192800,2022-09-14 22:00:00,SOV/USDT,0.496,0.518,0.496,0.503,4300.451,2194.3517608
1663189200,2022-09-14 21:00:00,SOV/USDT,0.493,0.5,0.49,0.5,1381.4053,686.6344347
1663185600,2022-09-14 20:00:00,SOV/USDT,0.492,0.493,0.49,0.493,5945.5151,2913.4394828
1663182000,2022-09-14 19:00:00,SOV/USDT,0.491,0.491,0.49,0.49,105.6094,51.8531623
1663178400,2022-09-14 18:00:00,SOV/USDT,0.493,0.493,0.49,0.49,8522.1521,4176.0280187
1663174800,2022-09-14 17:00:00,SOV/USDT,0.493,0.493,0.493,0.493,1.1085,0.5464905
1663171200,2022-09-14 16:00:00,SOV/USDT,0.496,0.496,0.491,0.491,396.4636,194.9156763
1663167600,2022-09-14 15:00:00,SOV/USDT,0.495,0.501,0.495,0.501,286.6258,142.605565
1663164000,2022-09-14 14:00:00,SOV/USDT,0.495,0.497,0.49,0.49,6316.9526,3096.9746448
1663160400,2022-09-14 13:00:00,SOV/USDT,0.496,0.497,0.49,0.495,8586.9839,4214.6109144
1663156800,2022-09-14 12:00:00,SOV/USDT,0.497,0.499,0.491,0.491,1027.3575,505.9877551
1663153200,2022-09-14 11:00:00,SOV/USDT,0.502,0.515,0.494,0.494,2198.604,1108.6771916
1663149600,2022-09-14 10:00:00,SOV/USDT,0.506,0.506,0.49,0.501,3680.3988,1835.8407695
1663146000,2022-09-14 09:00:00,SOV/USDT,0.504,0.504,0.504,0.504,0,0
1663142400,2022-09-14 08:00:00,SOV/USDT,0.502,0.514,0.502,0.504,4203.1204,2147.2128919
1663138800,2022-09-14 07:00:00,SOV/USDT,0.499,0.514,0.493,0.499,2240.3244,1127.3718468
1663135200,2022-09-14 06:00:00,SOV/USDT,0.494,0.503,0.494,0.499,618.0848,308.3980504
1663131600,2022-09-14 05:00:00,SOV/USDT,0.49,0.49,0.49,0.49,0,0
1663128000,2022-09-14 04:00:00,SOV/USDT,0.493,0.493,0.49,0.49,103.9995,51.1739015
1663124400,2022-09-14 03:00:00,SOV/USDT,0.492,0.496,0.491,0.496,625.1442,309.4886864
1663120800,2022-09-14 02:00:00,SOV/USDT,0.495,0.495,0.49,0.491,1154.9372,567.1181398
1663117200,2022-09-14 01:00:00,SOV/USDT,0.495,0.495,0.493,0.493,56.0306,27.6726788
1663113600,2022-09-14 00:00:00,SOV/USDT,0.495,0.495,0.495,0.495,0.2529,0.1251855
1663110000,2022-09-13 23:00:00,SOV/USDT,0.495,0.495,0.493,0.493,38.675,19.1153637
1663106400,2022-09-13 22:00:00,SOV/USDT,0.497,0.498,0.49,0.495,5641.9745,2769.4133076
1663102800,2022-09-13 21:00:00,SOV/USDT,0.493,0.495,0.49,0.495,3712.7577,1824.0039166
1663099200,2022-09-13 20:00:00,SOV/USDT,0.496,0.496,0.491,0.491,3705.5022,1821.4112468
1663095600,2022-09-13 19:00:00,SOV/USDT,0.501,0.502,0.493,0.496,5200.0582,2578.8212194
1663092000,2022-09-13 18:00:00,SOV/USDT,0.502,0.504,0.497,0.501,435.9243,218.2435235
1663088400,2022-09-13 17:00:00,SOV/USDT,0.495,0.506,0.492,0.505,3241.1065,1632.1315823
1663084800,2022-09-13 16:00:00,SOV/USDT,0.491,0.506,0.491,0.492,4659.2607,2339.3836365
1663081200,2022-09-13 15:00:00,SOV/USDT,0.495,0.495,0.49,0.491,6982.3697,3424.9199138
1663077600,2022-09-13 14:00:00,SOV/USDT,0.502,0.504,0.491,0.491,1376.5715,683.0383241
1663074000,2022-09-13 13:00:00,SOV/USDT,0.5,0.51,0.472,0.499,12841.7516,6357.9514745
1663070400,2022-09-13 12:00:00,SOV/USDT,0.531,0.531,0.47,0.498,36222.4056,18195.9374469
1663066800,2022-09-13 11:00:00,SOV/USDT,0.522,0.531,0.521,0.531,13147.2674,6949.1002371
1663063200,2022-09-13 10:00:00,SOV/USDT,0.519,0.526,0.507,0.518,3008.746,1548.3265388
1663059600,2022-09-13 09:00:00,SOV/USDT,0.537,0.539,0.5,0.519,45251.6182,23411.5582107
1663056000,2022-09-13 08:00:00,SOV/USDT,0.552,0.552,0.519,0.542,18152.3979,9649.5335208
1663052400,2022-09-13 07:00:00,SOV/USDT,0.555,0.563,0.548,0.552,4215.6007,2355.5325843
1663048800,2022-09-13 06:00:00,SOV/USDT,0.562,0.562,0.54,0.554,14387.9008,8008.84732
1663045200,2022-09-13 05:00:00,SOV/USDT,0.573,0.582,0.556,0.563,13125.5406,7395.3331598
1663041600,2022-09-13 04:00:00,SOV/USDT,0.564,0.585,0.563,0.571,11022.6496,6292.9675754
1663038000,2022-09-13 03:00:00,SOV/USDT,0.551,0.585,0.551,0.564,9564.9702,5463.5836986
1663034400,2022-09-13 02:00:00,SOV/USDT,0.555,0.569,0.549,0.552,6748.1661,3771.8686364
1663030800,2022-09-13 01:00:00,SOV/USDT,0.53,0.557,0.53,0.557,5868.8303,3172.2831232
1663027200,2022-09-13 00:00:00,SOV/USDT,0.538,0.538,0.521,0.535,3400.979,1810.2716872
1663023600,2022-09-12 23:00:00,SOV/USDT,0.535,0.538,0.535,0.538,2148.246,1154.1063661
1663020000,2022-09-12 22:00:00,SOV/USDT,0.528,0.535,0.525,0.535,755.1055,399.9199887
1663016400,2022-09-12 21:00:00,SOV/USDT,0.533,0.542,0.517,0.528,23834.4426,12757.1401793
1663012800,2022-09-12 20:00:00,SOV/USDT,0.572,0.572,0.517,0.532,49549.7676,26991.6744228
1663009200,2022-09-12 19:00:00,SOV/USDT,0.543,0.577,0.53,0.572,40121.3742,22506.4960627
1663005600,2022-09-12 18:00:00,SOV/USDT,0.586,0.6,0.525,0.546,45126.7678,25472.3818651
1663002000,2022-09-12 17:00:00,SOV/USDT,0.555,0.6,0.551,0.586,33933.0724,19637.4683163
1662998400,2022-09-12 16:00:00,SOV/USDT,0.576,0.584,0.552,0.552,11554.8118,6473.2537922
1662994800,2022-09-12 15:00:00,SOV/USDT,0.545,0.61,0.535,0.576,67880.1838,38211.7378798
1662991200,2022-09-12 14:00:00,SOV/USDT,0.59,0.624,0.538,0.546,47800.1603,27766.599039
