https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume ZAR,tradecount
1617354000000,2021-04-02 09:00:00,ETH/ZAR,28150.40000000,29977.50000000,27067.10000000,27850.40000000,0.32966000,9693.04265800,12
1617350400000,2021-04-02 08:00:00,ETH/ZAR,28064.80000000,28120.30000000,28064.80000000,28120.30000000,0.19973000,5608.48041500,6
1617346800000,2021-04-02 07:00:00,ETH/ZAR,27850.40000000,27850.40000000,27850.40000000,27850.40000000,0.00962000,267.92084800,1
1617343200000,2021-04-02 06:00:00,ETH/ZAR,27850.40000000,27850.40000000,27850.40000000,27850.40000000,0.04224000,1176.40089600,3
1617339600000,2021-04-02 05:00:00,ETH/ZAR,27792.30000000,27792.30000000,27067.10000000,27067.10000000,0.01684000,462.45279600,2
1617336000000,2021-04-02 04:00:00,ETH/ZAR,27850.40000000,28006.60000000,27792.30000000,27792.30000000,0.06899000,1927.65278300,5
1617332400000,2021-04-02 03:00:00,ETH/ZAR,27067.10000000,27067.10000000,27067.10000000,27067.10000000,0.00140000,37.89394000,1
1617328800000,2021-04-02 02:00:00,ETH/ZAR,27821.10000000,27850.40000000,26922.30000000,27067.10000000,0.10486000,2880.77509400,6
1617325200000,2021-04-02 01:00:00,ETH/ZAR,27821.10000000,27821.10000000,27821.10000000,27821.10000000,0.00000000,0.00000000,0
1617321600000,2021-04-02 00:00:00,ETH/ZAR,27821.10000000,27821.10000000,27821.10000000,27821.10000000,0.00000000,0.00000000,0
1617318000000,2021-04-01 23:00:00,ETH/ZAR,27821.10000000,27821.10000000,27821.10000000,27821.10000000,0.18976000,5279.33193600,1
1617314400000,2021-04-01 22:00:00,ETH/ZAR,27123.60000000,27716.00000000,27123.60000000,27716.00000000,0.86454000,23636.17224100,5
1617310800000,2021-04-01 21:00:00,ETH/ZAR,26361.00000000,27593.60000000,26244.30000000,27123.70000000,3.34314000,91991.90269500,15
1617307200000,2021-04-01 20:00:00,ETH/ZAR,27514.90000000,27755.70000000,26360.80000000,26360.80000000,1.83657000,50167.09002200,12
1617303600000,2021-04-01 19:00:00,ETH/ZAR,27600.00000000,27618.70000000,27433.70000000,27564.10000000,3.96849000,108979.71690700,12
1617300000000,2021-04-01 18:00:00,ETH/ZAR,27052.10000000,27659.80000000,26360.80000000,27659.80000000,8.29796000,225108.34495200,18
1617296400000,2021-04-01 17:00:00,ETH/ZAR,25939.70000000,27146.40000000,25939.70000000,27067.10000000,13.37970000,352989.76466400,29
1617292800000,2021-04-01 16:00:00,ETH/ZAR,25850.90000000,26020.40000000,25762.10000000,25762.10000000,0.96895000,25208.32437200,7
1617289200000,2021-04-01 15:00:00,ETH/ZAR,25495.80000000,25762.10000000,25407.00000000,25762.10000000,0.17141000,4382.30446400,31
1617285600000,2021-04-01 14:00:00,ETH/ZAR,25318.20000000,25462.70000000,25229.50000000,25462.70000000,0.38690000,9798.66199200,7
1617282000000,2021-04-01 13:00:00,ETH/ZAR,25407.00000000,25584.60000000,25140.70000000,25318.20000000,0.07294000,1849.63482000,18
1617278400000,2021-04-01 12:00:00,ETH/ZAR,25318.20000000,25623.90000000,25053.60000000,25318.20000000,0.16111000,4088.54511000,18
1617274800000,2021-04-01 11:00:00,ETH/ZAR,25673.30000000,25673.30000000,25053.60000000,25407.00000000,0.25899000,6555.87288500,26
1617271200000,2021-04-01 10:00:00,ETH/ZAR,25850.90000000,25850.90000000,25673.30000000,25762.10000000,0.03282000,845.99785800,6
1617267600000,2021-04-01 09:00:00,ETH/ZAR,25976.10000000,26006.60000000,24940.50000000,25762.10000000,0.77806000,19961.87930400,49
1617264000000,2021-04-01 08:00:00,ETH/ZAR,25958.80000000,26348.50000000,25780.80000000,26109.70000000,7.46807000,194706.00181000,29
1617260400000,2021-04-01 07:00:00,ETH/ZAR,25673.30000000,25958.80000000,25584.60000000,25958.80000000,1.27115000,32969.93988100,18
1617256800000,2021-04-01 06:00:00,ETH/ZAR,25673.30000000,25762.10000000,25527.50000000,25584.60000000,0.75255000,19243.94557000,22
1617253200000,2021-04-01 05:00:00,ETH/ZAR,25584.60000000,25584.60000000,25495.80000000,25495.80000000,0.17372000,4430.58758400,8
1617249600000,2021-04-01 04:00:00,ETH/ZAR,25762.10000000,25885.70000000,25318.20000000,25495.80000000,2.64188000,67488.44671000,45
1617246000000,2021-04-01 03:00:00,ETH/ZAR,25584.60000000,25939.70000000,25495.80000000,25850.90000000,0.90625000,23490.50129000,14
1617242400000,2021-04-01 02:00:00,ETH/ZAR,25673.30000000,25762.10000000,25584.60000000,25673.30000000,0.02735000,702.16530200,5
1617238800000,2021-04-01 01:00:00,ETH/ZAR,25762.10000000,25836.60000000,25584.60000000,25762.10000000,0.34286000,8783.88919400,15
1617235200000,2021-04-01 00:00:00,ETH/ZAR,25495.80000000,25795.70000000,25495.80000000,25673.30000000,0.11945000,3062.43738700,15
