https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/USDT,19412.7,19508.31,19392.95,19485.6,40016.783266368,2.05365928
1663459200000,2022-09-18 00:00:00,BTC/USDT,20112.84,20116.3,19338.08,19420.0,1071109.3622342,55.15496201
1663372800000,2022-09-17 00:00:00,BTC/USDT,19801.48,20181.0,19750.51,20113.99,958979.3232237621,47.67722979
1663286400000,2022-09-16 00:00:00,BTC/USDT,19692.91,19885.0,19340.28,19801.35,853059.5637826769,43.08087902
1663200000000,2022-09-15 00:00:00,BTC/USDT,20217.0,20325.05,19521.49,19701.96,1149344.259381534,58.33654415
1663113600000,2022-09-14 00:00:00,BTC/USDT,20166.94,20519.0,19646.81,20223.85,1228061.7657059045,60.72344117
1663027200000,2022-09-13 00:00:00,BTC/USDT,22373.19,22783.68,20057.36,20168.16,2310950.6550636096,114.58410956
1662940800000,2022-09-12 00:00:00,BTC/USDT,21832.22,22476.81,21550.84,22400.26,1391101.1084738798,62.10200723
1662854400000,2022-09-11 00:00:00,BTC/USDT,21661.3,21830.0,21360.0,21830,889978.8881531999,40.76861604
1662768000000,2022-09-10 00:00:00,BTC/USDT,21370.64,21785.31,21137.63,21650.0,1003947.4667255,46.37170747
1662681600000,2022-09-09 00:00:00,BTC/USDT,19316.65,21500.0,19298.68,21361.77,1733541.3067763448,81.15157624
1662595200000,2022-09-08 00:00:00,BTC/USDT,19304.39,19442.11,19019.96,19312.07,2034722.587568724,105.36014977
1662508800000,2022-09-07 00:00:00,BTC/USDT,18794.69,19445.97,18550.0,19290.97,1314684.4077940718,68.15024894
1662422400000,2022-09-06 00:00:00,BTC/USDT,19792.1,20168.0,18668.08,18784.16,2862495.2281667404,152.38878013
1662336000000,2022-09-05 00:00:00,BTC/USDT,20000.0,20048.12,19649.16,19788.8,972411.8428764159,49.13950532
1662249600000,2022-09-04 00:00:00,BTC/USDT,19835,20013.57,19605.0,19997.47,687666.383196924,34.3876692
1662163200000,2022-09-03 00:00:00,BTC/USDT,19949.9,20048.76,19660.25,19832.0,907611.2876296,45.7649903
1662076800000,2022-09-02 00:00:00,BTC/USDT,20119.86,20430.0,19770.0,19974.77,1208544.3086694004,60.50354065
1661990400000,2022-09-01 00:00:00,BTC/USDT,20049.97,20201.08,19589.97,20121.0,1097186.56424799,54.52942519
1661904000000,2022-08-31 00:00:00,BTC/USDT,19821.66,20485.0,19814.51,20035.28,923911.6837402775,46.11423867
1661817600000,2022-08-30 00:00:00,BTC/USDT,20285.27,20555,19572.0,19797.9,962728.3410219421,48.62780098
1661731200000,2022-08-29 00:00:00,BTC/USDT,19573.92,20410.0,19532.4,20298.0,927188.83694136,45.67882732
1661644800000,2022-08-28 00:00:00,BTC/USDT,20010.98,20145.84,19538.0,19550.43,717557.6637581022,36.70290954
1661558400000,2022-08-27 00:00:00,BTC/USDT,20232.16,20380.62,19812.02,20031.31,880624.9006284366,43.96242186
1661472000000,2022-08-26 00:00:00,BTC/USDT,21557.9,21849.0,20126.42,20242.88,1861645.4842856193,91.96544584
1661385600000,2022-08-25 00:00:00,BTC/USDT,21375.0,21805.02,21326.4,21568.93,972119.8083121245,45.07037708
1661299200000,2022-08-24 00:00:00,BTC/USDT,21527.98,21870.0,21164.99,21375.33,874003.3520455186,40.88841445
1661212800000,2022-08-23 00:00:00,BTC/USDT,21391.7,21658.32,20920.0,21516.46,1056755.5299218302,49.11381937
1661126400000,2022-08-22 00:00:00,BTC/USDT,21518.99,21523.22,21395.93,21431.03,34030.1422294536,1.58789112
1661040000000,2022-08-21 00:00:00,BTC/USDT,21157.12,21778.0,21079.79,21515.24,1117710.4577106172,51.94970903
1660953600000,2022-08-20 00:00:00,BTC/USDT,20847.03,21359.0,20794.59,21133.32,980901.402571038,46.41492215
1660867200000,2022-08-19 00:00:00,BTC/USDT,23198.0,23201.48,20820.51,20829.45,2810005.8262205836,134.90542603
1660780800000,2022-08-18 00:00:00,BTC/USDT,23319.45,23596.01,23144.0,23206.93,797976.7606948463,34.38527891
1660694400000,2022-08-17 00:00:00,BTC/USDT,23845.43,24416.0,23201.0,23323.33,2073194.2352728348,88.88928962
1660608000000,2022-08-16 00:00:00,BTC/USDT,24084.0,24242.61,23699.83,23854.32,978437.71844658,41.01721275
1660521600000,2022-08-15 00:00:00,BTC/USDT,24303.49,25175.0,23800.38,24095.03,1863517.2409760882,77.34031628
1660435200000,2022-08-14 00:00:00,BTC/USDT,24442.38,25000.01,24160.0,24305.01,1198467.5760881705,49.30948706
1660348800000,2022-08-13 00:00:00,BTC/USDT,24396.15,24873.0,24300,24449.15,1461512.4329733786,59.77763779
1660262400000,2022-08-12 00:00:00,BTC/USDT,23942.58,24433,23618.4,24395.06,1329164.7140743302,54.48499467
1660176000000,2022-08-11 00:00:00,BTC/USDT,23964.63,24860.0,23874.99,23939.44,1395004.9956732623,58.27224846
