https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SXPHALF,Volume USDT
1663545600000.0,2022-09-19 00:00:00,SXPHALF/USDT,6422.0,6465.5,6403.0,6447.0,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,SXPHALF/USDT,6442.0,6461.5,6408.5,6422.0,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,SXPHALF/USDT,6437.0,6450.0,6401.0,6442.0,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,SXPHALF/USDT,6549.5,6562.0,6359.5,6437.0,0.0,0.0
1663531200000.0,2022-09-18 20:00:00,SXPHALF/USDT,6567.0,6586.0,6544.5,6549.5,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,SXPHALF/USDT,6571.0,6587.5,6558.5,6567.0,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,SXPHALF/USDT,6569.0,6592.5,6555.5,6571.0,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,SXPHALF/USDT,6601.5,6611.5,6562.0,6569.0,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,SXPHALF/USDT,6620.0,6628.5,6582.5,6601.5,0.0,0.0
1663513200000.0,2022-09-18 15:00:00,SXPHALF/USDT,6623.0,6640.0,6612.0,6620.0,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,SXPHALF/USDT,6656.5,6668.5,6609.0,6623.0,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,SXPHALF/USDT,6661.5,6668.5,6651.0,6656.5,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,SXPHALF/USDT,6655.5,6674.0,6635.0,6661.5,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,SXPHALF/USDT,6650.5,6672.5,6646.0,6655.5,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,SXPHALF/USDT,6640.5,6674.5,6633.5,6650.5,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,SXPHALF/USDT,6695.5,6718.0,6636.0,6640.5,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,SXPHALF/USDT,6693.5,6709.5,6689.0,6695.5,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,SXPHALF/USDT,6700.0,6709.5,6692.0,6693.5,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,SXPHALF/USDT,6711.5,6720.5,6698.5,6700.0,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,SXPHALF/USDT,6700.0,6720.5,6697.0,6711.5,0.0,0.0
