https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USD
1663545600000.0,2022-09-19 00:00:00,EUR/USD,1.0026,1.003,1.0024,1.0026,1999.1896070217435,2004.3875
1663459200000.0,2022-09-18 00:00:00,EUR/USD,1.0019,1.0026,1.0007,1.0026,1089861.389487333,1092695.0291
1663372800000.0,2022-09-17 00:00:00,EUR/USD,1.002,1.0025,1.0017,1.0019,1154563.4685098312,1156757.1391
1663286400000.0,2022-09-16 00:00:00,EUR/USD,1.0,1.0041,0.9958,1.002,2804373.926746507,2809982.6746
1663200000000.0,2022-09-15 00:00:00,EUR/USD,0.9995,1.0028,0.9967,1.0,4503212.1287,4503212.1287
1663113600000.0,2022-09-14 00:00:00,EUR/USD,0.9987,1.0028,0.9969,0.9995,3892808.4742371184,3890862.07
1663027200000.0,2022-09-13 00:00:00,EUR/USD,1.0139,1.0192,0.997,0.9987,8195475.572043656,8184821.4538
1662940800000.0,2022-09-12 00:00:00,EUR/USD,1.0077,1.0195,1.0069,1.0139,5136479.5228326265,5207876.5882
1662854400000.0,2022-09-11 00:00:00,EUR/USD,1.0053,1.0125,1.0046,1.0077,3055235.1779299392,3078760.4888
1662768000000.0,2022-09-10 00:00:00,EUR/USD,1.0055,1.0065,1.004,1.0053,3333405.7279419075,3351072.7783
1662681600000.0,2022-09-09 00:00:00,EUR/USD,1.0005,1.0116,1.0005,1.0055,6995474.00497265,7033949.112
1662595200000.0,2022-09-08 00:00:00,EUR/USD,1.0001,1.0029,0.9934,1.0005,5347224.468465767,5349898.0807
1662508800000.0,2022-09-07 00:00:00,EUR/USD,0.99,1.0014,0.9881,1.0001,5673465.823617638,5674033.1702
1662422400000.0,2022-09-06 00:00:00,EUR/USD,0.9953,0.9989,0.9875,0.99,6467487.436969697,6402812.5626
1662336000000.0,2022-09-05 00:00:00,EUR/USD,0.9921,0.9954,0.9894,0.9953,4969600.386014267,4946243.2642
1662249600000.0,2022-09-04 00:00:00,EUR/USD,0.9959,0.996,0.9921,0.9921,1342355.6648523335,1331751.0551
1662163200000.0,2022-09-03 00:00:00,EUR/USD,0.9959,0.9961,0.9959,0.9959,527175.0538206648,525013.6361
1662076800000.0,2022-09-02 00:00:00,EUR/USD,0.9955,1.0036,0.9952,0.9959,6052079.880108444,6027266.3526
1661990400000.0,2022-09-01 00:00:00,EUR/USD,1.0036,1.0042,0.9918,0.9955,5385879.73872426,5361643.2799
1661904000000.0,2022-08-31 00:00:00,EUR/USD,1.0023,1.0076,0.9976,1.0036,3957140.4380231164,3971386.1436
1661817600000.0,2022-08-30 00:00:00,EUR/USD,1.0007,1.0051,0.9985,1.0023,4594697.655093285,4605265.4597
1661731200000.0,2022-08-29 00:00:00,EUR/USD,0.9934,1.0022,0.9915,1.0007,3116279.7740581594,3118461.1699
1661644800000.0,2022-08-28 00:00:00,EUR/USD,0.9963,0.9971,0.9934,0.9934,763419.3616871352,758380.7939
1661558400000.0,2022-08-27 00:00:00,EUR/USD,0.9967,0.9972,0.9962,0.9963,681442.6966777075,678921.3587
1661472000000.0,2022-08-26 00:00:00,EUR/USD,0.9972,1.0086,0.9951,0.9967,2643867.964081469,2635143.1998
1661385600000.0,2022-08-25 00:00:00,EUR/USD,0.9969,1.0034,0.9955,0.9972,1743118.8777577216,1738238.1449
1661299200000.0,2022-08-24 00:00:00,EUR/USD,0.9976,0.9996,0.9916,0.9969,2871380.6005617413,2862479.3207
1661212800000.0,2022-08-23 00:00:00,EUR/USD,0.9967,1.0029,0.992,0.9976,3790003.6787289493,3780907.6699
1661126400000.0,2022-08-22 00:00:00,EUR/USD,1.0038,1.0052,0.9943,0.9967,3390674.5770041132,3379485.3509
1661040000000.0,2022-08-21 00:00:00,EUR/USD,1.0037,1.006,1.0037,1.0038,632475.3286511258,634878.7349
1660953600000.0,2022-08-20 00:00:00,EUR/USD,1.0045,1.0073,1.0036,1.0037,3451059.238816379,3463828.158
1660867200000.0,2022-08-19 00:00:00,EUR/USD,1.0096,1.0099,1.0041,1.0045,3676641.026480837,3693185.9111
1660780800000.0,2022-08-18 00:00:00,EUR/USD,1.0176,1.0191,1.0083,1.0096,2338618.6301505547,2361069.369
1660694400000.0,2022-08-17 00:00:00,EUR/USD,1.0172,1.0199,1.015,1.0176,2354352.3467963836,2395788.9481
1660608000000.0,2022-08-16 00:00:00,EUR/USD,1.0172,1.0194,1.0134,1.0172,2070123.6885568225,2105729.816
1660521600000.0,2022-08-15 00:00:00,EUR/USD,1.0264,1.0269,1.0168,1.0172,3135689.965100275,3189623.8325
1660435200000.0,2022-08-14 00:00:00,EUR/USD,1.0273,1.0276,1.0256,1.0264,996472.9459275136,1022779.8317
1660348800000.0,2022-08-13 00:00:00,EUR/USD,1.0273,1.029,1.0271,1.0273,1604079.4683150004,1647870.8378
