https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TOKO,Volume USDT
1663459200,2022-09-18 00:00:00,TOKO/USDT,0.00282,0.002909,0.00282,0.002877,1822911.3654,5198.7084913128
1663372800,2022-09-17 00:00:00,TOKO/USDT,0.002807,0.0029,0.002733,0.00282,64063896.3635,179751.3937698451
1663286400,2022-09-16 00:00:00,TOKO/USDT,0.002904,0.003002,0.002731,0.002807,87473087.565,248370.886405812
1663200000,2022-09-15 00:00:00,TOKO/USDT,0.00299,0.003024,0.00281,0.002902,66009535.6119,194752.1471023656
1663113600,2022-09-14 00:00:00,TOKO/USDT,0.003072,0.003082,0.002899,0.00299,63611138.10643942,190895.13502628997858
1663027200,2022-09-13 00:00:00,TOKO/USDT,0.003416,0.00352,0.002992,0.003072,56661721.9493,184041.1270179834
1662940800,2022-09-12 00:00:00,TOKO/USDT,0.003159,0.003787,0.003078,0.003419,77913813.61371677,260904.0605667913751
1662854400,2022-09-11 00:00:00,TOKO/USDT,0.003105,0.003297,0.003081,0.003161,78263076.6198,246963.3657782674
1662768000,2022-09-10 00:00:00,TOKO/USDT,0.003213,0.003243,0.003071,0.003105,63034267.6435,200434.6720175607
1662681600,2022-09-09 00:00:00,TOKO/USDT,0.00338,0.003488,0.00307,0.003217,68794470.101,227136.879828366
1662595200,2022-09-08 00:00:00,TOKO/USDT,0.003174,0.00358,0.003076,0.003379,45268018.13258787,149273.27151991044854
1662508800,2022-09-07 00:00:00,TOKO/USDT,0.002908,0.003181,0.002876,0.003159,57310002.7165,171941.5913954782
1662422400,2022-09-06 00:00:00,TOKO/USDT,0.003186,0.003217,0.002854,0.002906,60572278.8511,185225.0895813213
1662336000,2022-09-05 00:00:00,TOKO/USDT,0.003213,0.003358,0.003086,0.003182,67238299.0735,215298.2062109263
1662249600,2022-09-04 00:00:00,TOKO/USDT,0.003175,0.003298,0.00316,0.003221,62225543.5809,200142.0701743228
1662163200,2022-09-03 00:00:00,TOKO/USDT,0.003187,0.003336,0.00314,0.003175,67550572.0117,219266.4061373174
