https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT
1663459200,2022-09-18 00:00:00,XMR/USDT,147.72,147.86,146.75,147.23,510.8955081,75280.5931101159
1663372800,2022-09-17 00:00:00,XMR/USDT,149.25,152.08,147.47,147.71,7980.49968076,1201585.6320437095
1663286400,2022-09-16 00:00:00,XMR/USDT,145.89,149.54,143.88,149.27,13283.59568723,1950494.0650615464
1663200000,2022-09-15 00:00:00,XMR/USDT,149.89,151.83,143.88,145.86,12871.17866734,1899205.7505130394
1663113600,2022-09-14 00:00:00,XMR/USDT,145.53,151.9,144.69,150.03,16422.28805215,2442435.4624607662
1663027200,2022-09-13 00:00:00,XMR/USDT,164.09,165.71,145.3,145.54,17308.92514386,2690890.2050891304
1662940800,2022-09-12 00:00:00,XMR/USDT,159.15,166.66,158.08,164.03,19029.62122593,3065677.9907575895
1662854400,2022-09-11 00:00:00,XMR/USDT,157.81,159.59,154.48,159.25,8168.79089128,1282096.9196241299
1662768000,2022-09-10 00:00:00,XMR/USDT,161.4,161.78,157.02,157.73,10006.00287228,1593023.7159316464
1662681600,2022-09-09 00:00:00,XMR/USDT,152.18,161.55,151.72,161.38,15057.9314202,2346427.1650654313
1662595200,2022-09-08 00:00:00,XMR/USDT,149.33,152.78,147.5,152.22,8664.95787151,1301742.7787847725
1662508800,2022-09-07 00:00:00,XMR/USDT,144.93,152.36,141.58,149.24,13022.23756726,1899698.6446610084
1662422400,2022-09-06 00:00:00,XMR/USDT,157.84,159.83,144.61,144.97,14086.02398473,2157984.6090165078
1662336000,2022-09-05 00:00:00,XMR/USDT,155.52,160,154.79,157.44,14905.91519614,2337761.8854115051
1662249600,2022-09-04 00:00:00,XMR/USDT,154.64,156.38,153.62,155.62,6612.71269161,1025692.4659247342
1662163200,2022-09-03 00:00:00,XMR/USDT,153.26,154.96,151.56,154.5,8479.39824095,1302766.7812533978
1662076800,2022-09-02 00:00:00,XMR/USDT,154.5,154.65,150.35,153.36,14074.24245214,2148498.063510661
1661990400,2022-09-01 00:00:00,XMR/USDT,149.03,154.72,148.36,154.45,14571.18644519,2214853.3326200295
1661904000,2022-08-31 00:00:00,XMR/USDT,149.06,162.04,148.51,149.24,13071.62679156,1971086.2906986792
1661817600,2022-08-30 00:00:00,XMR/USDT,152.73,152.96,147.14,148.83,13866.18905569,2085101.7637720485
1661731200,2022-08-29 00:00:00,XMR/USDT,146.47,156.6,144.73,152.82,15154.23683595,2270225.4477729359
1661644800,2022-08-28 00:00:00,XMR/USDT,144.86,149.33,143.99,146.28,13850.01924988,2028873.9932380533
1661558400,2022-08-27 00:00:00,XMR/USDT,142.35,146.08,141.64,145,12418.40377812,1786720.3498291158
1661472000,2022-08-26 00:00:00,XMR/USDT,153.88,155.37,141.33,142.75,14505.45477452,2177869.8031948839
1661385600,2022-08-25 00:00:00,XMR/USDT,150.6,155.49,150.11,154.01,8751.40288535,1341225.8949025869
1661299200,2022-08-24 00:00:00,XMR/USDT,154.55,154.92,150.26,150.66,9215.96932389,1408557.7010896189
1661212800,2022-08-23 00:00:00,XMR/USDT,153.78,155.96,150.15,154.56,7328.06138698,1130019.8544232874
1661126400,2022-08-22 00:00:00,XMR/USDT,154.34,154.86,150.32,153.81,12383.85941805,1890053.9576565279
1661040000,2022-08-21 00:00:00,XMR/USDT,148.86,157.64,148.74,154.41,13714.03754267,2105286.1484417182
1660953600,2022-08-20 00:00:00,XMR/USDT,142.13,149.88,142.06,148.76,15263.87592659,2228216.5706022824
1660867200,2022-08-19 00:00:00,XMR/USDT,161.05,161.19,141.71,142.37,20687.18445126,3134842.6913758463
1660780800,2022-08-18 00:00:00,XMR/USDT,168.88,170.75,158.93,161.05,15517.34437196,2573736.399838582
1660694400,2022-08-17 00:00:00,XMR/USDT,169.82,170.84,158.64,168.82,41504.69169519,6829272.2086378562
1660608000,2022-08-16 00:00:00,XMR/USDT,164.57,174.2,162.65,169.83,33920.33882113,5780677.1206260658
1660521600,2022-08-15 00:00:00,XMR/USDT,166.67,170,162.6,164.5,10305.61055233,1715663.6224883432
1660435200,2022-08-14 00:00:00,XMR/USDT,167.32,173.75,164.15,166.37,7725.80547216,1294464.7903174127
1660348800,2022-08-13 00:00:00,XMR/USDT,167.06,171,166.05,167.31,9000.63675873,1507074.9741672168
1660262400,2022-08-12 00:00:00,XMR/USDT,160.49,170.96,157.97,166.77,19607.94611973,3215883.0659959109
1660176000,2022-08-11 00:00:00,XMR/USDT,168,169.99,157.64,160.38,24051.43025776,3967609.8509773617
1660089600,2022-08-10 00:00:00,XMR/USDT,160.61,171.92,156.72,168.05,27833.51555263,4594757.7582051154
1660003200,2022-08-09 00:00:00,XMR/USDT,167.18,172.41,156,160.72,29367.33897526,4757553.5181871972
1659916800,2022-08-08 00:00:00,XMR/USDT,164.75,170.12,162.37,167.39,20980.31967656,3490950.5378766636
1659830400,2022-08-07 00:00:00,XMR/USDT,160.83,172.04,158.47,164.74,22270.78868197,3715434.6280895182
1659744000,2022-08-06 00:00:00,XMR/USDT,161.52,165.06,160.3,160.79,11731.67604293,1902012.5360017404
