https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FITFI,Volume USDT
1663459200,2022-09-18 00:00:00,FITFI/USDT,0.0713,0.0713,0.0698,0.0702,22186.06796241,1556.92291859893
1663372800,2022-09-17 00:00:00,FITFI/USDT,0.0688,0.0719,0.0683,0.0709,2839789.91759999,200466.679810919596
1663286400,2022-09-16 00:00:00,FITFI/USDT,0.0722,0.0742,0.0685,0.0688,3471720.14529564,245479.152031894088
1663200000,2022-09-15 00:00:00,FITFI/USDT,0.0715,0.0779,0.0678,0.072,3852902.40002334,275614.740033249018
1663113600,2022-09-14 00:00:00,FITFI/USDT,0.0703,0.074,0.0666,0.0716,6201295.70179295,439675.777274430228
1663027200,2022-09-13 00:00:00,FITFI/USDT,0.0775,0.0813,0.0691,0.0702,4650196.58388785,344753.43856729087
1662940800,2022-09-12 00:00:00,FITFI/USDT,0.0791,0.0829,0.0727,0.0779,7056464.69301426,551055.358226524708
1662854400,2022-09-11 00:00:00,FITFI/USDT,0.0704,0.0965,0.0682,0.0795,7252783.96400163,575351.499495154508
1662768000,2022-09-10 00:00:00,FITFI/USDT,0.0716,0.0751,0.066,0.0707,8319816.19831543,582844.195274129471
1662681600,2022-09-09 00:00:00,FITFI/USDT,0.0659,0.0743,0.0655,0.0716,8498087.88029709,595655.049541085588
1662595200,2022-09-08 00:00:00,FITFI/USDT,0.0676,0.0698,0.0634,0.0663,2099189.03824444,138236.946154882094
1662508800,2022-09-07 00:00:00,FITFI/USDT,0.0664,0.0699,0.0623,0.0673,2667753.17599991,176797.098443160054
1662422400,2022-09-06 00:00:00,FITFI/USDT,0.0765,0.0777,0.0615,0.0666,3403406.13472382,234125.553784214284
1662336000,2022-09-05 00:00:00,FITFI/USDT,0.0769,0.0779,0.0745,0.0768,1671464.48938272,126918.467915668743
1662249600,2022-09-04 00:00:00,FITFI/USDT,0.0766,0.0771,0.0753,0.0768,2779793.08086914,211812.540258121443
