https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume NGN,tradecount
1612868400000,2021-02-09 11:00:00,ETH/NGN,799681.00000000,809991.00000000,797721.00000000,805670.00000000,14.40007000,11600506.11567000,108
1612864800000,2021-02-09 10:00:00,ETH/NGN,821001.00000000,825064.00000000,799680.00000000,809993.00000000,45.17532000,36673206.82774000,259
1612861200000,2021-02-09 09:00:00,ETH/NGN,835011.00000000,845617.00000000,815882.00000000,820725.00000000,34.32960000,28629606.37609000,324
1612857600000,2021-02-09 08:00:00,ETH/NGN,817608.00000000,846000.00000000,817607.00000000,840560.00000000,61.95915000,51649726.83847000,465
1612854000000,2021-02-09 07:00:00,ETH/NGN,825999.00000000,827219.00000000,814783.00000000,817608.00000000,31.82764000,26162030.62105000,248
1612850400000,2021-02-09 06:00:00,ETH/NGN,809924.00000000,826000.00000000,806753.00000000,826000.00000000,33.45795000,27295801.67582000,283
1612846800000,2021-02-09 05:00:00,ETH/NGN,811998.00000000,814500.00000000,800000.00000000,809923.00000000,35.17984000,28404467.93276000,189
1612843200000,2021-02-09 04:00:00,ETH/NGN,803350.00000000,813989.00000000,801326.00000000,804507.00000000,21.23691000,17141287.31028000,138
1612839600000,2021-02-09 03:00:00,ETH/NGN,797644.00000000,806995.00000000,791557.00000000,803341.00000000,2.69393000,2150637.19484000,36
1612836000000,2021-02-09 02:00:00,ETH/NGN,805449.00000000,807596.00000000,793000.00000000,799388.00000000,9.32935000,7443341.33574000,89
1612832400000,2021-02-09 01:00:00,ETH/NGN,809002.00000000,809993.00000000,793102.00000000,806013.00000000,14.70449000,11792373.29040000,153
1612828800000,2021-02-09 00:00:00,ETH/NGN,807424.00000000,815913.00000000,801038.00000000,809002.00000000,25.45729000,20619935.75296000,410
1612825200000,2021-02-08 23:00:00,ETH/NGN,799986.00000000,814000.00000000,792900.00000000,807240.00000000,51.03669000,41126093.69705000,413
1612821600000,2021-02-08 22:00:00,ETH/NGN,787648.00000000,800000.00000000,785510.00000000,799991.00000000,12.30662000,9760556.94207000,185
1612818000000,2021-02-08 21:00:00,ETH/NGN,795358.00000000,799995.00000000,785509.00000000,787649.00000000,20.08807000,15909312.68819000,445
1612814400000,2021-02-08 20:00:00,ETH/NGN,788849.00000000,800000.00000000,780001.00000000,799996.00000000,37.56932000,29776840.51980000,265
1612810800000,2021-02-08 19:00:00,ETH/NGN,788853.00000000,791996.00000000,783952.00000000,783952.00000000,25.36759000,19989633.43309000,201
1612807200000,2021-02-08 18:00:00,ETH/NGN,794999.00000000,800000.00000000,786803.00000000,791995.00000000,36.31145000,28803413.10006000,236
1612803600000,2021-02-08 17:00:00,ETH/NGN,791716.00000000,800002.00000000,786803.00000000,794995.00000000,27.43632000,21780893.32630000,255
1612800000000,2021-02-08 16:00:00,ETH/NGN,800762.00000000,815000.00000000,786803.00000000,791715.00000000,70.07861000,56248305.50463000,558
1612796400000,2021-02-08 15:00:00,ETH/NGN,788074.00000000,807697.00000000,788000.00000000,800762.00000000,69.26226000,55239162.94473000,1056
1612792800000,2021-02-08 14:00:00,ETH/NGN,775243.00000000,796208.00000000,775242.00000000,786875.00000000,55.43086000,43589802.55553000,584
1612789200000,2021-02-08 13:00:00,ETH/NGN,773301.00000000,782724.00000000,761615.00000000,775242.00000000,97.20218000,75425144.49605000,661
1612785600000,2021-02-08 12:00:00,ETH/NGN,780446.00000000,781900.00000000,773023.00000000,773204.00000000,36.44767000,28334878.08613000,291
1612782000000,2021-02-08 11:00:00,ETH/NGN,771731.00000000,784688.00000000,771731.00000000,778000.00000000,47.12861000,36637249.94162000,271
1612778400000,2021-02-08 10:00:00,ETH/NGN,768591.00000000,773950.00000000,765701.00000000,770470.00000000,29.32860000,22613353.72748000,176
1612774800000,2021-02-08 09:00:00,ETH/NGN,765609.00000000,772605.00000000,765604.00000000,768591.00000000,15.45055000,11876961.80201000,152
1612771200000,2021-02-08 08:00:00,ETH/NGN,769993.00000000,773991.00000000,765394.00000000,768302.00000000,25.69474000,19806821.41024000,195
1612767600000,2021-02-08 07:00:00,ETH/NGN,764493.00000000,770000.00000000,760502.00000000,769993.00000000,21.45092000,16399628.16516000,193
1612764000000,2021-02-08 06:00:00,ETH/NGN,754130.00000000,766000.00000000,754129.00000000,760502.00000000,32.10436000,24472714.59355000,333
1612760400000,2021-02-08 05:00:00,ETH/NGN,759257.00000000,764000.00000000,755470.00000000,755470.00000000,30.99373000,23573239.54583000,170
1612756800000,2021-02-08 04:00:00,ETH/NGN,741360.00000000,765000.00000000,741358.00000000,759256.00000000,23.46732000,17718763.30033000,185
1612753200000,2021-02-08 03:00:00,ETH/NGN,740183.00000000,749524.00000000,734754.00000000,745902.00000000,6.50646000,4828128.65798000,92
1612749600000,2021-02-08 02:00:00,ETH/NGN,743536.00000000,750000.00000000,735505.00000000,740185.00000000,6.14751000,4570163.15503000,77
1612746000000,2021-02-08 01:00:00,ETH/NGN,748568.00000000,751094.00000000,739646.00000000,747796.00000000,5.65774000,4210248.86971000,201
1612742400000,2021-02-08 00:00:00,ETH/NGN,756884.00000000,760299.00000000,744884.00000000,744884.00000000,26.18087000,19768247.83044000,649
1612738800000,2021-02-07 23:00:00,ETH/NGN,748999.00000000,759247.00000000,744534.00000000,756935.00000000,24.51180000,18459387.59761000,670
1612735200000,2021-02-07 22:00:00,ETH/NGN,745924.00000000,749690.00000000,736925.00000000,748982.00000000,18.26218000,13609407.04200000,443
1612731600000,2021-02-07 21:00:00,ETH/NGN,741255.00000000,749694.00000000,736257.00000000,749689.00000000,20.79192000,15475872.15714000,418
1612728000000,2021-02-07 20:00:00,ETH/NGN,736808.00000000,743998.00000000,731353.00000000,738783.00000000,15.91587000,11727916.59991000,208
1612724400000,2021-02-07 19:00:00,ETH/NGN,742667.00000000,749676.00000000,733925.00000000,735049.00000000,10.12036000,7513655.43005000,210
1612720800000,2021-02-07 18:00:00,ETH/NGN,738361.00000000,745902.00000000,733185.00000000,742664.00000000,37.31301000,27547356.69276000,289
1612717200000,2021-02-07 17:00:00,ETH/NGN,736505.00000000,751595.00000000,731351.00000000,733189.00000000,50.70079000,37591413.72709000,362
1612713600000,2021-02-07 16:00:00,ETH/NGN,725789.00000000,738377.00000000,709420.00000000,731351.00000000,40.78214000,29454649.63176000,391
1612710000000,2021-02-07 15:00:00,ETH/NGN,729714.00000000,738239.00000000,716000.00000000,725789.00000000,49.94719000,36230063.99746000,443
1612706400000,2021-02-07 14:00:00,ETH/NGN,740697.00000000,745000.00000000,723743.00000000,729714.00000000,73.08861000,53741141.80965000,401
1612702800000,2021-02-07 13:00:00,ETH/NGN,755402.00000000,759247.00000000,737674.00000000,742537.00000000,21.37468000,16010064.84749000,260
1612699200000,2021-02-07 12:00:00,ETH/NGN,756213.00000000,759252.00000000,746902.00000000,755403.00000000,20.61492000,15522185.95644000,186
1612695600000,2021-02-07 11:00:00,ETH/NGN,756075.00000000,759664.00000000,750103.00000000,759659.00000000,11.99867000,9056387.65502000,161
1612692000000,2021-02-07 10:00:00,ETH/NGN,755601.00000000,765799.00000000,755600.00000000,759625.00000000,11.28763000,8584611.89252000,178
1612688400000,2021-02-07 09:00:00,ETH/NGN,761400.00000000,761500.00000000,754251.00000000,755600.00000000,31.79471000,24076823.49561000,329
1612684800000,2021-02-07 08:00:00,ETH/NGN,755000.00000000,766778.00000000,753200.00000000,756913.00000000,17.67907000,13429217.08055000,304
1612681200000,2021-02-07 07:00:00,ETH/NGN,737909.00000000,758095.00000000,737909.00000000,758090.00000000,19.03438000,14268210.55672000,156
1612677600000,2021-02-07 06:00:00,ETH/NGN,740000.00000000,749851.00000000,735333.00000000,737909.00000000,30.18278000,22451298.08401000,185
1612674000000,2021-02-07 05:00:00,ETH/NGN,739248.00000000,743093.00000000,729478.00000000,740000.00000000,21.48684000,15865554.35650000,182
1612670400000,2021-02-07 04:00:00,ETH/NGN,738900.00000000,742997.00000000,725705.00000000,739248.00000000,14.59604000,10738483.93050000,111
1612666800000,2021-02-07 03:00:00,ETH/NGN,737797.00000000,743505.00000000,720000.00000000,738901.00000000,31.21992000,22850838.14468000,152
1612663200000,2021-02-07 02:00:00,ETH/NGN,743517.00000000,746512.00000000,730000.00000000,739646.00000000,20.79914000,15317487.99046000,172
1612659600000,2021-02-07 01:00:00,ETH/NGN,758847.00000000,760798.00000000,740000.00000000,742742.00000000,23.33181000,17523588.11095000,186
1612656000000,2021-02-07 00:00:00,ETH/NGN,755005.00000000,763800.00000000,753593.00000000,758594.00000000,12.38177000,9395465.90531000,89
1612652400000,2021-02-06 23:00:00,ETH/NGN,757682.00000000,763589.00000000,755000.00000000,760990.00000000,6.30422000,4786066.72272000,110
1612648800000,2021-02-06 22:00:00,ETH/NGN,764747.00000000,768577.00000000,758544.00000000,763970.00000000,12.46669000,9517302.38311000,146
1612645200000,2021-02-06 21:00:00,ETH/NGN,757074.00000000,768679.00000000,752750.00000000,764745.00000000,30.23581000,22974375.24644000,251
1612641600000,2021-02-06 20:00:00,ETH/NGN,765999.00000000,769000.00000000,754241.00000000,757074.00000000,20.56173000,15649683.39241000,198
1612638000000,2021-02-06 19:00:00,ETH/NGN,759915.00000000,769000.00000000,759724.00000000,765999.00000000,23.16165000,17705263.07218000,191
1612634400000,2021-02-06 18:00:00,ETH/NGN,756910.00000000,762900.00000000,752081.00000000,760998.00000000,10.59470000,8026530.23350000,143
1612630800000,2021-02-06 17:00:00,ETH/NGN,756314.00000000,762991.00000000,752081.00000000,756905.00000000,13.80930000,10441281.95364000,163
1612627200000,2021-02-06 16:00:00,ETH/NGN,752069.00000000,760834.00000000,740008.00000000,756314.00000000,42.71996000,32214657.08141000,359
1612623600000,2021-02-06 15:00:00,ETH/NGN,763988.00000000,765886.00000000,752064.00000000,752069.00000000,28.38646000,21526568.55527000,251
1612620000000,2021-02-06 14:00:00,ETH/NGN,759290.00000000,768200.00000000,758399.00000000,763989.00000000,22.71588000,17348584.56194000,184
1612616400000,2021-02-06 13:00:00,ETH/NGN,765212.00000000,768370.00000000,758294.00000000,759289.00000000,22.21404000,16939004.91675000,251
1612612800000,2021-02-06 12:00:00,ETH/NGN,765005.00000000,772050.00000000,760273.00000000,769931.00000000,32.24076000,24665018.17929000,318
1612609200000,2021-02-06 11:00:00,ETH/NGN,773990.00000000,776195.00000000,762543.00000000,769285.00000000,64.50614000,49624960.41701000,705
1612605600000,2021-02-06 10:00:00,ETH/NGN,764275.00000000,773992.00000000,760282.00000000,773990.00000000,19.78138000,15187038.85989000,748
1612602000000,2021-02-06 09:00:00,ETH/NGN,771971.00000000,780000.00000000,762478.00000000,763682.00000000,25.76364000,19845366.42544000,650
