https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT
1663459200,2022-09-18 00:00:00,UNI/USDT,6.0169,6.0169,5.9559,5.9917,5012.27847842,29980.692475370289
1663372800,2022-09-17 00:00:00,UNI/USDT,5.8245,6.0397,5.8122,6.0142,62266.42071175,369391.988350001104
1663286400,2022-09-16 00:00:00,UNI/USDT,5.8861,5.9387,5.6422,5.8245,86277.19509881,499624.483402117171
1663200000,2022-09-15 00:00:00,UNI/USDT,6.1788,6.2365,5.7811,5.8797,151567.21603897,911224.074057552929
1663113600,2022-09-14 00:00:00,UNI/USDT,6.0384,6.2335,5.9559,6.182,153995.8707548,940648.089854879598
1663027200,2022-09-13 00:00:00,UNI/USDT,6.6587,6.7666,5.9908,6.0363,228343.62027067,1450948.95537719236
1662940800,2022-09-12 00:00:00,UNI/USDT,6.4879,6.9656,6.3766,6.6555,212663.04065776,1426363.615801909006
1662854400,2022-09-11 00:00:00,UNI/USDT,6.6757,6.73,6.3561,6.4891,117701.37274391,768937.601985311683
1662768000,2022-09-10 00:00:00,UNI/USDT,6.505,6.7211,6.4345,6.668,131531.52926975,862603.533375677007
1662681600,2022-09-09 00:00:00,UNI/USDT,6.1734,6.712,6.1719,6.51,215389.35081433,1397517.208951327569
1662595200,2022-09-08 00:00:00,UNI/USDT,6.1187,6.2656,5.952,6.1732,149891.14878635,914023.82401725662
1662508800,2022-09-07 00:00:00,UNI/USDT,5.8324,6.2281,5.708,6.1153,248089.75033266,1471551.951935943995
1662422400,2022-09-06 00:00:00,UNI/USDT,6.5818,6.7515,5.7763,5.8322,290027.28001379,1776640.133309390126
1662336000,2022-09-05 00:00:00,UNI/USDT,6.4852,6.667,6.1839,6.57,108111.73545895,692296.326942034194
1662249600,2022-09-04 00:00:00,UNI/USDT,6.3092,6.5215,6.2271,6.4845,79538.51968379,509802.049131064338
1662163200,2022-09-03 00:00:00,UNI/USDT,6.4064,6.4064,6.2213,6.3117,35995.68155147,227438.865167674735
1662076800,2022-09-02 00:00:00,UNI/USDT,6.3184,6.6964,6.1988,6.4086,154817.95400227,994272.219562118332
1661990400,2022-09-01 00:00:00,UNI/USDT,6.1434,6.3681,5.9593,6.3135,223519.22356461,1386886.654968397209
1661904000,2022-08-31 00:00:00,UNI/USDT,6.1775,6.4155,6.1014,6.1417,207932.75295446,1306493.645266334496
1661817600,2022-08-30 00:00:00,UNI/USDT,6.3349,6.4553,5.9406,6.1765,165308.22832123,1030689.706740683466
1661731200,2022-08-29 00:00:00,UNI/USDT,5.7421,6.4031,5.68,6.3398,148635.27009162,903234.582893214269
