https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume EUR
1663545600,2022-09-19 00:00:00,USDT/EUR,0.99807,0.99826,0.99745,0.99826,3033.91455,3028.635538683
1663542000,2022-09-18 23:00:00,USDT/EUR,0.99831,0.99864,0.99747,0.99826,58054.36920,57953.354597592006
1663538400,2022-09-18 22:00:00,USDT/EUR,0.99890,0.99950,0.99808,0.99808,22007.42939,21965.1751255712
1663534800,2022-09-18 21:00:00,USDT/EUR,0.99853,0.99898,0.99828,0.99891,34830.91645,34792.9507510695
1663531200,2022-09-18 20:00:00,USDT/EUR,0.99874,0.99883,0.99865,0.99878,35619.20718,35575.7517472404
1663527600,2022-09-18 19:00:00,USDT/EUR,0.99845,0.99880,0.99840,0.99875,15897.65553,15877.7834605875
1663524000,2022-09-18 18:00:00,USDT/EUR,0.99853,0.99864,0.99841,0.99847,33838.50531,33786.7323968757
1663520400,2022-09-18 17:00:00,USDT/EUR,0.99877,0.99886,0.99838,0.99863,47974.09422,47908.3697109186
1663516800,2022-09-18 16:00:00,USDT/EUR,0.99872,0.99881,0.99855,0.99877,12467.45735,12452.122377459502
1663513200,2022-09-18 15:00:00,USDT/EUR,0.99860,0.99893,0.99848,0.99872,167314.82513,167100.66215383363
1663509600,2022-09-18 14:00:00,USDT/EUR,0.99858,0.99876,0.99822,0.99866,177002.49379,176765.3104483214
1663506000,2022-09-18 13:00:00,USDT/EUR,0.99858,0.99858,0.99856,0.99858,4642.30590,4635.7138256220005
1663502400,2022-09-18 12:00:00,USDT/EUR,0.99858,0.99858,0.99835,0.99858,62426.01690,62337.371956002
1663498800,2022-09-18 11:00:00,USDT/EUR,0.99878,0.99879,0.99842,0.99858,74658.55192,74552.5367762736
1663495200,2022-09-18 10:00:00,USDT/EUR,0.99882,0.99896,0.99858,0.99872,35326.61646,35281.3983909312
1663491600,2022-09-18 09:00:00,USDT/EUR,0.99902,0.99904,0.99879,0.99904,16588.00524,16572.0807549696
1663488000,2022-09-18 08:00:00,USDT/EUR,0.99896,0.99905,0.99896,0.99901,10199.44000,10189.3425544
1663484400,2022-09-18 07:00:00,USDT/EUR,0.99895,0.99896,0.99875,0.99896,9175.72625,9166.183494699999
1663480800,2022-09-18 06:00:00,USDT/EUR,0.99895,0.99895,0.99873,0.99895,14952.44105,14936.7409868975
1663477200,2022-09-18 05:00:00,USDT/EUR,0.99899,0.99899,0.99880,0.99895,3142.15508,3138.855817166
1663473600,2022-09-18 04:00:00,USDT/EUR,0.99899,0.99902,0.99899,0.99899,112752.00439,112638.1248655661
1663470000,2022-09-18 03:00:00,USDT/EUR,0.99897,0.99899,0.99870,0.99899,32464.93315,32432.143567518502
1663466400,2022-09-18 02:00:00,USDT/EUR,0.99898,0.99899,0.99894,0.99899,3217.97081,3214.7206594819
1663462800,2022-09-18 01:00:00,USDT/EUR,0.99899,0.99899,0.99891,0.99898,3313.15896,3309.7795378608002
1663459200,2022-09-18 00:00:00,USDT/EUR,0.99893,0.99900,0.99883,0.99899,13966.91860,13952.812012214
1663455600,2022-09-17 23:00:00,USDT/EUR,0.99899,0.99899,0.99879,0.99893,29416.16577,29384.6904726261
1663452000,2022-09-17 22:00:00,USDT/EUR,0.99920,0.99920,0.99895,0.99899,4751.73194,4746.9326907406
1663448400,2022-09-17 21:00:00,USDT/EUR,0.99918,0.99924,0.99913,0.99920,19106.83911,19091.553638712
1663444800,2022-09-17 20:00:00,USDT/EUR,0.99922,0.99923,0.99918,0.99922,43885.75875,43851.527858175
1663441200,2022-09-17 19:00:00,USDT/EUR,0.99924,0.99926,0.99920,0.99922,8905.41975,8898.473522594999
1663437600,2022-09-17 18:00:00,USDT/EUR,0.99916,0.99928,0.99908,0.99927,12269.35624,12260.3996099448
1663434000,2022-09-17 17:00:00,USDT/EUR,0.99916,0.99990,0.99892,0.99916,360739.90848,360436.8869568768
1663430400,2022-09-17 16:00:00,USDT/EUR,0.99909,0.99916,0.99881,0.99914,27368.76202,27345.2248846628
1663426800,2022-09-17 15:00:00,USDT/EUR,0.99898,0.99914,0.99895,0.99912,64694.62262,64637.6913520944
1663423200,2022-09-17 14:00:00,USDT/EUR,0.99886,0.99897,0.99829,0.99895,147054.96891,146900.5611926445
1663419600,2022-09-17 13:00:00,USDT/EUR,0.99882,0.99888,0.99869,0.99888,36393.12659,36352.3662882192
1663416000,2022-09-17 12:00:00,USDT/EUR,0.99889,0.99889,0.99862,0.99882,29179.64379,29145.2118103278
1663412400,2022-09-17 11:00:00,USDT/EUR,0.99880,0.99888,0.99868,0.99887,17780.27350,17760.181790945
1663408800,2022-09-17 10:00:00,USDT/EUR,0.99874,0.99885,0.99867,0.99880,42668.39348,42617.191407824
1663405200,2022-09-17 09:00:00,USDT/EUR,0.99866,0.99874,0.99843,0.99874,19751.77163,19726.8843977462
1663401600,2022-09-17 08:00:00,USDT/EUR,0.99861,0.99873,0.99852,0.99866,28464.33659,28426.194378969398
1663398000,2022-09-17 07:00:00,USDT/EUR,0.99860,0.99869,0.99856,0.99865,98135.55948,98003.076474702
1663394400,2022-09-17 06:00:00,USDT/EUR,0.99853,0.99854,0.99830,0.99851,16020.91196,15997.040801179599
1663390800,2022-09-17 05:00:00,USDT/EUR,0.99848,0.99854,0.99848,0.99854,19371.63706,19343.3544698924
1663387200,2022-09-17 04:00:00,USDT/EUR,0.99855,0.99861,0.99846,0.99848,14424.97095,14403.044994156002
1663383600,2022-09-17 03:00:00,USDT/EUR,0.99858,0.99859,0.99850,0.99856,11894.75676,11877.6283102656
1663380000,2022-09-17 02:00:00,USDT/EUR,0.99858,0.99859,0.99856,0.99858,11167.08861,11151.2313441738
1663376400,2022-09-17 01:00:00,USDT/EUR,0.99856,0.99860,0.99847,0.99859,15521.24301,15499.3580573559
1663372800,2022-09-17 00:00:00,USDT/EUR,0.99848,0.99861,0.99831,0.99856,19511.58008,19483.4834046848
1663369200,2022-09-16 23:00:00,USDT/EUR,0.99858,0.99860,0.99839,0.99848,13274.49329,13254.3160601992
1663365600,2022-09-16 22:00:00,USDT/EUR,0.99856,0.99861,0.99848,0.99861,26572.14232,26535.2070421752
1663362000,2022-09-16 21:00:00,USDT/EUR,0.99856,0.99860,0.99813,0.99855,386338.01728,385777.827154944
1663358400,2022-09-16 20:00:00,USDT/EUR,0.99880,0.99898,0.99430,0.99812,1152203.02775,1150036.88605783
1663354800,2022-09-16 19:00:00,USDT/EUR,0.99964,0.99964,0.99867,0.99876,21128.77880,21102.579114288
1663351200,2022-09-16 18:00:00,USDT/EUR,1.00043,1.00047,0.99918,0.99964,130099.00767,130052.1720272388
1663347600,2022-09-16 17:00:00,USDT/EUR,0.99913,1.00042,0.99885,1.00042,86722.83159,86759.25517926781
1663344000,2022-09-16 16:00:00,USDT/EUR,0.99882,0.99970,0.99813,0.99919,123060.08308,122960.4044127052
1663340400,2022-09-16 15:00:00,USDT/EUR,0.99715,0.99960,0.99711,0.99878,341271.23745,340854.88654031104
1663336800,2022-09-16 14:00:00,USDT/EUR,1.00243,1.00271,0.99673,0.99742,186961.70095,186479.339761549
1663333200,2022-09-16 13:00:00,USDT/EUR,1.00436,1.00442,1.00245,1.00245,277833.97945,278514.6726996525
1663329600,2022-09-16 12:00:00,USDT/EUR,1.00310,1.00450,1.00308,1.00435,236140.43902,237167.649929737
1663326000,2022-09-16 11:00:00,USDT/EUR,1.00163,1.00308,1.00148,1.00308,115285.57648,115640.6560555584
1663322400,2022-09-16 10:00:00,USDT/EUR,1.00308,1.00331,1.00130,1.00163,146428.32880,146667.00697594398
1663318800,2022-09-16 09:00:00,USDT/EUR,1.00419,1.00419,1.00123,1.00308,53703.95965,53869.367845721994
1663315200,2022-09-16 08:00:00,USDT/EUR,1.00413,1.00475,1.00302,1.00429,293070.91986,294328.1941061994
1663311600,2022-09-16 07:00:00,USDT/EUR,1.00075,1.00490,0.99999,1.00409,346089.36474,347504.8702417866
1663308000,2022-09-16 06:00:00,USDT/EUR,1.00158,1.00184,1.00032,1.00062,87142.50715,87196.535504433
1663304400,2022-09-16 05:00:00,USDT/EUR,1.00029,1.00157,1.00028,1.00157,47112.51439,47186.4810375923
1663300800,2022-09-16 04:00:00,USDT/EUR,1.00053,1.00053,0.99972,1.00019,40598.08150,40605.795135484994
1663297200,2022-09-16 03:00:00,USDT/EUR,1.00071,1.00081,1.00002,1.00053,15300.98974,15309.0992645622
1663293600,2022-09-16 02:00:00,USDT/EUR,1.00022,1.00099,1.00022,1.00071,13166.03030,13175.378181513
1663290000,2022-09-16 01:00:00,USDT/EUR,0.99958,1.00021,0.99906,1.00021,13506.56129,13509.3976678709
1663286400,2022-09-16 00:00:00,USDT/EUR,1.00127,1.00128,0.99921,0.99956,14908.83193,14902.272043950801
1663282800,2022-09-15 23:00:00,USDT/EUR,1.00086,1.00136,1.00086,1.00127,16949.26763,16970.7931998901
1663279200,2022-09-15 22:00:00,USDT/EUR,1.00061,1.00113,1.00034,1.00089,32620.00194,32649.033741726602
1663275600,2022-09-15 21:00:00,USDT/EUR,1.00048,1.00060,1.00004,1.00060,121360.33535,121433.15155120999
1663272000,2022-09-15 20:00:00,USDT/EUR,1.00084,1.00084,0.99767,1.00051,1429275.18425,1430004.1145939676
1663268400,2022-09-15 19:00:00,USDT/EUR,1.00094,1.00133,1.00044,1.00051,26096.53040,26109.839630504
1663264800,2022-09-15 18:00:00,USDT/EUR,1.00039,1.00094,1.00017,1.00091,43430.33307,43469.8546730937
1663261200,2022-09-15 17:00:00,USDT/EUR,0.99983,1.00063,0.99880,1.00021,98328.37037,98349.01932777771
1663257600,2022-09-15 16:00:00,USDT/EUR,1.00121,1.00138,0.99978,0.99983,37378.81221,37372.457811924294
1663254000,2022-09-15 15:00:00,USDT/EUR,1.00031,1.00121,0.99952,1.00121,52503.11070,52566.639463946995
1663250400,2022-09-15 14:00:00,USDT/EUR,1.00015,1.00141,0.99970,1.00036,105086.40992,105124.2410275712
