https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTO,Volume USDT
1663459200,2022-09-18 00:00:00,LTO/USDT,0.08386,0.08388,0.08348,0.08348,60761.83299303,5083.8799616033564
1663372800,2022-09-17 00:00:00,LTO/USDT,0.08182,0.08399,0.0812,0.08386,1519749.31983674,125643.2233968418165
1663286400,2022-09-16 00:00:00,LTO/USDT,0.08109,0.08263,0.08,0.08192,1554152.0053342,126264.6375883274011
1663200000,2022-09-15 00:00:00,LTO/USDT,0.0826,0.08547,0.08016,0.0811,1754664.87832875,144056.8241776779617
1663113600,2022-09-14 00:00:00,LTO/USDT,0.0797,0.08373,0.07931,0.08255,1954329.86454474,159223.8417534182938
1663027200,2022-09-13 00:00:00,LTO/USDT,0.08659,0.08895,0.07937,0.07976,2576621.79366389,215800.529533226081
1662940800,2022-09-12 00:00:00,LTO/USDT,0.08807,0.08953,0.085,0.08665,2050092.82385547,179232.5253393331451
1662854400,2022-09-11 00:00:00,LTO/USDT,0.08787,0.08828,0.08659,0.08813,1573830.38480479,137660.597355097718
1662768000,2022-09-10 00:00:00,LTO/USDT,0.08557,0.08939,0.08488,0.08781,1678374.86545054,147214.5818147737259
1662681600,2022-09-09 00:00:00,LTO/USDT,0.0832,0.08699,0.08305,0.08557,1951274.87644958,166724.3922884201955
1662595200,2022-09-08 00:00:00,LTO/USDT,0.0817,0.08496,0.08083,0.08311,1820960.81501378,149830.1921713919528
1662508800,2022-09-07 00:00:00,LTO/USDT,0.07986,0.0823,0.078,0.0817,1727183.21356566,137383.6084520637378
1662422400,2022-09-06 00:00:00,LTO/USDT,0.08497,0.08614,0.07961,0.08008,1807748.00478434,151185.1406593404884
1662336000,2022-09-05 00:00:00,LTO/USDT,0.08505,0.08575,0.08405,0.085,1541676.42874281,130875.6938163977524
1662249600,2022-09-04 00:00:00,LTO/USDT,0.08382,0.08514,0.08324,0.08514,1375860.0961804,115918.5901986561095
1662163200,2022-09-03 00:00:00,LTO/USDT,0.08376,0.08529,0.08346,0.08389,1360777.99829056,114891.9250802815799
1662076800,2022-09-02 00:00:00,LTO/USDT,0.08639,0.08639,0.08344,0.08362,1380413.55703341,117647.482427568254
1661990400,2022-09-01 00:00:00,LTO/USDT,0.08365,0.091,0.08223,0.0863,2310038.05133362,196449.9875040645718
