https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIX100,Volume USDT
1663459200,2022-09-18 00:00:00,CIX100/USDT,0.03773,0.03795,0.03769,0.03792,227861.8136,8629.4547401
1663372800,2022-09-17 00:00:00,CIX100/USDT,0.03852,0.03999,0.03717,0.03773,9410825.2704,361045.981700423
1663286400,2022-09-16 00:00:00,CIX100/USDT,0.03848,0.04003,0.03698,0.03852,8896402.8771,339577.449040631
1663200000,2022-09-15 00:00:00,CIX100/USDT,0.03825,0.04063,0.03705,0.03848,9872823.3617,378299.276376496
1663113600,2022-09-14 00:00:00,CIX100/USDT,0.03767,0.03908,0.03656,0.03825,6165195.8859,234223.849853071
1663027200,2022-09-13 00:00:00,CIX100/USDT,0.03909,0.03946,0.0364,0.03755,1167765.1502,43700.427447324
1662940800,2022-09-12 00:00:00,CIX100/USDT,0.03819,0.04505,0.03808,0.03909,11120351.6198,436346.490246817
1662854400,2022-09-11 00:00:00,CIX100/USDT,0.03767,0.0405,0.0374,0.03819,20878682.6977,803328.269532077
1662768000,2022-09-10 00:00:00,CIX100/USDT,0.03788,0.03878,0.03605,0.03765,21208101.2673,795302.984296175
1662681600,2022-09-09 00:00:00,CIX100/USDT,0.03798,0.04,0.03636,0.03788,21187941.4832,803358.810725303
1662595200,2022-09-08 00:00:00,CIX100/USDT,0.03716,0.0482,0.03612,0.03798,23280866.6815,892911.899000467
1662508800,2022-09-07 00:00:00,CIX100/USDT,0.03684,0.0385,0.03508,0.03718,19687264.5401,714095.235663326
1662422400,2022-09-06 00:00:00,CIX100/USDT,0.03916,0.04087,0.03667,0.03684,18948368.7935,722132.32455789
1662336000,2022-09-05 00:00:00,CIX100/USDT,0.03742,0.04102,0.03544,0.03915,21188624.4123,788123.495836781
1662249600,2022-09-04 00:00:00,CIX100/USDT,0.03723,0.03865,0.0366,0.03743,19109434.6611,711711.943070627
1662163200,2022-09-03 00:00:00,CIX100/USDT,0.03847,0.04059,0.03669,0.03723,23077081.9707,889371.374273028
