https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POSI,Volume USDT
1663459200,2022-09-18 00:00:00,POSI/USDT,0.1225,0.1236,0.122,0.1225,65014.9796,7969.54805954
1663372800,2022-09-17 00:00:00,POSI/USDT,0.1226,0.126,0.1202,0.1225,1677706.6358,206177.38838152
1663286400,2022-09-16 00:00:00,POSI/USDT,0.1245,0.126,0.1148,0.1226,1102044.8257,133566.18863303
1663200000,2022-09-15 00:00:00,POSI/USDT,0.128,0.1398,0.1215,0.125,466256.3693,59060.58927392
1663113600,2022-09-14 00:00:00,POSI/USDT,0.1304,0.1347,0.1253,0.1276,465896.6853,60115.30432992
1663027200,2022-09-13 00:00:00,POSI/USDT,0.1324,0.138,0.1284,0.1304,442541.0544,58507.84595665
1662940800,2022-09-12 00:00:00,POSI/USDT,0.1382,0.1464,0.131,0.1322,170241.4885,22836.43822909
1662854400,2022-09-11 00:00:00,POSI/USDT,0.1381,0.14,0.1228,0.139,84366.5726,11239.93799431
1662768000,2022-09-10 00:00:00,POSI/USDT,0.1349,0.1397,0.1321,0.1382,11915.3131,1610.22165436
1662681600,2022-09-09 00:00:00,POSI/USDT,0.1357,0.137,0.1208,0.136,108746.0286,14281.87374445
1662595200,2022-09-08 00:00:00,POSI/USDT,0.1333,0.1365,0.1293,0.1357,33196.5485,4417.9960008
1662508800,2022-09-07 00:00:00,POSI/USDT,0.1306,0.1492,0.1251,0.1333,112031.752,14972.69017073
1662422400,2022-09-06 00:00:00,POSI/USDT,0.1352,0.1419,0.122,0.1304,121653.5544,15908.76619427
1662336000,2022-09-05 00:00:00,POSI/USDT,0.1345,0.1492,0.1315,0.1352,205398.4867,28526.38540974
1662249600,2022-09-04 00:00:00,POSI/USDT,0.1318,0.1394,0.1315,0.1347,47708.1994,6469.75170554
1662163200,2022-09-03 00:00:00,POSI/USDT,0.1317,0.1333,0.1283,0.133,29438.3378,3869.95886959
1662076800,2022-09-02 00:00:00,POSI/USDT,0.1282,0.137,0.1238,0.1326,63831.133,8229.56234433
1661990400,2022-09-01 00:00:00,POSI/USDT,0.1298,0.1372,0.12,0.129,114436.1024,14434.04467381
1661904000,2022-08-31 00:00:00,POSI/USDT,0.1217,0.1365,0.1217,0.1298,74368.9827,9581.57261832
1661817600,2022-08-30 00:00:00,POSI/USDT,0.1233,0.1299,0.1194,0.1217,48601.4549,5995.2920276
1661731200,2022-08-29 00:00:00,POSI/USDT,0.123,0.1303,0.1225,0.1237,55005.8869,6835.21395807
1661644800,2022-08-28 00:00:00,POSI/USDT,0.1213,0.1398,0.1201,0.1231,53471.6969,6765.37224507
1661558400,2022-08-27 00:00:00,POSI/USDT,0.1282,0.1282,0.1145,0.1205,91269.7786,11090.73106739
1661472000,2022-08-26 00:00:00,POSI/USDT,0.1378,0.1549,0.127,0.129,67197.5892,9245.83079739
1661385600,2022-08-25 00:00:00,POSI/USDT,0.1395,0.1414,0.1338,0.1388,44880.0336,6211.47222066
