https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PMON,Volume USDT
1663462800,2022-09-18 01:00:00,PMON/USDT,1.3137,1.3288,1.3112,1.3272,474.9448,628.76093709
1663459200,2022-09-18 00:00:00,PMON/USDT,1.3446,1.345,1.3137,1.3154,2800.7252,3732.85974877
1663455600,2022-09-17 23:00:00,PMON/USDT,1.3031,1.345,1.302,1.345,3322.2293,4431.01077678
1663452000,2022-09-17 22:00:00,PMON/USDT,1.3092,1.3219,1.3013,1.3077,4307.9807,5644.06878161
1663448400,2022-09-17 21:00:00,PMON/USDT,1.3094,1.3227,1.3086,1.3132,3283.0024,4319.48907134
1663444800,2022-09-17 20:00:00,PMON/USDT,1.3117,1.3157,1.3086,1.3134,3336.2884,4381.00298436
1663441200,2022-09-17 19:00:00,PMON/USDT,1.3408,1.345,1.3013,1.3117,4001.9708,5263.33182828
1663437600,2022-09-17 18:00:00,PMON/USDT,1.3121,1.345,1.3016,1.3449,3692.9953,4858.514308
1663434000,2022-09-17 17:00:00,PMON/USDT,1.3232,1.3304,1.3072,1.314,3798.6482,4999.31090732
1663430400,2022-09-17 16:00:00,PMON/USDT,1.3162,1.3355,1.3105,1.3232,4617.0551,6117.45097964
1663426800,2022-09-17 15:00:00,PMON/USDT,1.3278,1.333,1.3098,1.3201,3231.6594,4267.68909537
1663423200,2022-09-17 14:00:00,PMON/USDT,1.3258,1.3717,1.3002,1.3215,11566.6543,15224.99594768
1663419600,2022-09-17 13:00:00,PMON/USDT,1.3496,1.3574,1.3213,1.3298,4776.44,6386.78114182
1663416000,2022-09-17 12:00:00,PMON/USDT,1.3564,1.4499,1.3196,1.3455,10852.0246,14873.76231879
1663412400,2022-09-17 11:00:00,PMON/USDT,1.31,1.369,1.2821,1.3564,13605.4783,18081.25241536
1663408800,2022-09-17 10:00:00,PMON/USDT,1.328,1.343,1.298,1.3178,8743.9529,11511.13953533
1663405200,2022-09-17 09:00:00,PMON/USDT,1.3309,1.3699,1.3173,1.3391,6881.8017,9206.81962714
1663401600,2022-09-17 08:00:00,PMON/USDT,1.3401,1.3401,1.3301,1.3309,2944.9864,3929.06197628
1663398000,2022-09-17 07:00:00,PMON/USDT,1.3303,1.4196,1.3303,1.336,10405.9304,14315.14534182
1663394400,2022-09-17 06:00:00,PMON/USDT,1.3157,1.3458,1.3101,1.3343,3104.9153,4115.21933678
1663390800,2022-09-17 05:00:00,PMON/USDT,1.3235,1.3275,1.3102,1.3106,3051.5497,4015.8920521
1663387200,2022-09-17 04:00:00,PMON/USDT,1.3302,1.3462,1.32,1.3275,2816.5979,3761.73415844
1663383600,2022-09-17 03:00:00,PMON/USDT,1.3168,1.3355,1.3101,1.3355,2825.574,3741.78492634
1663380000,2022-09-17 02:00:00,PMON/USDT,1.3294,1.3294,1.3151,1.3208,2600.0468,3444.48007158
1663376400,2022-09-17 01:00:00,PMON/USDT,1.3136,1.3314,1.3101,1.3294,3423.6375,4516.87250454
1663372800,2022-09-17 00:00:00,PMON/USDT,1.3523,1.3564,1.3107,1.3176,2827.687,3760.96477786
1663369200,2022-09-16 23:00:00,PMON/USDT,1.3397,1.3773,1.3361,1.3565,4490.5474,6135.24034966
1663365600,2022-09-16 22:00:00,PMON/USDT,1.3116,1.3998,1.3104,1.3455,7006.2601,9453.88988689
1663362000,2022-09-16 21:00:00,PMON/USDT,1.3196,1.3236,1.3103,1.3156,3377.2116,4450.99282735
1663358400,2022-09-16 20:00:00,PMON/USDT,1.3222,1.3354,1.317,1.3236,3627.9889,4810.82970908
1663354800,2022-09-16 19:00:00,PMON/USDT,1.3169,1.3285,1.3104,1.3222,4237.5638,5601.67820998
1663351200,2022-09-16 18:00:00,PMON/USDT,1.3116,1.3228,1.3101,1.3209,3077.1926,4044.32710321
1663347600,2022-09-16 17:00:00,PMON/USDT,1.3171,1.3264,1.3101,1.3156,5605.6478,7365.51580447
1663344000,2022-09-16 16:00:00,PMON/USDT,1.3164,1.3998,1.3101,1.3254,5040.7968,6726.10609064
1663340400,2022-09-16 15:00:00,PMON/USDT,1.3482,1.3507,1.3101,1.3124,7297.4395,9657.91174533
1663336800,2022-09-16 14:00:00,PMON/USDT,1.3212,1.4,1.2614,1.3441,9712.9992,12674.62419191
1663333200,2022-09-16 13:00:00,PMON/USDT,1.3057,1.3228,1.3,1.3172,3677.0463,4838.40997047
1663329600,2022-09-16 12:00:00,PMON/USDT,1.294,1.3102,1.266,1.3102,8009.925,10311.69386681
1663326000,2022-09-16 11:00:00,PMON/USDT,1.2833,1.3144,1.2701,1.3021,7213.3766,9361.53299484
1663322400,2022-09-16 10:00:00,PMON/USDT,1.2813,1.3373,1.2627,1.2954,6813.6941,8892.4125174
1663318800,2022-09-16 09:00:00,PMON/USDT,1.2787,1.3146,1.2669,1.2879,1781.7027,2280.41376072
1663315200,2022-09-16 08:00:00,PMON/USDT,1.258,1.3026,1.258,1.2763,1840.719,2349.74934563
1663311600,2022-09-16 07:00:00,PMON/USDT,1.2826,1.2832,1.2507,1.2655,915.4628,1159.80158774
1663308000,2022-09-16 06:00:00,PMON/USDT,1.2828,1.2877,1.2601,1.2867,2819.1809,3620.23162543
1663304400,2022-09-16 05:00:00,PMON/USDT,1.2918,1.292,1.2802,1.2883,2732.0202,3524.55408388
1663300800,2022-09-16 04:00:00,PMON/USDT,1.2905,1.297,1.2641,1.2928,1543.9844,1987.82462312
1663297200,2022-09-16 03:00:00,PMON/USDT,1.294,1.2941,1.2502,1.2905,3856.5457,4898.7441443
1663293600,2022-09-16 02:00:00,PMON/USDT,1.2959,1.297,1.285,1.2962,199.7482,257.34979027
1663290000,2022-09-16 01:00:00,PMON/USDT,1.3104,1.3225,1.2852,1.2944,2764.1071,3612.49550331
1663286400,2022-09-16 00:00:00,PMON/USDT,1.3065,1.33,1.2933,1.3073,3035.3593,3997.80276808
1663282800,2022-09-15 23:00:00,PMON/USDT,1.3238,1.3238,1.2934,1.305,2909.0517,3775.52278342
1663279200,2022-09-15 22:00:00,PMON/USDT,1.3335,1.342,1.3206,1.3344,1294.8559,1732.4157138
1663275600,2022-09-15 21:00:00,PMON/USDT,1.3432,1.3434,1.3335,1.3335,409.6124,550.07542764
1663272000,2022-09-15 20:00:00,PMON/USDT,1.3428,1.3461,1.3331,1.3354,633.331,850.24119292
1663268400,2022-09-15 19:00:00,PMON/USDT,1.3569,1.3569,1.3364,1.3374,396.2182,533.79119493
