https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USDT
1663462800,2022-09-18 01:00:00,ENS/USDT,14.302,14.356,14.302,14.356,127.59686769,1829.32290355093
1663459200,2022-09-18 00:00:00,ENS/USDT,14.572,14.572,14.19,14.302,1511.9158518,21692.00092828606
1663455600,2022-09-17 23:00:00,ENS/USDT,14.508,14.604,14.507,14.51,102.1836,1486.6916664
1663452000,2022-09-17 22:00:00,ENS/USDT,14.509,14.532,14.442,14.5,287.07672857,4162.81611723639
1663448400,2022-09-17 21:00:00,ENS/USDT,14.472,14.574,14.457,14.501,263.98258395,3832.72614275068
1663444800,2022-09-17 20:00:00,ENS/USDT,14.404,14.471,14.332,14.471,556.68633995,8012.95251695527
1663441200,2022-09-17 19:00:00,ENS/USDT,14.439,14.446,14.403,14.423,361.59792898,5214.20799267117
1663437600,2022-09-17 18:00:00,ENS/USDT,14.411,14.528,14.404,14.448,450.00974375,6513.14678086274
1663434000,2022-09-17 17:00:00,ENS/USDT,14.365,14.442,14.318,14.425,1542.86763921,22148.00302945997
1663430400,2022-09-17 16:00:00,ENS/USDT,14.268,14.423,14.255,14.379,1685.90945559,24178.39381279429
1663426800,2022-09-17 15:00:00,ENS/USDT,14.2,14.303,14.149,14.266,1089.71616938,15479.36312279575
1663423200,2022-09-17 14:00:00,ENS/USDT,14.056,14.197,14.033,14.197,254.21047044,3587.51574227477
1663419600,2022-09-17 13:00:00,ENS/USDT,14.152,14.172,14.004,14.043,540.14232512,7598.32727100449
1663416000,2022-09-17 12:00:00,ENS/USDT,14.034,14.2,13.842,14.177,2746.32905695,38520.81264949439
1663412400,2022-09-17 11:00:00,ENS/USDT,14.035,14.141,14.028,14.054,601.97263456,8483.9966239872
1663408800,2022-09-17 10:00:00,ENS/USDT,14.123,14.14,13.926,14.031,427.18667741,5988.89554994993
1663405200,2022-09-17 09:00:00,ENS/USDT,14.153,14.17,14.105,14.137,269.35407805,3805.74123579892
1663401600,2022-09-17 08:00:00,ENS/USDT,14.202,14.226,14.12,14.139,510.1717849,7241.4328431746
1663398000,2022-09-17 07:00:00,ENS/USDT,14.145,14.2,14.079,14.2,117.41042279,1658.03099956751
1663394400,2022-09-17 06:00:00,ENS/USDT,14.186,14.287,14.087,14.166,1771.87397127,25147.80527022302
1663390800,2022-09-17 05:00:00,ENS/USDT,14.347,14.347,14.119,14.178,1141.54203583,16200.03342367071
1663387200,2022-09-17 04:00:00,ENS/USDT,14.219,14.376,14.165,14.338,1153.75958667,16480.09129923431
1663383600,2022-09-17 03:00:00,ENS/USDT,14.281,14.299,14.192,14.221,304.25895873,4330.75055352754
1663380000,2022-09-17 02:00:00,ENS/USDT,14.412,14.412,14.186,14.304,915.10111702,13075.2092735695
1663376400,2022-09-17 01:00:00,ENS/USDT,14.626,14.633,14.396,14.421,2428.44514204,35200.22421439067
1663372800,2022-09-17 00:00:00,ENS/USDT,14.51,14.799,14.51,14.652,1039.11397824,15228.15413892814
1663369200,2022-09-16 23:00:00,ENS/USDT,14.517,14.531,14.429,14.52,304.75422254,4411.14201271288
1663365600,2022-09-16 22:00:00,ENS/USDT,14.591,14.656,14.515,14.545,564.11354343,8222.12060991051
1663362000,2022-09-16 21:00:00,ENS/USDT,14.651,14.676,14.554,14.588,84.7337621,1237.449339102
1663358400,2022-09-16 20:00:00,ENS/USDT,14.523,14.676,14.523,14.639,285.97374503,4186.8175063773
1663354800,2022-09-16 19:00:00,ENS/USDT,14.564,14.682,14.48,14.501,965.8340286,14066.52272427547
1663351200,2022-09-16 18:00:00,ENS/USDT,14.511,14.626,14.416,14.58,548.15299452,7970.04580646298
1663347600,2022-09-16 17:00:00,ENS/USDT,14.636,14.662,14.23,14.516,4024.74545426,57821.85667351897
1663344000,2022-09-16 16:00:00,ENS/USDT,14.819,14.889,14.547,14.636,2701.00241746,39669.9347269923
1663340400,2022-09-16 15:00:00,ENS/USDT,14.724,14.852,14.614,14.852,1110.38042776,16326.38971368826
1663336800,2022-09-16 14:00:00,ENS/USDT,14.595,14.85,14.504,14.725,1128.73834987,16600.5051363721
1663333200,2022-09-16 13:00:00,ENS/USDT,14.91,14.954,14.498,14.592,1471.42966134,21664.46808534598
1663329600,2022-09-16 12:00:00,ENS/USDT,15.067,15.199,14.846,14.858,2871.31348635,43122.41652095377
