https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT
1663376400,2022-09-17 01:00:00,LUNA/USDT,2.9534,2.9775,2.9441,2.967,81611.00416972,241933.541571648953
1663372800,2022-09-17 00:00:00,LUNA/USDT,3.0743,3.0946,2.9044,2.9539,751436.36488292,2243403.412589535261
1663369200,2022-09-16 23:00:00,LUNA/USDT,3.2014,3.2092,3.0047,3.0743,806650.63930937,2476465.202334367032
1663365600,2022-09-16 22:00:00,LUNA/USDT,3.2391,3.2609,3.1602,3.2021,587356.73012205,1886107.627565063615
1663362000,2022-09-16 21:00:00,LUNA/USDT,3.1946,3.35,3.1612,3.2392,518610.02564975,1670389.167510160005
1663358400,2022-09-16 20:00:00,LUNA/USDT,3.1621,3.2502,3.1313,3.1947,378001.72922728,1208152.510135560573
1663354800,2022-09-16 19:00:00,LUNA/USDT,3.2492,3.2532,3.0901,3.1632,430605.17937558,1355624.075561925948
1663351200,2022-09-16 18:00:00,LUNA/USDT,3.3823,3.3825,3.1655,3.2531,942025.2234087,3042950.95284232465
1663347600,2022-09-16 17:00:00,LUNA/USDT,2.858,3.489,2.8574,3.3805,1518055.81311222,4743552.135003182403
1663344000,2022-09-16 16:00:00,LUNA/USDT,2.8653,2.9003,2.7852,2.8573,258191.78279587,733591.465343759618
1663340400,2022-09-16 15:00:00,LUNA/USDT,2.8358,2.8949,2.8017,2.8668,224967.05013935,639497.56701211243
1663336800,2022-09-16 14:00:00,LUNA/USDT,2.6854,2.9278,2.6757,2.8369,449829.08416079,1263221.921631719085
1663333200,2022-09-16 13:00:00,LUNA/USDT,2.7208,2.7355,2.6387,2.6852,203269.18242292,548726.307834560265
1663329600,2022-09-16 12:00:00,LUNA/USDT,2.7476,2.7617,2.7108,2.7197,277292.22078437,759083.740270928529
1663326000,2022-09-16 11:00:00,LUNA/USDT,2.6924,2.7753,2.6696,2.7486,491242.51948922,1338385.577983534882
1663322400,2022-09-16 10:00:00,LUNA/USDT,2.7849,2.7884,2.6442,2.6907,679134.64041079,1833893.028991225732
1663318800,2022-09-16 09:00:00,LUNA/USDT,2.8331,2.8558,2.7572,2.7852,351976.1380633,985757.347719517417
1663315200,2022-09-16 08:00:00,LUNA/USDT,2.8672,2.8705,2.8065,2.8318,340771.7766606,968670.133013590171
1663311600,2022-09-16 07:00:00,LUNA/USDT,2.8725,2.8973,2.8659,2.8682,239119.15382229,688414.400902705523
1663308000,2022-09-16 06:00:00,LUNA/USDT,2.8286,2.901,2.8272,2.8715,464803.69368297,1337610.667692640369
1663304400,2022-09-16 05:00:00,LUNA/USDT,2.8823,2.8893,2.771,2.8296,623057.96555248,1768699.084062666581
1663300800,2022-09-16 04:00:00,LUNA/USDT,2.8381,2.9233,2.82,2.8823,437008.11797319,1249498.553533637473
1663297200,2022-09-16 03:00:00,LUNA/USDT,2.8911,2.8997,2.833,2.8379,369281.93815536,1058841.899776759568
1663293600,2022-09-16 02:00:00,LUNA/USDT,2.9042,2.927,2.8558,2.8899,493957.51321623,1429814.457098279617
1663290000,2022-09-16 01:00:00,LUNA/USDT,2.9051,2.9886,2.8506,2.9043,1415743.15844727,4129742.855046060412
1663286400,2022-09-16 00:00:00,LUNA/USDT,2.7266,2.9271,2.6916,2.9083,1127898.7587451,3163345.365236436153
1663282800,2022-09-15 23:00:00,LUNA/USDT,2.7383,2.7705,2.7103,2.7254,755862.69275677,2074765.429664323035
1663279200,2022-09-15 22:00:00,LUNA/USDT,2.732,2.7845,2.6845,2.7377,474394.5861648,1292176.383393398459
1663275600,2022-09-15 21:00:00,LUNA/USDT,2.6615,2.7493,2.6581,2.732,233765.26516569,635857.787218505793
1663272000,2022-09-15 20:00:00,LUNA/USDT,2.668,2.698,2.6561,2.6625,165198.61658707,442170.577774189448
1663268400,2022-09-15 19:00:00,LUNA/USDT,2.6847,2.7,2.6221,2.6693,306644.72678984,817478.384543764839
1663264800,2022-09-15 18:00:00,LUNA/USDT,2.7388,2.7599,2.6587,2.6849,289602.2535488,782062.221187847299
1663261200,2022-09-15 17:00:00,LUNA/USDT,2.749,2.7769,2.7067,2.74,249412.77844712,683812.483049097153
1663257600,2022-09-15 16:00:00,LUNA/USDT,2.7546,2.7999,2.7179,2.7497,282155.74325778,777810.296389751291
1663254000,2022-09-15 15:00:00,LUNA/USDT,2.6999,2.7866,2.6625,2.7559,562232.76110962,1535138.546276821567
1663250400,2022-09-15 14:00:00,LUNA/USDT,2.9354,2.9393,2.6278,2.7032,560163.94922116,1549919.63355548748
1663246800,2022-09-15 13:00:00,LUNA/USDT,2.908,2.9547,2.8655,2.9325,188918.43264414,549522.762132237303
1663243200,2022-09-15 12:00:00,LUNA/USDT,2.9426,2.9468,2.8357,2.904,240854.60256819,699144.43867118981
1663239600,2022-09-15 11:00:00,LUNA/USDT,2.9398,2.9799,2.9089,2.9425,169675.48353859,499875.742602333722
1663236000,2022-09-15 10:00:00,LUNA/USDT,2.9174,2.9639,2.8788,2.9369,205613.46608369,603386.700172857266
1663232400,2022-09-15 09:00:00,LUNA/USDT,3.0139,3.0282,2.8936,2.9169,352774.6467786,1048568.484600852491
1663228800,2022-09-15 08:00:00,LUNA/USDT,3.0931,3.0944,2.9639,3.0146,447895.07910198,1352614.761769933073
1663225200,2022-09-15 07:00:00,LUNA/USDT,3.0667,3.1328,3.0177,3.0944,736394.85379297,2258948.792868610872
1663221600,2022-09-15 06:00:00,LUNA/USDT,3.0332,3.1786,2.9313,3.0674,1312851.50257827,3968527.505485129016
1663218000,2022-09-15 05:00:00,LUNA/USDT,2.877,3.09,2.8723,3.0327,1163079.61879873,3473568.366964770934
1663214400,2022-09-15 04:00:00,LUNA/USDT,2.8922,2.9242,2.8245,2.8741,720425.15862209,2070028.603316502922
1663210800,2022-09-15 03:00:00,LUNA/USDT,2.8451,2.9258,2.7775,2.892,756116.21041253,2174797.185370212754
1663207200,2022-09-15 02:00:00,LUNA/USDT,2.9711,3.0166,2.8357,2.845,584435.74410333,1723511.752564259019
1663203600,2022-09-15 01:00:00,LUNA/USDT,2.9677,3.0151,2.8686,2.9701,875591.17979354,2580047.144289608184
1663200000,2022-09-15 00:00:00,LUNA/USDT,3.0276,3.0831,2.941,2.9669,764928.02085026,2305817.734455975669
1663196400,2022-09-14 23:00:00,LUNA/USDT,3.0775,3.084,2.8852,3.027,1190228.43711608,3533193.804819765233
1663192800,2022-09-14 22:00:00,LUNA/USDT,3.0913,3.1231,3.0504,3.0785,331172.41121335,1020379.405150574049
