https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACA,Volume USDT
1663459200,2022-09-18 00:00:00,ACA/USDT,0.2397,0.2397,0.2361,0.2367,31758.38556612,7521.128103557036
1663372800,2022-09-17 00:00:00,ACA/USDT,0.2383,0.245,0.2328,0.2397,484347.72829613,115673.684941219075
1663286400,2022-09-16 00:00:00,ACA/USDT,0.2223,0.2412,0.2178,0.2383,1362643.9075069,315596.336595978299
1663200000,2022-09-15 00:00:00,ACA/USDT,0.2363,0.2441,0.2216,0.2222,720561.56373067,168202.893456484476
1663113600,2022-09-14 00:00:00,ACA/USDT,0.2374,0.2642,0.2305,0.2363,1864394.20749824,448489.808298750536
1663027200,2022-09-13 00:00:00,ACA/USDT,0.2352,0.2399,0.2165,0.2376,1111289.92426304,253916.472720439508
1662940800,2022-09-12 00:00:00,ACA/USDT,0.239,0.2427,0.2253,0.2352,1013553.99506651,236993.348536688454
1662854400,2022-09-11 00:00:00,ACA/USDT,0.2362,0.2467,0.2343,0.2393,964152.65799737,229584.426074228162
1662768000,2022-09-10 00:00:00,ACA/USDT,0.2119,0.2677,0.2113,0.2361,4583672.00891134,1098498.384574999577
1662681600,2022-09-09 00:00:00,ACA/USDT,0.194,0.2257,0.192,0.212,2207723.05361573,459258.661037386964
1662595200,2022-09-08 00:00:00,ACA/USDT,0.1898,0.1958,0.1829,0.1935,600141.36962728,112983.890533080531
1662508800,2022-09-07 00:00:00,ACA/USDT,0.1741,0.2046,0.171,0.1895,3108273.39774732,576192.101869924503
1662422400,2022-09-06 00:00:00,ACA/USDT,0.1876,0.1912,0.1741,0.1742,727592.40033125,134023.860633289636
1662336000,2022-09-05 00:00:00,ACA/USDT,0.192,0.1971,0.1857,0.1876,571592.55286034,108805.047353630909
1662249600,2022-09-04 00:00:00,ACA/USDT,0.1871,0.1961,0.1853,0.1917,601191.71360375,113698.849563615473
1662163200,2022-09-03 00:00:00,ACA/USDT,0.1832,0.198,0.1805,0.1871,740441.02148429,137957.414092594482
1662076800,2022-09-02 00:00:00,ACA/USDT,0.1824,0.2085,0.1816,0.1832,1413395.96816199,271025.20436000446
1661990400,2022-09-01 00:00:00,ACA/USDT,0.1873,0.1895,0.176,0.1824,1006917.32829887,182139.201603742853
1661904000,2022-08-31 00:00:00,ACA/USDT,0.188,0.1937,0.1866,0.187,640377.43011774,122006.765626158018
1661817600,2022-08-30 00:00:00,ACA/USDT,0.1988,0.2089,0.1857,0.1879,1213180.46174599,237314.116838101492
1661731200,2022-08-29 00:00:00,ACA/USDT,0.1846,0.2137,0.184,0.1983,4491540.77421873,896160.368317876021
1661644800,2022-08-28 00:00:00,ACA/USDT,0.1889,0.2189,0.1842,0.1847,1825998.74102798,362774.975587124442
1661558400,2022-08-27 00:00:00,ACA/USDT,0.1968,0.1989,0.1854,0.1887,1277273.73834774,244312.561100632154
1661472000,2022-08-26 00:00:00,ACA/USDT,0.2173,0.2189,0.1958,0.1968,1329438.53789289,277129.439963368252
1661385600,2022-08-25 00:00:00,ACA/USDT,0.2136,0.2207,0.2133,0.2177,592317.4721921,128860.930985693755
1661299200,2022-08-24 00:00:00,ACA/USDT,0.2208,0.2279,0.2136,0.2143,1435962.35622958,314453.669687741195
1661212800,2022-08-23 00:00:00,ACA/USDT,0.2232,0.23,0.217,0.2203,1899105.46222463,424405.110676632849
1661126400,2022-08-22 00:00:00,ACA/USDT,0.2339,0.2339,0.2159,0.2238,1894218.6718469,421397.875749874012
1661040000,2022-08-21 00:00:00,ACA/USDT,0.2185,0.2446,0.2185,0.2338,2890063.8779259,669678.668811819721
1660953600,2022-08-20 00:00:00,ACA/USDT,0.2206,0.2316,0.2153,0.2189,2851440.19786365,638533.09622680093
1660867200,2022-08-19 00:00:00,ACA/USDT,0.242,0.243,0.219,0.2208,3105957.23752591,700060.546583114441
1660780800,2022-08-18 00:00:00,ACA/USDT,0.2475,0.2595,0.2421,0.2422,1996347.80237377,500823.692440462539
1660694400,2022-08-17 00:00:00,ACA/USDT,0.2705,0.2764,0.2449,0.2481,1692992.54560055,438362.790046402992
1660608000,2022-08-16 00:00:00,ACA/USDT,0.2656,0.2817,0.2628,0.2703,1751445.22256442,474520.768140104963
1660521600,2022-08-15 00:00:00,ACA/USDT,0.2773,0.2883,0.2596,0.2659,2572940.60021675,702544.188778408858
1660435200,2022-08-14 00:00:00,ACA/USDT,0.3125,0.32,0.2649,0.2776,8220852.49764337,2397578.496623007152
1660348800,2022-08-13 00:00:00,ACA/USDT,0.3213,0.333,0.3081,0.3125,2016936.12794924,641754.464890940113
