https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DUSK,Volume USDT
1663459200,2022-09-18 00:00:00,DUSK/USDT,0.1245,0.1245,0.1241,0.1241,16631.6075,2064.82539162
1663372800,2022-09-17 00:00:00,DUSK/USDT,0.1214,0.1254,0.1214,0.1247,175255.4468,21653.49533032
1663286400,2022-09-16 00:00:00,DUSK/USDT,0.1197,0.1221,0.1186,0.1208,189423.4774,22778.7789051
1663200000,2022-09-15 00:00:00,DUSK/USDT,0.1247,0.1248,0.1188,0.1204,250801.9208,30392.09475781
1663113600,2022-09-14 00:00:00,DUSK/USDT,0.1236,0.1268,0.1217,0.1247,384247.4508,47801.75596566
1663027200,2022-09-13 00:00:00,DUSK/USDT,0.1349,0.1353,0.1233,0.1242,450545.1129,58255.58670717
1662940800,2022-09-12 00:00:00,DUSK/USDT,0.1373,0.1408,0.1323,0.1352,448981.6962,61396.31560264
1662854400,2022-09-11 00:00:00,DUSK/USDT,0.1392,0.1443,0.135,0.1377,367190.705,51352.21698341
1662768000,2022-09-10 00:00:00,DUSK/USDT,0.1374,0.142,0.1367,0.139,278986.6168,38836.25130827
1662681600,2022-09-09 00:00:00,DUSK/USDT,0.1305,0.138,0.1303,0.1374,311127.3102,42249.75295245
1662595200,2022-09-08 00:00:00,DUSK/USDT,0.1302,0.1313,0.1277,0.1303,186813.7823,24170.25209835
1662508800,2022-09-07 00:00:00,DUSK/USDT,0.1271,0.1319,0.1269,0.1295,264383.7803,34172.28113389
1662422400,2022-09-06 00:00:00,DUSK/USDT,0.1443,0.1451,0.1265,0.1267,493753.4645,66332.46641967
1662336000,2022-09-05 00:00:00,DUSK/USDT,0.1384,0.1472,0.1384,0.1443,584118.0631,83765.41155238
1662249600,2022-09-04 00:00:00,DUSK/USDT,0.1361,0.1386,0.1342,0.1377,177828.1211,24180.56167042
1662163200,2022-09-03 00:00:00,DUSK/USDT,0.1344,0.1454,0.1339,0.1361,383876.9595,52909.83838148
1662076800,2022-09-02 00:00:00,DUSK/USDT,0.1398,0.14,0.1315,0.134,142669.0956,19200.04494359
1661990400,2022-09-01 00:00:00,DUSK/USDT,0.1332,0.1466,0.1308,0.1395,281461.4993,38186.52720452
1661904000,2022-08-31 00:00:00,DUSK/USDT,0.1324,0.1362,0.1315,0.1325,79027.6563,10581.01347629
1661817600,2022-08-30 00:00:00,DUSK/USDT,0.1304,0.1336,0.1231,0.1317,149802.9923,19106.75938619
1661731200,2022-08-29 00:00:00,DUSK/USDT,0.1196,0.131,0.1181,0.131,229640.7893,28324.7780632
1661644800,2022-08-28 00:00:00,DUSK/USDT,0.123,0.131,0.1197,0.1199,95038.9723,11816.48079073
1661558400,2022-08-27 00:00:00,DUSK/USDT,0.1242,0.1313,0.1181,0.1234,318363.6609,39695.03448968
1661472000,2022-08-26 00:00:00,DUSK/USDT,0.138,0.1404,0.1236,0.124,267783.4901,35615.44211099
1661385600,2022-08-25 00:00:00,DUSK/USDT,0.1328,0.144,0.1327,0.1379,254494.1452,35248.205613
1661299200,2022-08-24 00:00:00,DUSK/USDT,0.1302,0.1452,0.127,0.1325,496871.0295,66406.06267941
1661212800,2022-08-23 00:00:00,DUSK/USDT,0.1282,0.1335,0.1243,0.1295,181459.2655,23494.93724304
1661126400,2022-08-22 00:00:00,DUSK/USDT,0.138,0.1397,0.1233,0.1281,646087.4873,82941.65723877
1661040000,2022-08-21 00:00:00,DUSK/USDT,0.1223,0.2469,0.1223,0.1379,4501925.57237032,685773.9251646197
1660953600,2022-08-20 00:00:00,DUSK/USDT,0.1273,0.1311,0.1194,0.1223,851101.0603,105105.47305605
1660867200,2022-08-19 00:00:00,DUSK/USDT,0.1351,0.1363,0.1138,0.128,977742.8553,125480.36248763
