https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC
1663459200,2022-09-18 00:00:00,BTC/USDC,20115.8,20115.8,19958,20030.2,9.02670487,180508.466349617
1663372800,2022-09-17 00:00:00,BTC/USDC,19798.3,20178.6,19750,20119.1,226.1321902,4514508.451535563
1663286400,2022-09-16 00:00:00,BTC/USDC,19695.1,19887.7,19300,19796.9,297.97777711,5858327.804289786
1663200000,2022-09-15 00:00:00,BTC/USDC,20234.1,20339.4,19500,19695.7,455.69471906,9102998.495851309
1663113600,2022-09-14 00:00:00,BTC/USDC,20174.5,20535,19618,20230.5,433.9182686,8749905.097671849
1663027200,2022-09-13 00:00:00,BTC/USDC,22394.6,22800,19880,20174.5,842.7200112,18047554.488393396
1662940800,2022-09-12 00:00:00,BTC/USDC,21831.8,22500,21552,22400,434.43690736,9622942.881356911
1662854400,2022-09-11 00:00:00,BTC/USDC,21653.3,21884,21243.7,21853.3,291.83068593,6306151.925345953
1662768000,2022-09-10 00:00:00,BTC/USDC,21372.5,21813.9,21131.9,21651.4,287.59012627,6166149.223270352
1662681600,2022-09-09 00:00:00,BTC/USDC,19321.5,21622,19295.6,21367.3,612.40276579,12731673.783990112
1662595200,2022-09-08 00:00:00,BTC/USDC,19291.1,19453.4,19016.8,19322.6,482.37935886,9281845.121138304
1662508800,2022-09-07 00:00:00,BTC/USDC,18788.3,19460,18537.4,19291.1,443.77460921,8408705.739998984
1662422400,2022-09-06 00:00:00,BTC/USDC,19795.7,20176.6,18555,18786.7,604.33902372,11703604.117213953
1662336000,2022-09-05 00:00:00,BTC/USDC,20007.5,20051.4,19632.2,19783.5,244.92675284,4845662.373481946
1662249600,2022-09-04 00:00:00,BTC/USDC,19832.7,20022,19588.1,19994.3,243.69302441,4826930.003449329
1662163200,2022-09-03 00:00:00,BTC/USDC,19953.7,20052.2,19657,19832.7,159.05741981,3154784.725560144
1662076800,2022-09-02 00:00:00,BTC/USDC,20127.4,20431.9,19759.5,19957.8,333.26235847,6708162.576749593
1661990400,2022-09-01 00:00:00,BTC/USDC,20051.2,20400,19566.9,20129,475.43669928,9474556.192903054
