https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTSI,Volume USDT
1663459200,2022-09-18 00:00:00,CTSI/USDT,0.1591,0.1593,0.1577,0.1581,3228.29756863,512.001429918975
1663372800,2022-09-17 00:00:00,CTSI/USDT,0.1561,0.161,0.1545,0.1591,357456.40888798,56325.716612278519
1663286400,2022-09-16 00:00:00,CTSI/USDT,0.1499,0.1562,0.1464,0.156,680834.54552155,103112.785546128775
1663200000,2022-09-15 00:00:00,CTSI/USDT,0.1478,0.1511,0.1418,0.1495,886234.48215393,129876.512263439164
1663113600,2022-09-14 00:00:00,CTSI/USDT,0.1437,0.1554,0.1433,0.148,1312707.11851627,196484.794740425986
1663027200,2022-09-13 00:00:00,CTSI/USDT,0.1548,0.1574,0.1414,0.1441,2646283.88865631,397189.78531472073
1662940800,2022-09-12 00:00:00,CTSI/USDT,0.1538,0.1613,0.1484,0.1541,1113035.67894065,173318.725784553717
1662854400,2022-09-11 00:00:00,CTSI/USDT,0.1533,0.1593,0.1504,0.1542,841557.27473746,130604.157455763059
1662768000,2022-09-10 00:00:00,CTSI/USDT,0.1545,0.1583,0.1515,0.153,944836.99345284,146267.810018497038
1662681600,2022-09-09 00:00:00,CTSI/USDT,0.1495,0.1553,0.1486,0.1542,883178.03610946,134187.893405995017
1662595200,2022-09-08 00:00:00,CTSI/USDT,0.1417,0.1512,0.1417,0.1494,1353666.72068062,198660.8989387109
1662508800,2022-09-07 00:00:00,CTSI/USDT,0.1304,0.1436,0.1282,0.1416,1356041.27324102,184475.646327954316
1662422400,2022-09-06 00:00:00,CTSI/USDT,0.1403,0.1491,0.13,0.1306,1526654.17877408,210818.515385453596
1662336000,2022-09-05 00:00:00,CTSI/USDT,0.1462,0.1471,0.1379,0.1399,704395.26852067,99386.174512847614
1662249600,2022-09-04 00:00:00,CTSI/USDT,0.1382,0.1523,0.1367,0.1464,2945533.33876367,428094.243067869195
1662163200,2022-09-03 00:00:00,CTSI/USDT,0.1387,0.1396,0.1361,0.138,282602.47892241,38928.605226893566
1662076800,2022-09-02 00:00:00,CTSI/USDT,0.1412,0.1468,0.1382,0.139,683943.43195097,97381.052387569211
1661990400,2022-09-01 00:00:00,CTSI/USDT,0.1396,0.142,0.1335,0.141,476601.9345677,65621.919137133045
1661904000,2022-08-31 00:00:00,CTSI/USDT,0.139,0.1444,0.139,0.1395,400022.32671805,56777.43062680321
1661817600,2022-08-30 00:00:00,CTSI/USDT,0.1446,0.1466,0.1354,0.1387,938207.96590915,132620.781425921463
1661731200,2022-08-29 00:00:00,CTSI/USDT,0.1342,0.1458,0.1317,0.1447,540276.41243953,75358.517906486446
1661644800,2022-08-28 00:00:00,CTSI/USDT,0.1403,0.1416,0.1325,0.134,386692.05763773,53039.017285033653
1661558400,2022-08-27 00:00:00,CTSI/USDT,0.1397,0.1414,0.1363,0.1403,449940.88388736,62509.066703490293
1661472000,2022-08-26 00:00:00,CTSI/USDT,0.1549,0.1553,0.1379,0.1397,1051166.1979222,153628.765876096736
1661385600,2022-08-25 00:00:00,CTSI/USDT,0.1509,0.1694,0.1509,0.1552,1722612.10759521,276375.065321504144
1661299200,2022-08-24 00:00:00,CTSI/USDT,0.1573,0.1573,0.1498,0.1508,563220.49261286,86160.282315430492
1661212800,2022-08-23 00:00:00,CTSI/USDT,0.1496,0.158,0.1469,0.1573,755910.82108192,116254.429116264082
1661126400,2022-08-22 00:00:00,CTSI/USDT,0.1555,0.1555,0.145,0.149,565304.4905019,84399.561675687022
1661040000,2022-08-21 00:00:00,CTSI/USDT,0.1491,0.1574,0.1485,0.1559,969937.03589013,149442.056103758012
1660953600,2022-08-20 00:00:00,CTSI/USDT,0.1515,0.1577,0.1443,0.1494,2256580.75552444,338481.392922170762
1660867200,2022-08-19 00:00:00,CTSI/USDT,0.1569,0.1586,0.1436,0.1511,2114215.68870991,319192.183789691257
1660780800,2022-08-18 00:00:00,CTSI/USDT,0.1695,0.1719,0.1481,0.1565,1401739.11396711,225411.503465087506
1660694400,2022-08-17 00:00:00,CTSI/USDT,0.1794,0.1887,0.1677,0.1699,2784509.73791173,499905.102743129336
1660608000,2022-08-16 00:00:00,CTSI/USDT,0.1804,0.1839,0.1778,0.1797,2799680.6914608,506027.170654603682
1660521600,2022-08-15 00:00:00,CTSI/USDT,0.1841,0.1889,0.177,0.1796,3795729.15180062,693899.335543281159
1660435200,2022-08-14 00:00:00,CTSI/USDT,0.1911,0.1973,0.1818,0.184,4479878.80794768,848344.285276272749
1660348800,2022-08-13 00:00:00,CTSI/USDT,0.1959,0.1966,0.1852,0.1908,2438988.17188949,466697.841105557029
1660262400,2022-08-12 00:00:00,CTSI/USDT,0.1947,0.1977,0.1895,0.1956,2985778.81285994,580138.9113580191
1660176000,2022-08-11 00:00:00,CTSI/USDT,0.1862,0.205,0.1858,0.1948,4796252.82637081,941906.35523021596
1660089600,2022-08-10 00:00:00,CTSI/USDT,0.1694,0.1869,0.1644,0.1861,1865474.67018755,327824.229454914916
1660003200,2022-08-09 00:00:00,CTSI/USDT,0.1757,0.1924,0.1688,0.1699,3272203.50223098,583662.890706708415
1659916800,2022-08-08 00:00:00,CTSI/USDT,0.1758,0.1826,0.174,0.1759,706698.71564704,126778.481272234546
1659830400,2022-08-07 00:00:00,CTSI/USDT,0.174,0.1788,0.1683,0.1759,573370.82968038,99338.377548058351
1659744000,2022-08-06 00:00:00,CTSI/USDT,0.179,0.1805,0.1724,0.1739,888113.24245633,157175.398650749058
1659657600,2022-08-05 00:00:00,CTSI/USDT,0.164,0.1837,0.1639,0.179,2809264.30003838,494005.763279978368
1659571200,2022-08-04 00:00:00,CTSI/USDT,0.1585,0.1686,0.1585,0.1648,1226610.25332981,200120.616004769686
1659484800,2022-08-03 00:00:00,CTSI/USDT,0.1596,0.164,0.1541,0.1586,1003948.38324872,160018.692374648205
1659398400,2022-08-02 00:00:00,CTSI/USDT,0.1714,0.1735,0.1561,0.1591,2567584.20297499,413351.350263489224
1659312000,2022-08-01 00:00:00,CTSI/USDT,0.1674,0.1748,0.1668,0.1715,1661320.08843067,283120.199822199536
1659225600,2022-07-31 00:00:00,CTSI/USDT,0.1682,0.1779,0.166,0.1673,3241588.26914985,558139.66575187153
1659139200,2022-07-30 00:00:00,CTSI/USDT,0.1641,0.1789,0.1639,0.1683,3702426.9367951,633305.489913346197
1659052800,2022-07-29 00:00:00,CTSI/USDT,0.1648,0.1716,0.16,0.1642,3949917.81989905,654418.527320656202
1658966400,2022-07-28 00:00:00,CTSI/USDT,0.1573,0.1662,0.1512,0.1645,1896579.48918473,301635.879915584285
1658880000,2022-07-27 00:00:00,CTSI/USDT,0.1485,0.1578,0.145,0.1578,1788583.18293109,269033.666155624782
1658793600,2022-07-26 00:00:00,CTSI/USDT,0.1475,0.1488,0.1419,0.1486,1746886.69093043,253167.201371175673
1658707200,2022-07-25 00:00:00,CTSI/USDT,0.16,0.1612,0.1469,0.1471,2547324.23271263,389890.132020056912
1658620800,2022-07-24 00:00:00,CTSI/USDT,0.161,0.164,0.1596,0.1596,2039198.3856959,329898.296351899914
1658534400,2022-07-23 00:00:00,CTSI/USDT,0.1599,0.1658,0.1568,0.161,2510750.60686865,404089.963064298192
1658448000,2022-07-22 00:00:00,CTSI/USDT,0.1658,0.1715,0.159,0.1601,2682839.5819006,446150.526174595219
1658361600,2022-07-21 00:00:00,CTSI/USDT,0.1635,0.169,0.1578,0.1661,2945919.34479034,479979.110053794414
1658275200,2022-07-20 00:00:00,CTSI/USDT,0.1746,0.1816,0.1603,0.163,5112969.20882896,875448.786981278193
1658188800,2022-07-19 00:00:00,CTSI/USDT,0.1711,0.177,0.1652,0.1745,4708834.71203741,811818.893669768619
1658102400,2022-07-18 00:00:00,CTSI/USDT,0.1667,0.175,0.1635,0.1708,3492265.50338876,594811.301087776451
1658016000,2022-07-17 00:00:00,CTSI/USDT,0.159,0.1793,0.1588,0.1664,5671780.47683395,964278.797511920475
1657929600,2022-07-16 00:00:00,CTSI/USDT,0.1563,0.1642,0.1556,0.1591,1914782.65330506,305135.878279360441
1657843200,2022-07-15 00:00:00,CTSI/USDT,0.1515,0.1677,0.1499,0.1562,4175425.89976013,665543.883114172429
1657756800,2022-07-14 00:00:00,CTSI/USDT,0.146,0.1539,0.1409,0.152,2322933.55403073,342949.96493614052
1657670400,2022-07-13 00:00:00,CTSI/USDT,0.1365,0.147,0.13,0.146,2967283.81287046,412103.898130497208
1657584000,2022-07-12 00:00:00,CTSI/USDT,0.1395,0.1433,0.1355,0.1362,2251457.89061893,313559.962442551812
1657497600,2022-07-11 00:00:00,CTSI/USDT,0.1538,0.1538,0.1383,0.1401,761638.18665916,111237.996143129445
1657411200,2022-07-10 00:00:00,CTSI/USDT,0.1604,0.1614,0.151,0.1536,602175.40020094,93998.375371233231
1657324800,2022-07-09 00:00:00,CTSI/USDT,0.1549,0.1659,0.1547,0.1603,1351451.71204128,216927.609567843098
1657238400,2022-07-08 00:00:00,CTSI/USDT,0.1568,0.1605,0.1503,0.1552,797196.73511882,122960.801093096259
1657152000,2022-07-07 00:00:00,CTSI/USDT,0.1524,0.1583,0.1507,0.157,504056.77821714,77987.945674151396
1657065600,2022-07-06 00:00:00,CTSI/USDT,0.1478,0.1567,0.1459,0.1525,676536.30551478,102053.892127539686
1656979200,2022-07-05 00:00:00,CTSI/USDT,0.1516,0.1541,0.1442,0.1482,831885.7747127,123878.961481159191
1656892800,2022-07-04 00:00:00,CTSI/USDT,0.148,0.1525,0.1434,0.1514,629395.48241885,93069.046848307804
1656806400,2022-07-03 00:00:00,CTSI/USDT,0.149,0.1497,0.1438,0.1476,499352.94306326,73410.447786180235
1656720000,2022-07-02 00:00:00,CTSI/USDT,0.1481,0.1515,0.143,0.1487,873440.63116009,128638.389165693158
1656633600,2022-07-01 00:00:00,CTSI/USDT,0.159,0.1686,0.1455,0.1483,1253719.88515854,195702.178905953133
1656547200,2022-06-30 00:00:00,CTSI/USDT,0.1646,0.1655,0.1488,0.1599,1310390.52291723,204371.038059384258
1656460800,2022-06-29 00:00:00,CTSI/USDT,0.1497,0.1668,0.1486,0.1642,2897402.19469238,461799.430490201425
1656374400,2022-06-28 00:00:00,CTSI/USDT,0.1563,0.1612,0.1485,0.1503,555516.24228721,86306.29789939158
1656288000,2022-06-27 00:00:00,CTSI/USDT,0.1572,0.1658,0.1536,0.1565,689815.37245326,109643.440279258008
1656201600,2022-06-26 00:00:00,CTSI/USDT,0.168,0.1795,0.1557,0.1569,1734421.07184289,293381.930934357094
1656115200,2022-06-25 00:00:00,CTSI/USDT,0.1672,0.1727,0.1603,0.1674,953605.20311708,159009.330894005856
1656028800,2022-06-24 00:00:00,CTSI/USDT,0.1618,0.1747,0.1591,0.1666,2269215.95733162,376216.476510161885
1655942400,2022-06-23 00:00:00,CTSI/USDT,0.1482,0.1637,0.148,0.1618,3025868.47250243,476122.497052774119
