https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/EUR,1342.5987,1350.8499,1342.5491,1350.8499,3964.6346324031297,2.9349187
1663545600000,2022-09-19 00:00:00,ETH/EUR,1331.4044,1350.9512,1330.888,1343.8252,13260.330107926584,9.86760042
1663542000000,2022-09-18 23:00:00,ETH/EUR,1337.1702,1350.6297,1331.3092,1332.0742,13234.618101314685,9.93534602
1663538400000,2022-09-18 22:00:00,ETH/EUR,1327.3543,1340.4577,1327.3543,1336.946,13322.336383579339,9.96475279
1663534800000,2022-09-18 21:00:00,ETH/EUR,1368.9299,1369.319,1325.392,1336.4077,11526.699446898592,8.62513696
1663531200000,2022-09-18 20:00:00,ETH/EUR,1379.7399,1379.7399,1368.0479,1368.4855,13938.00251118635,10.1849837
1663527600000,2022-09-18 19:00:00,ETH/EUR,1370.8364,1384.279,1367.6701,1378.9955,14347.723074086189,10.40447418
1663524000000,2022-09-18 18:00:00,ETH/EUR,1378.0935,1383.9394,1366.6532,1371.9711,13576.236943861257,9.89542487
1663520400000,2022-09-18 17:00:00,ETH/EUR,1395.0525,1395.7876,1374.2437,1375.7528,13730.637852194342,9.98045423
1663516800000,2022-09-18 16:00:00,ETH/EUR,1414.9831,1423.1,1388.3892,1393.126,14951.6153649527,10.73242145
1663513200000,2022-09-18 15:00:00,ETH/EUR,1417.0593,1423.2309,1414.2182,1415.0837,12292.690593529998,8.6869
1663509600000,2022-09-18 14:00:00,ETH/EUR,1432.5487,1432.882,1413.9042,1416.2294,13179.657265643353,9.30615991
1663506000000,2022-09-18 13:00:00,ETH/EUR,1436.0661,1436.5958,1430.7593,1433.034,13792.70860555932,9.62482998
1663502400000,2022-09-18 12:00:00,ETH/EUR,1432.4428,1437.5247,1425.2134,1436.4938,14182.609774685392,9.87307413
1663498800000,2022-09-18 11:00:00,ETH/EUR,1430.7903,1433.2947,1430.3118,1431.7666,11491.93143824,8.0264
1663495200000,2022-09-18 10:00:00,ETH/EUR,1424.7195,1439.8594,1417.8168,1430.7376,13270.177570706783,9.27506034
1663491600000,2022-09-18 09:00:00,ETH/EUR,1454.1505,1456.9584,1424.685,1424.685,13693.3976601462,9.61152652
1663488000000,2022-09-18 08:00:00,ETH/EUR,1452.0585,1457.0947,1451.1895,1453.7965,14273.228657349999,9.8179
1663484400000,2022-09-18 07:00:00,ETH/EUR,1452.5261,1455.5323,1451.4775,1453.0651,14234.817044442445,9.79640695
