https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCAD,Volume USDT
1663462800,2022-09-18 01:00:00,XCAD/USDT,1.9594,1.9596,1.9592,1.9592,32.7537,64.1748638
1663459200,2022-09-18 00:00:00,XCAD/USDT,1.962,1.964,1.9591,1.9595,615.8676,1207.72754844
1663455600,2022-09-17 23:00:00,XCAD/USDT,1.9478,2.0062,1.9476,1.9627,26554.8793,52660.44008092
1663452000,2022-09-17 22:00:00,XCAD/USDT,1.9469,1.9537,1.9464,1.9476,698.9765,1362.38461417
1663448400,2022-09-17 21:00:00,XCAD/USDT,1.9534,1.96,1.9463,1.9465,2750.5569,5364.19898283
1663444800,2022-09-17 20:00:00,XCAD/USDT,1.9472,1.9582,1.9465,1.9532,598.6633,1169.85316658
1663441200,2022-09-17 19:00:00,XCAD/USDT,1.9475,1.957,1.9374,1.9474,3932.0189,7656.48669859
1663437600,2022-09-17 18:00:00,XCAD/USDT,1.9426,1.9502,1.9374,1.948,3080.3131,5985.18740357
1663434000,2022-09-17 17:00:00,XCAD/USDT,1.9422,1.9561,1.9364,1.9428,4814.0492,9355.28602434
1663430400,2022-09-17 16:00:00,XCAD/USDT,1.9284,1.9577,1.9251,1.9423,10035.5656,19496.06302291
1663426800,2022-09-17 15:00:00,XCAD/USDT,1.9243,1.9312,1.9176,1.9293,1128.3147,2171.26068231
1663423200,2022-09-17 14:00:00,XCAD/USDT,1.9245,1.9328,1.9147,1.924,1811.9651,3488.87760017
1663419600,2022-09-17 13:00:00,XCAD/USDT,1.9198,1.9288,1.9065,1.9246,3148.9461,6041.02865021
1663416000,2022-09-17 12:00:00,XCAD/USDT,1.9461,1.9489,1.9153,1.9197,12827.9399,24736.38588472
1663412400,2022-09-17 11:00:00,XCAD/USDT,1.9466,1.958,1.9411,1.9464,2399.4691,4681.99234857
1663408800,2022-09-17 10:00:00,XCAD/USDT,1.9383,1.9603,1.9375,1.9459,1605.8777,3132.19998636
