https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume BCH
1663549200000,2022-09-19 01:00:00,BCH/EUR,112.4196,113.1054,112.3961,113.1054,584.90254316808,5.1713052
1663545600000,2022-09-19 00:00:00,BCH/EUR,111.4872,113.2208,111.467,112.4684,2004.612450430656,17.82378384
1663542000000,2022-09-18 23:00:00,BCH/EUR,112.1476,112.8203,111.4428,111.615,1762.28264190195,15.78894093
1663538400000,2022-09-18 22:00:00,BCH/EUR,112.2873,112.4226,111.3609,112.164,1983.6400718908799,17.68517592
1663534800000,2022-09-18 21:00:00,BCH/EUR,115.2412,115.3059,110.9028,112.6188,13055.06581105482,115.92261515
1663531200000,2022-09-18 20:00:00,BCH/EUR,116.0442,116.0442,115.1671,115.4586,1712.7191244831902,14.83405415
1663527600000,2022-09-18 19:00:00,BCH/EUR,115.3468,116.0796,115.1403,116.052,1903.600956,16.403
1663524000000,2022-09-18 18:00:00,BCH/EUR,115.4584,116.3458,115.0157,115.4341,1962.300048162318,16.99930998
1663520400000,2022-09-18 17:00:00,BCH/EUR,116.8807,116.9476,115.1313,115.4528,1754.741999679584,15.19878253
1663516800000,2022-09-18 16:00:00,BCH/EUR,117.7007,118.1983,116.528,116.946,2003.3505586389601,17.13056076
1663513200000,2022-09-18 15:00:00,BCH/EUR,118.0524,118.4532,117.7593,117.8514,1937.0056104,16.436
1663509600000,2022-09-18 14:00:00,BCH/EUR,119.7929,119.7929,117.4183,118.0331,1752.216574523942,14.84512882
1663506000000,2022-09-18 13:00:00,BCH/EUR,119.9131,119.9883,119.5136,119.7471,1993.7892149999998,16.65
1663502400000,2022-09-18 12:00:00,BCH/EUR,119.4114,120.1005,119.2317,119.8977,1742.2334787,14.531
1663498800000,2022-09-18 11:00:00,BCH/EUR,119.6762,119.9255,119.5412,119.6041,1919.1673885999999,16.046
1663495200000,2022-09-18 10:00:00,BCH/EUR,119.7447,120.3475,119.2069,119.7913,1999.85455212483,16.6944891
1663491600000,2022-09-18 09:00:00,BCH/EUR,121.2891,121.3817,119.481,119.7533,1957.3888273525158,16.34517652
1663488000000,2022-09-18 08:00:00,BCH/EUR,121.2577,121.4841,121.1022,121.2438,1831.387599,15.105
1663484400000,2022-09-18 07:00:00,BCH/EUR,121.0871,121.4696,120.9688,121.2525,1822.910085,15.034
1663480800000,2022-09-18 06:00:00,BCH/EUR,121.654,121.6814,120.9012,121.1463,1937.962255367853,15.99687531
1663477200000,2022-09-18 05:00:00,BCH/EUR,121.4733,121.7284,121.3342,121.6619,1955.5933806000003,16.074
1663473600000,2022-09-18 04:00:00,BCH/EUR,120.9076,121.5143,120.8519,121.4438,1686.872286459434,13.89014743
1663470000000,2022-09-18 03:00:00,BCH/EUR,121.1696,121.1696,120.5425,120.8574,1763.610484317606,14.59249069
1663466400000,2022-09-18 02:00:00,BCH/EUR,120.3392,121.3228,120.3392,121.1516,2074.435423643528,17.12264158
1663462800000,2022-09-18 01:00:00,BCH/EUR,120.5352,120.5564,120.2352,120.348,2057.8496715756,17.0991597
1663459200000,2022-09-18 00:00:00,BCH/EUR,122.0373,122.0785,120.5131,120.5153,2005.7138751086309,16.64281527
1663455600000,2022-09-17 23:00:00,BCH/EUR,121.9621,122.2132,121.6102,122.104,1995.3014640000001,16.341
1663452000000,2022-09-17 22:00:00,BCH/EUR,121.9211,122.2593,121.7746,121.9838,1846.417576680112,15.13658024
1663448400000,2022-09-17 21:00:00,BCH/EUR,122.192,122.3993,121.7829,121.9308,1937.1146196000002,15.887
1663444800000,2022-09-17 20:00:00,BCH/EUR,122.0623,122.2412,121.556,122.0867,1964.0150694327938,16.08705182
1663441200000,2022-09-17 19:00:00,BCH/EUR,121.9617,122.1771,121.8265,121.938,1785.5381340000001,14.643
1663437600000,2022-09-17 18:00:00,BCH/EUR,121.9448,122.2502,121.831,121.9384,1467.287866874128,12.03302542
1663434000000,2022-09-17 17:00:00,BCH/EUR,122.7358,122.9246,121.8978,122.0819,1898.3735450000001,15.55
1663430400000,2022-09-17 16:00:00,BCH/EUR,122.1186,122.7632,121.9373,122.7632,1896.173676382944,15.44578242
1663426800000,2022-09-17 15:00:00,BCH/EUR,122.3732,122.377,121.9578,122.2948,1657.440977932388,13.55283281
1663423200000,2022-09-17 14:00:00,BCH/EUR,122.0545,123.2696,122.0545,122.4177,2111.836788143853,17.25107389
1663419600000,2022-09-17 13:00:00,BCH/EUR,121.7745,122.3388,121.7482,121.9819,1836.1935407,15.053
1663416000000,2022-09-17 12:00:00,BCH/EUR,120.3384,122.3261,120.1077,122.0167,1593.4160852999998,13.059
1663412400000,2022-09-17 11:00:00,BCH/EUR,120.9774,120.9774,120.1449,120.3192,1669.3085808,13.874
1663408800000,2022-09-17 10:00:00,BCH/EUR,120.7939,121.229,120.2492,120.9642,1733.7798786,14.333
1663405200000,2022-09-17 09:00:00,BCH/EUR,121.0105,121.3347,120.4677,120.811,1703.0472713196903,14.09678979
1663401600000,2022-09-17 08:00:00,BCH/EUR,120.6568,121.1659,120.4534,121.0372,1749.9558376,14.458
1663398000000,2022-09-17 07:00:00,BCH/EUR,120.739,121.022,120.1295,120.6848,2059.068170882816,17.06153692
1663394400000,2022-09-17 06:00:00,BCH/EUR,119.4134,120.739,119.3702,120.739,2302.19424025159,19.06752781
1663390800000,2022-09-17 05:00:00,BCH/EUR,119.9226,119.9226,119.2758,119.4292,1685.589262727172,14.11371141
1663387200000,2022-09-17 04:00:00,BCH/EUR,119.7397,120.6134,119.7397,119.8112,1759.7869056,14.688
1663383600000,2022-09-17 03:00:00,BCH/EUR,120.158,120.2329,119.7821,119.9247,1777.284054,14.82
1663380000000,2022-09-17 02:00:00,BCH/EUR,120.152,120.2703,119.6456,120.1002,1957.7533601999999,16.301
1663376400000,2022-09-17 01:00:00,BCH/EUR,119.8592,120.772,119.4309,120.1922,1794.887493942826,14.93347733
1663372800000,2022-09-17 00:00:00,BCH/EUR,119.283,120.5017,119.283,119.8467,1485.248545947105,12.39290315
1663369200000,2022-09-16 23:00:00,BCH/EUR,119.0497,119.4529,118.6027,119.3657,1877.8760784964472,15.73212471
1663365600000,2022-09-16 22:00:00,BCH/EUR,119.5537,119.5537,119.013,119.0727,1866.2264271,15.673
1663362000000,2022-09-16 21:00:00,BCH/EUR,118.9421,120.6368,118.9088,119.7288,1770.814027999872,14.79020944
1663358400000,2022-09-16 20:00:00,BCH/EUR,118.4575,119.0444,118.4575,118.8259,1972.836158684565,16.60274535
1663354800000,2022-09-16 19:00:00,BCH/EUR,118.6765,119.0119,118.5033,118.5681,1674.7744125,14.125
1663351200000,2022-09-16 18:00:00,BCH/EUR,118.3439,118.9744,117.621,118.6835,2078.1504349333,17.5100198
1663347600000,2022-09-16 17:00:00,BCH/EUR,117.8917,119.1445,116.9613,118.3709,1832.5291227566652,15.48124685
1663344000000,2022-09-16 16:00:00,BCH/EUR,118.6436,118.6436,116.9383,117.778,1825.9044829185202,15.50293334
1663340400000,2022-09-16 15:00:00,BCH/EUR,117.7485,118.5613,117.5046,118.4437,1745.205036555233,14.73446909
1663336800000,2022-09-16 14:00:00,BCH/EUR,117.5147,118.8996,117.2893,117.7469,1977.2573530965399,16.7924366
1663333200000,2022-09-16 13:00:00,BCH/EUR,119.1609,119.1897,116.9989,117.1708,1724.84497165292,14.7207749
1663329600000,2022-09-16 12:00:00,BCH/EUR,119.777,120.1338,118.9776,119.0614,5220.71813752296,43.8489564
1663326000000,2022-09-16 11:00:00,BCH/EUR,118.0594,120.0351,117.8901,119.791,2288.5280049191,19.1043401
1663322400000,2022-09-16 10:00:00,BCH/EUR,117.6373,118.2651,117.4111,117.9889,1910.5210715451083,16.19237972
1663318800000,2022-09-16 09:00:00,BCH/EUR,116.9624,117.5937,116.9624,117.5742,1893.0984752466363,16.10130858
1663315200000,2022-09-16 08:00:00,BCH/EUR,117.9656,118.036,116.8012,116.9265,1990.125042192735,17.02030799
1663311600000,2022-09-16 07:00:00,BCH/EUR,118.4526,118.5147,117.8457,118.0053,1735.7399577,14.709
1663308000000,2022-09-16 06:00:00,BCH/EUR,118.3541,118.872,118.2542,118.487,1935.7221189999998,16.337
1663304400000,2022-09-16 05:00:00,BCH/EUR,118.3116,119.1022,118.3116,118.4149,2123.545191665688,17.93309112
1663300800000,2022-09-16 04:00:00,BCH/EUR,118.2559,118.6216,118.2559,118.3833,1881.3474036,15.892
1663297200000,2022-09-16 03:00:00,BCH/EUR,118.2617,118.3364,117.6296,118.1652,2081.2148175664197,17.61275585
1663293600000,2022-09-16 02:00:00,BCH/EUR,117.9806,118.4229,116.5227,118.1152,1839.279873506432,15.57191516
1663290000000,2022-09-16 01:00:00,BCH/EUR,118.2988,118.4786,117.8042,117.9854,1603.1856151999998,13.588
1663286400000,2022-09-16 00:00:00,BCH/EUR,117.7362,118.6474,117.0357,118.5118,1923.2338054660058,16.22820517
1663282800000,2022-09-15 23:00:00,BCH/EUR,117.9858,118.2207,117.4812,117.6976,1987.0885807999998,16.883
1663279200000,2022-09-15 22:00:00,BCH/EUR,119.642,119.6644,117.4295,118.0785,1846.149876673305,15.63493673
1663275600000,2022-09-15 21:00:00,BCH/EUR,120.1637,120.2097,119.5152,119.7402,1979.7844667999998,16.534
1663272000000,2022-09-15 20:00:00,BCH/EUR,118.7867,120.3942,118.7867,120.1946,1894.9754732156498,15.76589525
1663268400000,2022-09-15 19:00:00,BCH/EUR,118.4312,119.0197,118.263,118.8269,2013.9971281,16.949
1663264800000,2022-09-15 18:00:00,BCH/EUR,118.8513,119.2125,118.2885,118.4616,1847.9941839964802,15.5999428
