https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TKO,Volume BTC
1663459200,2022-09-18 00:00:00,TKO/BTC,0.00001316,0.0000132,0.00001313,0.00001313,31.1361,0.000409537716
1663372800,2022-09-17 00:00:00,TKO/BTC,0.00001324,0.00001326,0.00001308,0.00001317,1745.4458,0.023029038822
1663286400,2022-09-16 00:00:00,TKO/BTC,0.00001317,0.00001331,0.00001303,0.00001324,475.1032,0.006259806602
1663200000,2022-09-15 00:00:00,TKO/BTC,0.00001324,0.00001338,0.0000131,0.00001324,630.9519,0.008331080785
1663113600,2022-09-14 00:00:00,TKO/BTC,0.00001303,0.00001346,0.00001296,0.00001324,12801.4639,0.16770306882
1663027200,2022-09-13 00:00:00,TKO/BTC,0.00001233,0.0000131,0.00001219,0.00001304,2008.5697,0.025464886069
1662940800,2022-09-12 00:00:00,TKO/BTC,0.00001303,0.00001303,0.00001221,0.00001221,31633.3575,0.403382811983
1662854400,2022-09-11 00:00:00,TKO/BTC,0.0000131,0.00001373,0.00001294,0.00001303,1875.8372,0.024979115268
1662768000,2022-09-10 00:00:00,TKO/BTC,0.00001298,0.00001529,0.00001275,0.00001317,67124.5821,0.922667339672
1662681600,2022-09-09 00:00:00,TKO/BTC,0.00001358,0.0000136,0.00001289,0.00001296,7274.52,0.094499450999
1662595200,2022-09-08 00:00:00,TKO/BTC,0.00001366,0.00001464,0.0000135,0.0000135,5879.7269,0.081465369099
1662508800,2022-09-07 00:00:00,TKO/BTC,0.0000133,0.00001378,0.00001328,0.00001378,2366.5886,0.032243421001
1662422400,2022-09-06 00:00:00,TKO/BTC,0.00001353,0.00001372,0.00001331,0.00001338,615.5863,0.008287271438
1662336000,2022-09-05 00:00:00,TKO/BTC,0.00001338,0.00001359,0.00001325,0.00001359,402.5559,0.005397477354
1662249600,2022-09-04 00:00:00,TKO/BTC,0.00001362,0.00001362,0.00001345,0.00001351,337.1937,0.00456680831
1662163200,2022-09-03 00:00:00,TKO/BTC,0.00001344,0.00001376,0.00001344,0.00001358,191.1384,0.002607626233
1662076800,2022-09-02 00:00:00,TKO/BTC,0.00001369,0.00001393,0.00001332,0.0000135,2406.6862,0.033008421472
1661990400,2022-09-01 00:00:00,TKO/BTC,0.00001407,0.00001408,0.00001351,0.00001373,668.8705,0.009205362746
1661904000,2022-08-31 00:00:00,TKO/BTC,0.00001438,0.00001438,0.00001394,0.00001401,302.3744,0.004269690855
1661817600,2022-08-30 00:00:00,TKO/BTC,0.00001394,0.00001479,0.00001394,0.00001437,1289.5019,0.018581629807
1661731200,2022-08-29 00:00:00,TKO/BTC,0.00001413,0.00001413,0.00001387,0.00001394,663.6879,0.00931234901
1661644800,2022-08-28 00:00:00,TKO/BTC,0.00001401,0.00001445,0.00001401,0.00001409,594.8301,0.008444418811
1661558400,2022-08-27 00:00:00,TKO/BTC,0.00001358,0.00001395,0.00001352,0.00001395,1191.5496,0.016285454467
1661472000,2022-08-26 00:00:00,TKO/BTC,0.00001373,0.00001387,0.00001326,0.00001359,933.127,0.012577243254
1661385600,2022-08-25 00:00:00,TKO/BTC,0.00001338,0.00001411,0.00001337,0.00001366,704.9736,0.009642064998
1661299200,2022-08-24 00:00:00,TKO/BTC,0.00001331,0.00001345,0.0000132,0.00001333,1830.7443,0.024352317951
1661212800,2022-08-23 00:00:00,TKO/BTC,0.0000131,0.00001341,0.00001308,0.00001338,1808.0387,0.023979413675
1661126400,2022-08-22 00:00:00,TKO/BTC,0.00001338,0.00001345,0.00001298,0.00001311,1233.0094,0.016165755637
1661040000,2022-08-21 00:00:00,TKO/BTC,0.00001367,0.0000145,0.00001338,0.00001345,1831.4737,0.025535837686
1660953600,2022-08-20 00:00:00,TKO/BTC,0.00001291,0.00001535,0.00001291,0.0000137,12339.6333,0.177425734688
1660867200,2022-08-19 00:00:00,TKO/BTC,0.00001275,0.00001305,0.00001243,0.00001303,3386.4706,0.042989294755
1660780800,2022-08-18 00:00:00,TKO/BTC,0.00001292,0.0000131,0.00001275,0.00001277,1004.1292,0.012971128371
1660694400,2022-08-17 00:00:00,TKO/BTC,0.0000133,0.00001346,0.0000127,0.0000129,1994.4911,0.025831774943
1660608000,2022-08-16 00:00:00,TKO/BTC,0.00001345,0.00001352,0.0000133,0.0000133,314.1249,0.00423026728
1660521600,2022-08-15 00:00:00,TKO/BTC,0.00001344,0.00001363,0.00001328,0.00001345,6190.3005,0.083296326819
1660435200,2022-08-14 00:00:00,TKO/BTC,0.00001366,0.00001434,0.00001329,0.00001339,4148.3272,0.057813421187
1660348800,2022-08-13 00:00:00,TKO/BTC,0.00001346,0.0000138,0.00001338,0.00001373,2845.7975,0.038791130068
1660262400,2022-08-12 00:00:00,TKO/BTC,0.00001338,0.00001367,0.00001317,0.00001345,3300.7477,0.044313227715
1660176000,2022-08-11 00:00:00,TKO/BTC,0.00001416,0.00001416,0.00001282,0.00001331,3655.7103,0.04948448399
1660089600,2022-08-10 00:00:00,TKO/BTC,0.00001415,0.00001433,0.00001387,0.00001427,1663.3387,0.023404798327
1660003200,2022-08-09 00:00:00,TKO/BTC,0.00001418,0.00001479,0.00001408,0.00001415,5769.3061,0.083491988186
1659916800,2022-08-08 00:00:00,TKO/BTC,0.00001457,0.00001485,0.00001401,0.00001415,4146.8356,0.06034695273
1659830400,2022-08-07 00:00:00,TKO/BTC,0.00001478,0.0000149,0.00001457,0.00001465,932.478,0.013743467136
1659744000,2022-08-06 00:00:00,TKO/BTC,0.00001452,0.00001478,0.00001431,0.00001478,1887.687,0.027326366386
1659657600,2022-08-05 00:00:00,TKO/BTC,0.00001471,0.00001479,0.00001441,0.00001446,1950.9528,0.028307207666
1659571200,2022-08-04 00:00:00,TKO/BTC,0.00001457,0.00001483,0.0000145,0.00001478,1055.9706,0.015474423874
1659484800,2022-08-03 00:00:00,TKO/BTC,0.00001422,0.00001464,0.00001394,0.0000145,1519.7106,0.021806705179
1659398400,2022-08-02 00:00:00,TKO/BTC,0.00001439,0.00001448,0.00001366,0.00001435,5825.876,0.081235668137
1659312000,2022-08-01 00:00:00,TKO/BTC,0.00001471,0.00001499,0.00001415,0.00001436,7828.1784,0.113024757625
1659225600,2022-07-31 00:00:00,TKO/BTC,0.00001306,0.00001619,0.00001294,0.00001464,22675.4052,0.33468634559
1659139200,2022-07-30 00:00:00,TKO/BTC,0.00001282,0.00001328,0.00001275,0.00001304,7178.1007,0.093575781741
1659052800,2022-07-29 00:00:00,TKO/BTC,0.00001271,0.00001301,0.00001261,0.00001282,2986.5499,0.038366899836
1658966400,2022-07-28 00:00:00,TKO/BTC,0.00001277,0.0000132,0.00001259,0.00001272,3497.4363,0.044880419968
1658880000,2022-07-27 00:00:00,TKO/BTC,0.00001297,0.00001331,0.00001261,0.00001275,22393.9743,0.285307771846
1658793600,2022-07-26 00:00:00,TKO/BTC,0.00001323,0.00001335,0.00001291,0.00001296,1477.4203,0.019366082812
1658707200,2022-07-25 00:00:00,TKO/BTC,0.00001275,0.00001436,0.00001268,0.00001315,22570.2563,0.307149781852
1658620800,2022-07-24 00:00:00,TKO/BTC,0.00001277,0.00001296,0.00001262,0.00001272,1861.3097,0.023886802174
1658534400,2022-07-23 00:00:00,TKO/BTC,0.00001278,0.0000131,0.0000127,0.00001271,636.5128,0.008240772136
1658448000,2022-07-22 00:00:00,TKO/BTC,0.00001297,0.00001317,0.00001254,0.00001281,2900.1952,0.037319033409
1658361600,2022-07-21 00:00:00,TKO/BTC,0.00001283,0.00001317,0.00001233,0.00001292,1650.901,0.021213100909
1658275200,2022-07-20 00:00:00,TKO/BTC,0.00001385,0.00001446,0.00001282,0.00001283,8249.7805,0.113991378967
1658188800,2022-07-19 00:00:00,TKO/BTC,0.00001395,0.00001517,0.00001343,0.00001379,13398.6037,0.190056464958
1658102400,2022-07-18 00:00:00,TKO/BTC,0.00001371,0.00001485,0.00001311,0.00001401,12779.1601,0.177279175313
1658016000,2022-07-17 00:00:00,TKO/BTC,0.00001371,0.00001422,0.00001343,0.00001363,2904.7341,0.040069715514
1657929600,2022-07-16 00:00:00,TKO/BTC,0.00001371,0.00001395,0.00001325,0.00001373,3724.8537,0.050711782809
1657843200,2022-07-15 00:00:00,TKO/BTC,0.00001377,0.00001464,0.00001345,0.00001366,27685.1348,0.394692316735
1657756800,2022-07-14 00:00:00,TKO/BTC,0.00001385,0.00001455,0.0000136,0.00001387,4131.2059,0.057617432562
1657670400,2022-07-13 00:00:00,TKO/BTC,0.00001329,0.0000148,0.00001318,0.00001394,15287.6826,0.211720967001
1657584000,2022-07-12 00:00:00,TKO/BTC,0.00001329,0.00001345,0.00001305,0.00001344,12665.9833,0.168719049132
1657497600,2022-07-11 00:00:00,TKO/BTC,0.00001313,0.00001338,0.00001303,0.00001321,2111.0227,0.027909902817
1657411200,2022-07-10 00:00:00,TKO/BTC,0.00001318,0.00001326,0.00001289,0.00001308,2664.8943,0.03463009392
1657324800,2022-07-09 00:00:00,TKO/BTC,0.00001324,0.00001341,0.0000131,0.00001316,1787.2367,0.023601547416
1657238400,2022-07-08 00:00:00,TKO/BTC,0.00001338,0.00001359,0.0000131,0.00001324,3356.0896,0.044523451797
1657152000,2022-07-07 00:00:00,TKO/BTC,0.00001378,0.00001415,0.00001345,0.00001345,2418.81381516,0.0335546817889076
1657065600,2022-07-06 00:00:00,TKO/BTC,0.00001375,0.00001399,0.00001361,0.00001376,1489.5274,0.020606484234
1656979200,2022-07-05 00:00:00,TKO/BTC,0.00001405,0.00001416,0.00001363,0.00001386,1149.94422756,0.0159817520671826
1656892800,2022-07-04 00:00:00,TKO/BTC,0.00001422,0.00001454,0.000014,0.00001406,1894.6882,0.026916199091
1656806400,2022-07-03 00:00:00,TKO/BTC,0.00001424,0.00001436,0.00001401,0.00001422,2639.1893,0.037456803255
1656720000,2022-07-02 00:00:00,TKO/BTC,0.000014,0.00001424,0.00001387,0.00001421,1369.42644092,0.019208543317926
