https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROOBEE,Volume BTC
1663459200,2022-09-18 00:00:00,ROOBEE/BTC,0.0000000381,0.0000000381,0.000000038,0.000000038,8929945,0.3397734225
1663455600,2022-09-17 23:00:00,ROOBEE/BTC,0.0000000379,0.0000000381,0.0000000379,0.0000000381,9575356,0.36386355
1663452000,2022-09-17 22:00:00,ROOBEE/BTC,0.0000000381,0.0000000381,0.0000000379,0.0000000379,8802784,0.3349605334
1663448400,2022-09-17 21:00:00,ROOBEE/BTC,0.0000000382,0.0000000382,0.000000038,0.0000000381,7905166,0.300396762
1663444800,2022-09-17 20:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000382,7744693,0.2950728082
1663441200,2022-09-17 19:00:00,ROOBEE/BTC,0.0000000381,0.0000000381,0.0000000381,0.0000000381,7535386,0.2870982066
1663437600,2022-09-17 18:00:00,ROOBEE/BTC,0.000000038,0.0000000382,0.000000038,0.0000000381,7163212,0.2724962468
1663434000,2022-09-17 17:00:00,ROOBEE/BTC,0.0000000379,0.000000038,0.0000000379,0.000000038,5067076.5204,0.19253738812316
1663430400,2022-09-17 16:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000382,6427852,0.2449011714
1663426800,2022-09-17 15:00:00,ROOBEE/BTC,0.000000038,0.0000000381,0.000000038,0.0000000381,7533424,0.2866926044
1663423200,2022-09-17 14:00:00,ROOBEE/BTC,0.0000000382,0.0000000382,0.0000000379,0.000000038,6315149.8256,0.24018642528447
1663419600,2022-09-17 13:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000382,8454118,0.322101906
1663416000,2022-09-17 12:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000381,7600238.7238,0.28956911844916
1663412400,2022-09-17 11:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000381,5037054,0.1919117778
1663408800,2022-09-17 10:00:00,ROOBEE/BTC,0.0000000381,0.0000000381,0.0000000381,0.0000000381,8279188.5475,0.31543708365975
1663405200,2022-09-17 09:00:00,ROOBEE/BTC,0.0000000381,0.0000000382,0.0000000381,0.0000000381,9224851.6806,0.35146685353086
1663401600,2022-09-17 08:00:00,ROOBEE/BTC,0.0000000381,0.0000000381,0.0000000381,0.0000000381,7960678.7156,0.30330185906436
1663398000,2022-09-17 07:00:00,ROOBEE/BTC,0.000000038,0.0000000382,0.000000038,0.0000000381,7185359.7526,0.27339171553458
1663394400,2022-09-17 06:00:00,ROOBEE/BTC,0.000000038,0.000000038,0.000000038,0.000000038,7601650.1316,0.2888627050008
1663390800,2022-09-17 05:00:00,ROOBEE/BTC,0.0000000379,0.0000000382,0.0000000378,0.0000000382,7762122.96,0.29456749304572
1663387200,2022-09-17 04:00:00,ROOBEE/BTC,0.0000000379,0.0000000379,0.0000000379,0.0000000379,8734808.1945,0.33104923057155
1663383600,2022-09-17 03:00:00,ROOBEE/BTC,0.0000000379,0.0000000381,0.0000000378,0.0000000378,8565015.3037,0.32461963407097
1663380000,2022-09-17 02:00:00,ROOBEE/BTC,0.0000000381,0.0000000383,0.000000038,0.000000038,7359323.0625,0.279959347475
1663376400,2022-09-17 01:00:00,ROOBEE/BTC,0.000000038,0.0000000383,0.0000000378,0.0000000383,7058025.2736,0.26760802125382
1663372800,2022-09-17 00:00:00,ROOBEE/BTC,0.000000038,0.000000038,0.0000000379,0.000000038,9081266,0.344179988
1663369200,2022-09-16 23:00:00,ROOBEE/BTC,0.0000000378,0.000000038,0.0000000378,0.000000038,7469061.9069,0.28307743128082
1663365600,2022-09-16 22:00:00,ROOBEE/BTC,0.000000038,0.000000038,0.0000000379,0.0000000379,14745498,0.558854384
1663362000,2022-09-16 21:00:00,ROOBEE/BTC,0.0000000378,0.000000038,0.0000000378,0.000000038,7332422.6915,0.2778988051387
1663358400,2022-09-16 20:00:00,ROOBEE/BTC,0.0000000378,0.000000038,0.0000000378,0.0000000379,8716381.8858,0.33035086288324
1663354800,2022-09-16 19:00:00,ROOBEE/BTC,0.0000000379,0.0000000379,0.0000000378,0.0000000379,7055783.1735,0.26741416502452
1663351200,2022-09-16 18:00:00,ROOBEE/BTC,0.0000000379,0.0000000379,0.0000000379,0.0000000379,7157835.9498,0.27128198249742
1663347600,2022-09-16 17:00:00,ROOBEE/BTC,0.000000038,0.000000038,0.0000000379,0.0000000379,7994263.5443,0.30298259174146
1663344000,2022-09-16 16:00:00,ROOBEE/BTC,0.0000000379,0.0000000379,0.0000000379,0.0000000379,7334586.2796,0.27798081999684
