https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHO,Volume USDT
1663462800,2022-09-18 01:00:00,ETHO/USDT,0.02656,0.02656,0.02656,0.02656,12.7375,0.338308
1663459200,2022-09-18 00:00:00,ETHO/USDT,0.02633,0.02695,0.02633,0.02656,14836.6405,397.603658272
1663455600,2022-09-17 23:00:00,ETHO/USDT,0.02631,0.02632,0.02631,0.02632,12927.7458,340.199791718
1663452000,2022-09-17 22:00:00,ETHO/USDT,0.02632,0.02632,0.02608,0.02632,2676.9912,70.368912493
1663448400,2022-09-17 21:00:00,ETHO/USDT,0.02664,0.02664,0.02592,0.02632,27859.1465,731.957383159
1663444800,2022-09-17 20:00:00,ETHO/USDT,0.0266,0.02695,0.0266,0.02664,28209.845,751.64279856
1663441200,2022-09-17 19:00:00,ETHO/USDT,0.02718,0.02718,0.0264,0.0264,132003.6561,3501.935542989
1663437600,2022-09-17 18:00:00,ETHO/USDT,0.02697,0.02748,0.02694,0.02698,13540.2943,368.275868205
1663434000,2022-09-17 17:00:00,ETHO/USDT,0.02726,0.02726,0.02664,0.02696,22139.0574,594.30970128
1663430400,2022-09-17 16:00:00,ETHO/USDT,0.02748,0.02748,0.02729,0.02729,3461.6772,95.069680019
1663426800,2022-09-17 15:00:00,ETHO/USDT,0.02747,0.02748,0.02703,0.02748,6594.6211,180.956317891
1663423200,2022-09-17 14:00:00,ETHO/USDT,0.02725,0.02748,0.027,0.02748,11213.4079,307.718935207
1663419600,2022-09-17 13:00:00,ETHO/USDT,0.0268,0.02748,0.02651,0.02748,39621.5396,1082.796295475
1663416000,2022-09-17 12:00:00,ETHO/USDT,0.02668,0.02702,0.02665,0.027,14230.5601,383.198938235
1663412400,2022-09-17 11:00:00,ETHO/USDT,0.02679,0.02689,0.02669,0.02689,5954.6061,159.284122493
1663408800,2022-09-17 10:00:00,ETHO/USDT,0.02678,0.0269,0.0267,0.0269,259.4903,6.94758957
1663405200,2022-09-17 09:00:00,ETHO/USDT,0.02674,0.02674,0.02669,0.02669,16539.1984,441.438265407
1663401600,2022-09-17 08:00:00,ETHO/USDT,0.02704,0.02708,0.02671,0.02671,2637.8156,71.256648199
1663398000,2022-09-17 07:00:00,ETHO/USDT,0.02715,0.02715,0.02684,0.02684,2033.2469,54.96229385
1663394400,2022-09-17 06:00:00,ETHO/USDT,0.02712,0.02716,0.02712,0.02716,110.4994,2.999998436
1663390800,2022-09-17 05:00:00,ETHO/USDT,0.0276,0.0276,0.02672,0.02709,62803.9106,1707.50510891
1663387200,2022-09-17 04:00:00,ETHO/USDT,0.02747,0.0278,0.02726,0.0278,3413.4622,94.38647835
1663383600,2022-09-17 03:00:00,ETHO/USDT,0.0276,0.0276,0.0276,0.0276,0,0
1663380000,2022-09-17 02:00:00,ETHO/USDT,0.0275,0.0276,0.0272,0.0276,6739.4707,184.433438085
1663376400,2022-09-17 01:00:00,ETHO/USDT,0.02788,0.02788,0.0275,0.0275,2434.3843,67.313531155
1663372800,2022-09-17 00:00:00,ETHO/USDT,0.02788,0.02806,0.02764,0.02806,2743.5418,76.22800881
1663369200,2022-09-16 23:00:00,ETHO/USDT,0.02774,0.02774,0.02772,0.02772,1362.178,37.760446242
1663365600,2022-09-16 22:00:00,ETHO/USDT,0.02751,0.02803,0.02751,0.02788,7184.3555,199.807981094
1663362000,2022-09-16 21:00:00,ETHO/USDT,0.02626,0.02876,0.02626,0.02748,101887.6114,2799.538244603
1663358400,2022-09-16 20:00:00,ETHO/USDT,0.02685,0.0269,0.02602,0.02634,48284.0855,1282.153654193
1663354800,2022-09-16 19:00:00,ETHO/USDT,0.02675,0.02698,0.02675,0.02698,27892.9644,751.347329659
1663351200,2022-09-16 18:00:00,ETHO/USDT,0.02656,0.02681,0.0264,0.02681,1765.4457,47.134343589
1663347600,2022-09-16 17:00:00,ETHO/USDT,0.02784,0.02797,0.026,0.02651,89904.971,2397.554259928
1663344000,2022-09-16 16:00:00,ETHO/USDT,0.02746,0.02831,0.02732,0.0276,27440.3291,764.362206786
1663340400,2022-09-16 15:00:00,ETHO/USDT,0.02732,0.02821,0.02732,0.02747,34077.164,939.588808306
1663336800,2022-09-16 14:00:00,ETHO/USDT,0.02802,0.02812,0.02718,0.02732,21376.2827,586.607637544
1663333200,2022-09-16 13:00:00,ETHO/USDT,0.02782,0.02817,0.0278,0.02802,2923.2938,81.905825103
1663329600,2022-09-16 12:00:00,ETHO/USDT,0.0276,0.02814,0.0276,0.02784,12366.0193,345.422989805
1663326000,2022-09-16 11:00:00,ETHO/USDT,0.02736,0.0276,0.02736,0.0276,926.729,25.364407384
1663322400,2022-09-16 10:00:00,ETHO/USDT,0.02793,0.02793,0.02724,0.02742,24208.7437,662.979449272
1663318800,2022-09-16 09:00:00,ETHO/USDT,0.02729,0.02815,0.02729,0.02815,25650.6523,713.463134033
1663315200,2022-09-16 08:00:00,ETHO/USDT,0.02793,0.02793,0.02707,0.02727,43673.4706,1194.145736577
1663311600,2022-09-16 07:00:00,ETHO/USDT,0.02818,0.02824,0.02789,0.02793,718.8762,20.180095447
1663308000,2022-09-16 06:00:00,ETHO/USDT,0.02855,0.02855,0.02788,0.02818,11755.4872,330.983083813
1663304400,2022-09-16 05:00:00,ETHO/USDT,0.0284,0.02855,0.02803,0.02855,3492.1752,98.89180444
1663300800,2022-09-16 04:00:00,ETHO/USDT,0.02787,0.02855,0.02787,0.0284,48697.3996,1379.287288432
1663297200,2022-09-16 03:00:00,ETHO/USDT,0.02788,0.02788,0.02788,0.02788,35.8106,0.998399528
1663293600,2022-09-16 02:00:00,ETHO/USDT,0.02784,0.02787,0.02784,0.02787,1639.7596,45.674570781
1663290000,2022-09-16 01:00:00,ETHO/USDT,0.0277,0.02787,0.02764,0.02787,1579.3965,43.91267179
1663286400,2022-09-16 00:00:00,ETHO/USDT,0.02785,0.02785,0.02741,0.0277,16039.2515,444.906181264
1663282800,2022-09-15 23:00:00,ETHO/USDT,0.02771,0.02787,0.0276,0.02787,1798.392,49.989336642
1663279200,2022-09-15 22:00:00,ETHO/USDT,0.02753,0.02787,0.0274,0.02771,7943.0359,218.364395378
1663275600,2022-09-15 21:00:00,ETHO/USDT,0.02753,0.0283,0.0274,0.02768,29299.8744,810.744611622
1663272000,2022-09-15 20:00:00,ETHO/USDT,0.0274,0.02782,0.0274,0.0276,4253.6303,117.90313085
1663268400,2022-09-15 19:00:00,ETHO/USDT,0.02746,0.02764,0.02746,0.02764,4187.895,115.531468052
1663264800,2022-09-15 18:00:00,ETHO/USDT,0.02727,0.02745,0.02705,0.02745,12880.6373,348.772603614
1663261200,2022-09-15 17:00:00,ETHO/USDT,0.02789,0.02797,0.02712,0.02758,18109.6749,497.579860714
1663257600,2022-09-15 16:00:00,ETHO/USDT,0.02771,0.0279,0.02746,0.02789,8266.075,228.934352637
1663254000,2022-09-15 15:00:00,ETHO/USDT,0.02863,0.02863,0.02716,0.02766,81223.2778,2265.076860095
1663250400,2022-09-15 14:00:00,ETHO/USDT,0.02776,0.03054,0.02756,0.02863,291164.6998,8526.360731047
1663246800,2022-09-15 13:00:00,ETHO/USDT,0.02805,0.02806,0.0276,0.0278,81410.0235,2279.454592447
1663243200,2022-09-15 12:00:00,ETHO/USDT,0.02829,0.02836,0.02789,0.02789,6358.9577,178.666115488
