https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TLOS,Volume USDT
1663459200,2022-09-18 00:00:00,TLOS/USDT,0.17884,0.17941,0.17858,0.17888,434360.8878,77653.995710017
1663372800,2022-09-17 00:00:00,TLOS/USDT,0.17836,0.17903,0.17807,0.17884,10027719.4597,1790328.382226525
1663286400,2022-09-16 00:00:00,TLOS/USDT,0.1802,0.18049,0.17602,0.17836,10666702.1245,1912306.249182134
1663200000,2022-09-15 00:00:00,TLOS/USDT,0.18104,0.18197,0.18,0.18028,8871589.3009,1601948.018532528
1663113600,2022-09-14 00:00:00,TLOS/USDT,0.18021,0.18158,0.18,0.18105,10254475.6826,1852145.802103961
1663027200,2022-09-13 00:00:00,TLOS/USDT,0.18519,0.18532,0.18001,0.18021,10018092.121,1822589.214753956
1662940800,2022-09-12 00:00:00,TLOS/USDT,0.18962,0.19449,0.18283,0.18518,9788726.112,1843646.577189335
1662854400,2022-09-11 00:00:00,TLOS/USDT,0.1899,0.19006,0.18782,0.18954,8069361.8721,1526614.561184712
1662768000,2022-09-10 00:00:00,TLOS/USDT,0.18664,0.19174,0.18564,0.18985,8378581.6699,1576615.012092695
1662681600,2022-09-09 00:00:00,TLOS/USDT,0.18254,0.1877,0.18237,0.1867,6368473.3016,1182288.631036035
1662595200,2022-09-08 00:00:00,TLOS/USDT,0.18293,0.18362,0.1811,0.18254,4388003.8074,801451.284966335
1662508800,2022-09-07 00:00:00,TLOS/USDT,0.18002,0.18362,0.18,0.18293,4379378.262,792601.302957818
1662422400,2022-09-06 00:00:00,TLOS/USDT,0.18287,0.18631,0.18,0.18001,2427053.3095,441103.949013489
1662336000,2022-09-05 00:00:00,TLOS/USDT,0.18033,0.18498,0.18,0.18287,361227.3896,65241.699859194
1662249600,2022-09-04 00:00:00,TLOS/USDT,0.18169,0.18194,0.17853,0.18065,206003.8505,37135.213043473
1662163200,2022-09-03 00:00:00,TLOS/USDT,0.18346,0.18385,0.178,0.18169,207966.0201,37614.464484068
1662076800,2022-09-02 00:00:00,TLOS/USDT,0.18299,0.18601,0.1812,0.18314,220484.1078,40428.495899713
1661990400,2022-09-01 00:00:00,TLOS/USDT,0.183,0.18719,0.17945,0.18296,614241.1762,112271.275417133
1661904000,2022-08-31 00:00:00,TLOS/USDT,0.18885,0.19239,0.181,0.18246,403400.01331343,75540.3972460872841
1661817600,2022-08-30 00:00:00,TLOS/USDT,0.19291,0.20194,0.18797,0.18871,967899.72112861,187769.4457279267821
1661731200,2022-08-29 00:00:00,TLOS/USDT,0.19094,0.19603,0.18468,0.19308,572280.19936701,109098.3013648496295
1661644800,2022-08-28 00:00:00,TLOS/USDT,0.19266,0.19556,0.19,0.19,283750.34254679,54701.0314841575732
