https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REVV,Volume USDT
1663462800,2022-09-18 01:00:00,REVV/USDT,0.017664,0.017666,0.017647,0.017657,39184.0001,691.8955421308
1663459200,2022-09-18 00:00:00,REVV/USDT,0.017679,0.017703,0.017646,0.017656,299472.5484,5290.7704558762
1663455600,2022-09-17 23:00:00,REVV/USDT,0.01764,0.017711,0.017611,0.017707,296722.9242,5236.9960473217
1663452000,2022-09-17 22:00:00,REVV/USDT,0.017624,0.017669,0.017614,0.017629,311141.2488,5488.897278573
1663448400,2022-09-17 21:00:00,REVV/USDT,0.0176,0.017641,0.017586,0.017628,296492.5126,5220.6354453361
1663444800,2022-09-17 20:00:00,REVV/USDT,0.01759,0.017622,0.017586,0.01759,325162.1051,5722.2604122338
1663441200,2022-09-17 19:00:00,REVV/USDT,0.017631,0.017633,0.017586,0.017596,318970.424,5614.4201772807
1663437600,2022-09-17 18:00:00,REVV/USDT,0.01761,0.017637,0.017595,0.017614,310869.7452,5477.437866958
1663434000,2022-09-17 17:00:00,REVV/USDT,0.017625,0.017645,0.017586,0.017622,326858.6885,5755.987663205
1663430400,2022-09-17 16:00:00,REVV/USDT,0.017633,0.017645,0.0176,0.01763,292228.4829,5151.7273151236
1663426800,2022-09-17 15:00:00,REVV/USDT,0.017643,0.017645,0.017616,0.017627,251815.1022,4440.6278849512
1663423200,2022-09-17 14:00:00,REVV/USDT,0.017644,0.017645,0.017617,0.017641,114308.9038,2016.482295687
1663419600,2022-09-17 13:00:00,REVV/USDT,0.017642,0.017643,0.017642,0.017643,3136.2378,55.3315249501
1663416000,2022-09-17 12:00:00,REVV/USDT,0.017595,0.01762,0.017583,0.01762,182662.9018,3215.6095763446
1663412400,2022-09-17 11:00:00,REVV/USDT,0.017615,0.017641,0.017583,0.017593,341871.0295,6018.7556793857
1663408800,2022-09-17 10:00:00,REVV/USDT,0.017868,0.017878,0.017592,0.017609,403987.0172,7161.3292796771
1663405200,2022-09-17 09:00:00,REVV/USDT,0.018124,0.018132,0.017833,0.017875,316539.5033,5698.0255150697
1663401600,2022-09-17 08:00:00,REVV/USDT,0.018196,0.018197,0.018098,0.018098,177899.7831,3226.034575556
1663398000,2022-09-17 07:00:00,REVV/USDT,0.018179,0.01819,0.018113,0.018151,66276.2668,1203.7722730391
1663394400,2022-09-17 06:00:00,REVV/USDT,0.018169,0.018179,0.018168,0.018179,7925.7964,144.004887848
1663390800,2022-09-17 05:00:00,REVV/USDT,0.018195,0.018214,0.018166,0.018166,3369.2641,61.2604963805
1663387200,2022-09-17 04:00:00,REVV/USDT,0.018171,0.018351,0.018171,0.018231,18499.8351,338.7987205002
1663383600,2022-09-17 03:00:00,REVV/USDT,0.018166,0.018264,0.018166,0.018166,10742.7552,195.7952567216
1663380000,2022-09-17 02:00:00,REVV/USDT,0.01793,0.018331,0.01793,0.018263,207909.9792,3770.0568049792
1663376400,2022-09-17 01:00:00,REVV/USDT,0.017907,0.017937,0.017907,0.01792,8773.9203,157.1632648755
1663372800,2022-09-17 00:00:00,REVV/USDT,0.017794,0.01789,0.017768,0.01789,10628.5583,189.5841093091
1663369200,2022-09-16 23:00:00,REVV/USDT,0.017742,0.01777,0.01774,0.01777,2193.1021,38.9407962018
1663365600,2022-09-16 22:00:00,REVV/USDT,0.017758,0.017758,0.017758,0.017758,0,0
1663362000,2022-09-16 21:00:00,REVV/USDT,0.017709,0.01776,0.017709,0.017758,8637.9666,153.1723752721
1663358400,2022-09-16 20:00:00,REVV/USDT,0.017709,0.017709,0.01767,0.017709,21639.6291,383.0853637929
1663354800,2022-09-16 19:00:00,REVV/USDT,0.017697,0.017709,0.017651,0.017701,50809.013,898.3986701237
1663351200,2022-09-16 18:00:00,REVV/USDT,0.01773,0.017759,0.017698,0.017698,7805.5587,138.3194532905
1663347600,2022-09-16 17:00:00,REVV/USDT,0.018182,0.018182,0.017708,0.017709,162864.9594,2917.7594115991
1663344000,2022-09-16 16:00:00,REVV/USDT,0.018717,0.018754,0.018153,0.018207,250190.8448,4605.2480281933
1663340400,2022-09-16 15:00:00,REVV/USDT,0.018365,0.018858,0.018365,0.018717,185814.4426,3458.730860162
1663336800,2022-09-16 14:00:00,REVV/USDT,0.018314,0.018377,0.018296,0.018377,30174.9585,554.0882636957
1663333200,2022-09-16 13:00:00,REVV/USDT,0.018548,0.018567,0.01832,0.018321,58416.4729,1082.2711844386
1663329600,2022-09-16 12:00:00,REVV/USDT,0.018686,0.018687,0.018486,0.018554,215235.7744,4007.0206940741
1663326000,2022-09-16 11:00:00,REVV/USDT,0.018093,0.018848,0.018086,0.018686,321527.8764,5942.0253291637
1663322400,2022-09-16 10:00:00,REVV/USDT,0.017985,0.018163,0.017951,0.018091,155858.6047,2812.8593913678
1663318800,2022-09-16 09:00:00,REVV/USDT,0.017703,0.018019,0.017693,0.01798,359056.1283,6420.2247390572
1663315200,2022-09-16 08:00:00,REVV/USDT,0.017547,0.017806,0.017503,0.017697,494409.5381,8712.8916830017
1663311600,2022-09-16 07:00:00,REVV/USDT,0.017791,0.0178,0.017547,0.017555,382761.3908,6759.1899056644
1663308000,2022-09-16 06:00:00,REVV/USDT,0.017786,0.017818,0.017776,0.0178,317650.777,5652.7125005149
1663304400,2022-09-16 05:00:00,REVV/USDT,0.017786,0.017808,0.017771,0.017778,382417.3073,6800.5711673001
1663300800,2022-09-16 04:00:00,REVV/USDT,0.017784,0.017803,0.017775,0.017782,369919,6579.4755773844
1663297200,2022-09-16 03:00:00,REVV/USDT,0.017792,0.017817,0.017767,0.017778,381608.9568,6788.5390767579
1663293600,2022-09-16 02:00:00,REVV/USDT,0.017863,0.017869,0.017721,0.017796,382766.0067,6818.2530677628
1663290000,2022-09-16 01:00:00,REVV/USDT,0.01788,0.017891,0.017845,0.017864,356008.6479,6363.0616801591
1663286400,2022-09-16 00:00:00,REVV/USDT,0.017876,0.017892,0.017826,0.01788,358532.165,6405.7866452734
1663282800,2022-09-15 23:00:00,REVV/USDT,0.017856,0.017893,0.01783,0.017892,358114.9133,6396.2725884196
1663279200,2022-09-15 22:00:00,REVV/USDT,0.017917,0.017922,0.017826,0.017841,348692.2642,6236.2271525955
1663275600,2022-09-15 21:00:00,REVV/USDT,0.017932,0.017942,0.017893,0.017915,388134.2296,6957.6236637162
1663272000,2022-09-15 20:00:00,REVV/USDT,0.017935,0.017943,0.017884,0.017932,322062.3888,5774.4374533991
1663268400,2022-09-15 19:00:00,REVV/USDT,0.017913,0.017943,0.017879,0.017929,379837.9841,6808.2059435853
1663264800,2022-09-15 18:00:00,REVV/USDT,0.017992,0.017999,0.017911,0.017919,318860.1953,5727.4638087005
1663261200,2022-09-15 17:00:00,REVV/USDT,0.018053,0.01806,0.017875,0.017984,410751.3349,7393.6861930554
1663257600,2022-09-15 16:00:00,REVV/USDT,0.018019,0.018061,0.018002,0.018042,407077.2729,7343.0696337696
1663254000,2022-09-15 15:00:00,REVV/USDT,0.018146,0.018179,0.018009,0.018013,393041.3411,7111.432829508
1663250400,2022-09-15 14:00:00,REVV/USDT,0.018248,0.018252,0.018144,0.018157,357533.7225,6511.4193054907
1663246800,2022-09-15 13:00:00,REVV/USDT,0.018249,0.018252,0.018194,0.01825,204352.0303,3726.1623231434
1663243200,2022-09-15 12:00:00,REVV/USDT,0.018198,0.018252,0.018171,0.018249,29653.7938,541.0648101443
1663239600,2022-09-15 11:00:00,REVV/USDT,0.018382,0.018404,0.018199,0.018199,23067.896,424.1274210205
1663236000,2022-09-15 10:00:00,REVV/USDT,0.018355,0.018404,0.018235,0.018235,131073.6262,2401.3741105002
1663232400,2022-09-15 09:00:00,REVV/USDT,0.018251,0.018407,0.018251,0.018387,78076.7477,1433.3365835123
1663228800,2022-09-15 08:00:00,REVV/USDT,0.018125,0.018251,0.018121,0.018251,72839.974,1325.1302696611
