https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTAG,Volume USDT
1663459200,2022-09-18 00:00:00,XTAG/USDT,0.0507,0.0513,0.0506,0.0512,60418.4415,3069.15769238
1663372800,2022-09-17 00:00:00,XTAG/USDT,0.0485,0.0514,0.0485,0.0507,1506025.2319,74668.995873
1663286400,2022-09-16 00:00:00,XTAG/USDT,0.0501,0.0502,0.0483,0.0485,1452090.5305,71560.99799522
1663200000,2022-09-15 00:00:00,XTAG/USDT,0.0499,0.0514,0.0485,0.05,1634786.5958,81954.7931946
1663113600,2022-09-14 00:00:00,XTAG/USDT,0.0516,0.0525,0.0487,0.0499,1740926.0752,88216.82594084
1663027200,2022-09-13 00:00:00,XTAG/USDT,0.0552,0.0565,0.0516,0.0516,1646599.319,88829.99923836
1662940800,2022-09-12 00:00:00,XTAG/USDT,0.0597,0.064,0.0529,0.0552,2103849.6648,122847.52235874
1662854400,2022-09-11 00:00:00,XTAG/USDT,0.057,0.062,0.0566,0.0597,1618176.1349,94624.90663448
1662768000,2022-09-10 00:00:00,XTAG/USDT,0.0552,0.0593,0.0541,0.0569,1849106.0913,104946.68437512
1662681600,2022-09-09 00:00:00,XTAG/USDT,0.0504,0.0597,0.0502,0.0553,2488157.3476,136285.22215091
1662595200,2022-09-08 00:00:00,XTAG/USDT,0.0501,0.0527,0.0482,0.0504,1748606.5237,86934.98795742
1662508800,2022-09-07 00:00:00,XTAG/USDT,0.0487,0.052,0.047,0.0501,1815830.6521,88907.21743535
1662422400,2022-09-06 00:00:00,XTAG/USDT,0.0513,0.0521,0.0487,0.0487,1639791.405,82858.37315882
1662336000,2022-09-05 00:00:00,XTAG/USDT,0.0566,0.0618,0.0504,0.0513,2052505.4189,111407.99709906
1662249600,2022-09-04 00:00:00,XTAG/USDT,0.0491,0.0647,0.049,0.0566,2944869.6686,161222.52669531
1662163200,2022-09-03 00:00:00,XTAG/USDT,0.0503,0.0508,0.0485,0.049,1362930.5691,67482.22742994
1662076800,2022-09-02 00:00:00,XTAG/USDT,0.0497,0.0536,0.0493,0.0503,1604159.2832,81357.57338335
1661990400,2022-09-01 00:00:00,XTAG/USDT,0.051,0.0511,0.0486,0.0497,1522866.7009,76343.38271229
1661904000,2022-08-31 00:00:00,XTAG/USDT,0.0543,0.0547,0.0509,0.051,1482324.5432,78766.68878347
1661817600,2022-08-30 00:00:00,XTAG/USDT,0.0569,0.057,0.054,0.0543,1528735.8161,84874.55246966
1661731200,2022-08-29 00:00:00,XTAG/USDT,0.055,0.058,0.055,0.0569,1485755.684,84153.62462065
1661644800,2022-08-28 00:00:00,XTAG/USDT,0.0537,0.0563,0.0536,0.0551,1487115.351,81447.50793603
1661558400,2022-08-27 00:00:00,XTAG/USDT,0.0554,0.0554,0.053,0.0537,1150929.606,61998.78286598
1661472000,2022-08-26 00:00:00,XTAG/USDT,0.0591,0.0596,0.0551,0.0554,1643562.3857,94589.47365275
1661385600,2022-08-25 00:00:00,XTAG/USDT,0.0602,0.0606,0.059,0.059,1298705.3074,77647.22528812
1661299200,2022-08-24 00:00:00,XTAG/USDT,0.0616,0.0619,0.0599,0.0602,1238290.1446,75757.58166933
1661212800,2022-08-23 00:00:00,XTAG/USDT,0.0612,0.062,0.0596,0.0616,1142449.0061,69396.22575959
1661126400,2022-08-22 00:00:00,XTAG/USDT,0.0635,0.0638,0.0609,0.0611,1186210.6529,73945.66836663
1661040000,2022-08-21 00:00:00,XTAG/USDT,0.061,0.0684,0.0603,0.0635,1354765.2607,83851.46702866
1660953600,2022-08-20 00:00:00,XTAG/USDT,0.0617,0.0745,0.0594,0.061,1648008.203,103206.94250714
1660867200,2022-08-19 00:00:00,XTAG/USDT,0.0691,0.0693,0.0583,0.0618,1784114.56294973,112494.474840667349
1660780800,2022-08-18 00:00:00,XTAG/USDT,0.0692,0.0709,0.068,0.0691,1442458.0747,100085.16094292
1660694400,2022-08-17 00:00:00,XTAG/USDT,0.0725,0.075,0.0686,0.0692,1749069.372,123545.30718276
1660608000,2022-08-16 00:00:00,XTAG/USDT,0.076,0.0768,0.066,0.0722,2126736.8047,153617.56066105
1660521600,2022-08-15 00:00:00,XTAG/USDT,0.0719,0.088,0.071,0.0763,5715671.8849,456928.40078031
1660435200,2022-08-14 00:00:00,XTAG/USDT,0.0762,0.0762,0.071,0.0719,1401278.40424285,102003.51655337949
1660348800,2022-08-13 00:00:00,XTAG/USDT,0.0728,0.0775,0.071,0.0762,1837681.3613,133709.34350818
1660262400,2022-08-12 00:00:00,XTAG/USDT,0.0704,0.0731,0.0701,0.0728,1396381.015,99586.8416298
1660176000,2022-08-11 00:00:00,XTAG/USDT,0.0696,0.0711,0.0692,0.0703,1238694.3515,87301.39452924
1660089600,2022-08-10 00:00:00,XTAG/USDT,0.069,0.0715,0.0683,0.0696,1304571.254,91022.96514944
1660003200,2022-08-09 00:00:00,XTAG/USDT,0.0719,0.0722,0.0688,0.069,1255418.8198,88821.34756987
1659916800,2022-08-08 00:00:00,XTAG/USDT,0.0719,0.0738,0.0717,0.0719,1250632.2538,91168.0558748
1659830400,2022-08-07 00:00:00,XTAG/USDT,0.0723,0.0725,0.0704,0.0722,1367479.9835,98162.78996409
1659744000,2022-08-06 00:00:00,XTAG/USDT,0.0694,0.0738,0.068,0.0721,1713302.9398,119903.81281795
1659657600,2022-08-05 00:00:00,XTAG/USDT,0.0717,0.0717,0.0677,0.0693,1766879.1882,122954.24904228
1659571200,2022-08-04 00:00:00,XTAG/USDT,0.0756,0.0786,0.0667,0.0717,2419756.56318566,174902.177013363522
1659484800,2022-08-03 00:00:00,XTAG/USDT,0.0743,0.0777,0.0734,0.0754,1489183.7533,111419.01412648
1659398400,2022-08-02 00:00:00,XTAG/USDT,0.075,0.0759,0.0724,0.0746,1887206.1019,139067.21849994
1659312000,2022-08-01 00:00:00,XTAG/USDT,0.0693,0.077,0.0682,0.0752,2651639.7567,191084.25767558
1659225600,2022-07-31 00:00:00,XTAG/USDT,0.0692,0.0702,0.0681,0.0693,1375589.0844,95250.15888819
1659139200,2022-07-30 00:00:00,XTAG/USDT,0.0703,0.0725,0.069,0.069,1600637.5422,112447.64966027
