https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT
1663290000,2022-09-16 01:00:00,XMR/USDT,146.44,146.44,146.33,146.4,47.43363996,6943.8287827424
1663286400,2022-09-16 00:00:00,XMR/USDT,145.89,146.44,144.43,146.44,260.37723696,37839.0204286201
1663282800,2022-09-15 23:00:00,XMR/USDT,145.04,146.04,144.25,145.86,439.40017894,63837.6749580368
1663279200,2022-09-15 22:00:00,XMR/USDT,145.66,145.74,144.2,145.09,358.21952867,51933.0531974453
1663275600,2022-09-15 21:00:00,XMR/USDT,145.65,146.08,144.9,145.88,280.17297602,40755.9463471018
1663272000,2022-09-15 20:00:00,XMR/USDT,144.71,145.73,144.39,145.73,352.98821579,51259.3642052888
1663268400,2022-09-15 19:00:00,XMR/USDT,145.02,145.07,143.88,144.81,625.86798322,90405.7245678472
1663264800,2022-09-15 18:00:00,XMR/USDT,145.72,146.01,145,145.19,429.60419258,62529.6871950317
1663261200,2022-09-15 17:00:00,XMR/USDT,146.09,146.54,145.83,146.04,203.43763793,29734.353431454
1663257600,2022-09-15 16:00:00,XMR/USDT,145.19,146.17,144.1,146.17,554.80799899,80626.1678944446
1663254000,2022-09-15 15:00:00,XMR/USDT,145.72,146.13,144.49,145.12,1309.30130724,190305.4614578025
1663250400,2022-09-15 14:00:00,XMR/USDT,149.2,149.56,145.72,146.1,826.55920019,121564.262148227
1663246800,2022-09-15 13:00:00,XMR/USDT,148.89,149.29,148.05,149.19,261.66739929,38901.7928783271
1663243200,2022-09-15 12:00:00,XMR/USDT,148.61,149.02,148.21,148.83,287.37942825,42755.6765409073
1663239600,2022-09-15 11:00:00,XMR/USDT,148.93,148.97,148.16,148.61,382.40981224,56823.8499794948
1663236000,2022-09-15 10:00:00,XMR/USDT,149.19,149.46,148.6,148.82,234.85739533,35049.6382786589
1663232400,2022-09-15 09:00:00,XMR/USDT,149.62,149.94,149.03,149.17,387.10350955,57923.9173567772
1663228800,2022-09-15 08:00:00,XMR/USDT,150.81,150.81,149.43,149.74,387.20466829,58160.0539383316
1663225200,2022-09-15 07:00:00,XMR/USDT,149.34,151.83,149.34,150.79,598.7440041,90257.6217214257
1663221600,2022-09-15 06:00:00,XMR/USDT,149.41,150.45,146.63,149.39,1181.26054692,175120.9307116353
1663218000,2022-09-15 05:00:00,XMR/USDT,148.36,149.47,147.69,149.38,443.34329224,65879.2008626142
1663214400,2022-09-15 04:00:00,XMR/USDT,148.17,148.72,147.47,148.4,398.75587188,58971.2602074167
1663210800,2022-09-15 03:00:00,XMR/USDT,149.44,149.45,147.76,147.92,577.63655166,85691.3520572882
1663207200,2022-09-15 02:00:00,XMR/USDT,149.74,151.2,147.82,149.45,914.34226245,136245.6885180209
1663203600,2022-09-15 01:00:00,XMR/USDT,149.32,149.83,148,149.82,526.29105932,78475.0859816302
1663200000,2022-09-15 00:00:00,XMR/USDT,149.89,150.41,148.33,149.36,909.82364625,135997.9860778316
1663196400,2022-09-14 23:00:00,XMR/USDT,150.86,151.23,149.55,150.03,534.33523638,80296.3830850195
1663192800,2022-09-14 22:00:00,XMR/USDT,151.46,151.9,150.73,150.89,646.0300658,97755.9553181667
1663189200,2022-09-14 21:00:00,XMR/USDT,150.05,151.62,149.59,151.36,901.80720352,135760.4387561658
1663185600,2022-09-14 20:00:00,XMR/USDT,150.64,151.36,149.72,150.1,390.92964227,58814.5234732554
1663182000,2022-09-14 19:00:00,XMR/USDT,149.5,150.74,148.96,150.59,1130.27584042,169540.219563945
1663178400,2022-09-14 18:00:00,XMR/USDT,149.89,150.31,147.52,149.57,751.67352943,112150.5289525556
1663174800,2022-09-14 17:00:00,XMR/USDT,149.91,151.43,149.56,149.75,667.96551551,100592.1273336161
1663171200,2022-09-14 16:00:00,XMR/USDT,148.94,150.4,148.36,149.92,2052.434099,306706.190806952
1663167600,2022-09-14 15:00:00,XMR/USDT,149.75,151.07,148.28,148.91,1361.77145378,204033.010633581
1663164000,2022-09-14 14:00:00,XMR/USDT,148.57,149.86,148.17,149.81,589.54593561,87956.6359053743
1663160400,2022-09-14 13:00:00,XMR/USDT,147.28,148.66,146.06,148.6,706.00034362,104101.7989423946
1663156800,2022-09-14 12:00:00,XMR/USDT,146.79,148.13,145.43,147.56,597.437666,87870.7385421579
1663153200,2022-09-14 11:00:00,XMR/USDT,148.59,148.69,146.3,146.69,376.79101632,55474.0707206029
1663149600,2022-09-14 10:00:00,XMR/USDT,147.65,148.85,147.63,148.68,1098.03876672,162800.2814929237
1663146000,2022-09-14 09:00:00,XMR/USDT,147.6,148.08,147.17,147.66,281.82459566,41624.8016599615
1663142400,2022-09-14 08:00:00,XMR/USDT,146.61,148.28,146,147.67,1574.15042292,231840.2584586644
1663138800,2022-09-14 07:00:00,XMR/USDT,146.56,147.2,145.78,146.5,622.17993558,91356.4383818906
1663135200,2022-09-14 06:00:00,XMR/USDT,147.53,147.56,146.38,146.46,203.82519929,29987.1371685707
1663131600,2022-09-14 05:00:00,XMR/USDT,147.68,148,147.22,147.68,375.46370412,55451.8530701512
1663128000,2022-09-14 04:00:00,XMR/USDT,146.8,147.71,146.69,147.68,140.02405756,20623.7151606443
1663124400,2022-09-14 03:00:00,XMR/USDT,147.1,147.23,146.69,146.8,352.20219121,51750.0664969351
1663120800,2022-09-14 02:00:00,XMR/USDT,145.7,147.29,145.68,147.16,527.51547931,77294.5528085757
1663117200,2022-09-14 01:00:00,XMR/USDT,145.75,146.13,145.32,145.65,203.26953407,29609.7321210914
1663113600,2022-09-14 00:00:00,XMR/USDT,145.53,146.26,144.69,145.68,336.79661805,49044.0036075708
1663110000,2022-09-13 23:00:00,XMR/USDT,146.95,147.03,145.3,145.54,754.34815072,110193.3877662452
1663106400,2022-09-13 22:00:00,XMR/USDT,148.37,148.41,146.55,146.92,645.16230632,94862.7736630195
1663102800,2022-09-13 21:00:00,XMR/USDT,149.79,149.79,147,148.4,716.1667308,106563.3394837615
1663099200,2022-09-13 20:00:00,XMR/USDT,149.97,150.75,149.48,149.72,737.02664625,110700.8412407644
1663095600,2022-09-13 19:00:00,XMR/USDT,149.61,150.14,148.2,149.89,388.8011843,58021.2291829371
1663092000,2022-09-13 18:00:00,XMR/USDT,152.68,152.68,149.5,149.64,1446.33547006,218175.5884983238
1663088400,2022-09-13 17:00:00,XMR/USDT,152.85,153.34,151.99,152.54,763.0452381,116378.9350947948
