https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT
1663459200,2022-09-18 00:00:00,ETC/USDT,34.453,34.4728,34.0649,34.2364,2975.30815242,101686.55549290696
1663372800,2022-09-17 00:00:00,ETC/USDT,34.0864,34.9244,33.5162,34.4446,185669.16985241,6348778.120335786975
1663286400,2022-09-16 00:00:00,ETC/USDT,35.6741,35.7848,32.758,34.0593,374492.9475776,12730389.388089382557
1663200000,2022-09-15 00:00:00,ETC/USDT,39.1888,39.8,35.0104,35.6741,685967.7776078,25637704.319757459765
1663113600,2022-09-14 00:00:00,ETC/USDT,35.2796,39.7761,35.0711,39.2294,354313.28118413,13226950.171130765574
1663027200,2022-09-13 00:00:00,ETC/USDT,38.4313,38.9959,34.6323,35.2972,241703.67399214,8828901.127770334793
1662940800,2022-09-12 00:00:00,ETC/USDT,38.524,40.5515,37.1165,38.4554,240438.33777266,9274655.266798622029
1662854400,2022-09-11 00:00:00,ETC/USDT,39.3004,39.4336,37.5896,38.511,128542.43044613,4969509.685021992492
1662768000,2022-09-10 00:00:00,ETC/USDT,39.1462,40.3471,38,39.2708,160266.53674637,6276476.942869188188
1662681600,2022-09-09 00:00:00,ETC/USDT,37.1046,40.04,36.6056,39.1424,304163.39743319,11780431.118641334846
1662595200,2022-09-08 00:00:00,ETC/USDT,37.2774,37.77,35.465,37.1016,293583.41991069,10790120.941407742904
1662508800,2022-09-07 00:00:00,ETC/USDT,34.4122,38.0177,33.1,37.2387,466029.95648271,16479337.535033695346
1662422400,2022-09-06 00:00:00,ETC/USDT,39.6643,42.332,34.1816,34.4139,602100.0701726,23503332.519488535867
1662336000,2022-09-05 00:00:00,ETC/USDT,32.4726,40.1041,31.5884,39.6624,286180.90074233,10283506.304706762206
1662249600,2022-09-04 00:00:00,ETC/USDT,32.2331,32.5146,31.5741,32.4369,58995.68815069,1895232.48027302618
1662163200,2022-09-03 00:00:00,ETC/USDT,32.428,32.7051,31.9171,32.2298,45307.13081156,1464749.93099340212
