https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AURORA,Volume USDT
1663459200,2022-09-18 00:00:00,AURORA/USDT,1.2809,1.29,1.2694,1.29,671.2671,858.23829851
1663372800,2022-09-17 00:00:00,AURORA/USDT,1.1899,1.2964,1.1886,1.2942,26663.4453,33156.72492116
1663286400,2022-09-16 00:00:00,AURORA/USDT,1.224,1.244,1.1675,1.1899,9014.0635,10858.4325711
1663200000,2022-09-15 00:00:00,AURORA/USDT,1.3134,1.33,1.1965,1.2348,17854.0608,22339.82572807
1663113600,2022-09-14 00:00:00,AURORA/USDT,1.313,1.3464,1.3029,1.3144,25343.0807,33392.45968064
1663027200,2022-09-13 00:00:00,AURORA/USDT,1.396,1.4117,1.3114,1.313,35917.0623,48524.22367896
1662940800,2022-09-12 00:00:00,AURORA/USDT,1.3638,1.4314,1.32,1.4,56172.1741,77779.72506017
1662854400,2022-09-11 00:00:00,AURORA/USDT,1.3282,1.3899,1.3144,1.3646,27798.4513,37465.37620289
1662768000,2022-09-10 00:00:00,AURORA/USDT,1.3517,1.38,1.3125,1.327,22282.5365,29916.93927702
1662681600,2022-09-09 00:00:00,AURORA/USDT,1.28,1.4094,1.2778,1.35,41029.922,55064.67374208
1662595200,2022-09-08 00:00:00,AURORA/USDT,1.2782,1.3372,1.1815,1.2889,45643.9653,58524.5256549
1662508800,2022-09-07 00:00:00,AURORA/USDT,1.2549,1.4111,1.13,1.2782,62489.2644,77653.9191742
1662422400,2022-09-06 00:00:00,AURORA/USDT,1.3373,1.479,1.2031,1.2549,94439.9864,124397.04507882
1662336000,2022-09-05 00:00:00,AURORA/USDT,1.3949,1.4097,1.2622,1.3462,35952.2006,47550.23048472
1662249600,2022-09-04 00:00:00,AURORA/USDT,1.2618,1.4359,1.2608,1.391,59692.9289,80572.90723075
1662163200,2022-09-03 00:00:00,AURORA/USDT,1.2718,1.2966,1.2,1.2584,26180.453,33108.94073265
1662076800,2022-09-02 00:00:00,AURORA/USDT,1.3035,1.3783,1.25,1.2718,36653.5152,47851.48435397
1661990400,2022-09-01 00:00:00,AURORA/USDT,1.37,1.4008,1.2533,1.3035,60522.4015,79611.97350187
1661904000,2022-08-31 00:00:00,AURORA/USDT,1.2319,1.5784,1.2261,1.3697,166646.4828,228806.05419493
1661817600,2022-08-30 00:00:00,AURORA/USDT,1.2796,1.386,1.13,1.2321,113648.2599,145046.49121099
1661731200,2022-08-29 00:00:00,AURORA/USDT,1.1878,1.3299,1.168,1.2743,37354.3837,45943.63902735
1661644800,2022-08-28 00:00:00,AURORA/USDT,1.2115,1.2509,1.1752,1.187,10957.7335,13192.90992206
1661558400,2022-08-27 00:00:00,AURORA/USDT,1.1964,1.2397,1.1642,1.1982,28388.5564,34057.722626
1661472000,2022-08-26 00:00:00,AURORA/USDT,1.309,1.3584,1.1931,1.1964,44224.2643,55967.67230878
1661385600,2022-08-25 00:00:00,AURORA/USDT,1.3148,1.389,1.2784,1.3047,34616.0235,45618.67225471
1661299200,2022-08-24 00:00:00,AURORA/USDT,1.3294,1.3588,1.2923,1.3149,28951.8531,38213.65436186
1661212800,2022-08-23 00:00:00,AURORA/USDT,1.3299,1.3997,1.2784,1.3231,40160.919,53115.97646642
1661126400,2022-08-22 00:00:00,AURORA/USDT,1.3681,1.6722,1.2778,1.3199,92024.3083,129340.4052757
1661040000,2022-08-21 00:00:00,AURORA/USDT,1.3515,1.4076,1.3,1.379,15423.46,20937.49186554
1660953600,2022-08-20 00:00:00,AURORA/USDT,1.3564,1.4353,1.3377,1.3517,23184.1516,32223.1107692
1660867200,2022-08-19 00:00:00,AURORA/USDT,1.675,1.7002,1.3564,1.3564,55216.4118,81059.76767835
1660780800,2022-08-18 00:00:00,AURORA/USDT,1.7137,1.81,1.6576,1.675,35582.7468,61399.30844589
1660694400,2022-08-17 00:00:00,AURORA/USDT,1.8213,1.8803,1.6732,1.7084,22975.3476,40415.86608257
1660608000,2022-08-16 00:00:00,AURORA/USDT,1.8978,1.9183,1.804,1.833,11107.8252,20538.49047937
1660521600,2022-08-15 00:00:00,AURORA/USDT,1.8977,1.9797,1.826,1.8978,26630.1022,50532.40668724
1660435200,2022-08-14 00:00:00,AURORA/USDT,1.9948,2.0494,1.849,1.8977,25016.8972,48913.16425045
1660348800,2022-08-13 00:00:00,AURORA/USDT,2.1253,2.2041,1.9739,1.9947,30908.6143,64536.28170643
1660262400,2022-08-12 00:00:00,AURORA/USDT,2.0691,2.1261,1.94,2.1261,20774.2581,42667.97814894
1660176000,2022-08-11 00:00:00,AURORA/USDT,2.2212,2.3307,2.01,2.0786,34558.0964,74142.94377208
1660089600,2022-08-10 00:00:00,AURORA/USDT,1.9535,2.4,1.8,2.2108,66024.5478,136648.13250975
1660003200,2022-08-09 00:00:00,AURORA/USDT,2.0068,2.0993,1.865,1.9436,24989.4243,49158.95536402
1659916800,2022-08-08 00:00:00,AURORA/USDT,1.6892,2.2314,1.6817,2.0176,68742.032,137024.13640375
1659830400,2022-08-07 00:00:00,AURORA/USDT,1.68,1.725,1.6432,1.6893,10514.9715,17773.25879349
1659744000,2022-08-06 00:00:00,AURORA/USDT,1.814,1.834,1.6737,1.68,9521.4107,16424.10275669
1659657600,2022-08-05 00:00:00,AURORA/USDT,1.6584,1.8505,1.6167,1.8236,18361.7387,32325.55004919
1659571200,2022-08-04 00:00:00,AURORA/USDT,1.6347,1.7301,1.6127,1.6587,5041.8967,8413.23079131
1659484800,2022-08-03 00:00:00,AURORA/USDT,1.6622,1.7216,1.5891,1.6347,12572.3001,20747.88567418
1659398400,2022-08-02 00:00:00,AURORA/USDT,1.6599,1.8462,1.506,1.6677,15808.662,25841.45660453
