https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VOXEL,Volume USDT
1663459200,2022-09-18 00:00:00,VOXEL/USDT,0.2865,0.2865,0.2862,0.2862,3.3322,0.95394518
1663372800,2022-09-17 00:00:00,VOXEL/USDT,0.282,0.294,0.2803,0.2882,53327.1164,15470.96136306
1663286400,2022-09-16 00:00:00,VOXEL/USDT,0.2942,0.304,0.2753,0.2809,77531.8783,22264.57454403
1663200000,2022-09-15 00:00:00,VOXEL/USDT,0.2876,0.3038,0.2794,0.2951,158730.1604,46511.46417279
1663113600,2022-09-14 00:00:00,VOXEL/USDT,0.287,0.2933,0.2806,0.2877,35477.544,10187.17718779
1663027200,2022-09-13 00:00:00,VOXEL/USDT,0.3066,0.3066,0.2826,0.2857,91938.329,26746.67111642
1662940800,2022-09-12 00:00:00,VOXEL/USDT,0.3161,0.3182,0.2905,0.307,123272.0099,37860.16323833
1662854400,2022-09-11 00:00:00,VOXEL/USDT,0.3158,0.3318,0.3075,0.3156,142957.0791,45679.82663281
1662768000,2022-09-10 00:00:00,VOXEL/USDT,0.3117,0.3172,0.2754,0.3145,72623.3925,22185.68812298
1662681600,2022-09-09 00:00:00,VOXEL/USDT,0.2923,0.3622,0.2918,0.3132,204718.4373,64805.44412327
1662595200,2022-09-08 00:00:00,VOXEL/USDT,0.2888,0.2979,0.2858,0.2925,44017.0679,12824.96244962
1662508800,2022-09-07 00:00:00,VOXEL/USDT,0.288,0.2946,0.276,0.2874,35074.4624,9985.96715983
1662422400,2022-09-06 00:00:00,VOXEL/USDT,0.3128,0.3286,0.2852,0.2882,79265.7386,24242.58024861
1662336000,2022-09-05 00:00:00,VOXEL/USDT,0.3005,0.3252,0.2882,0.3105,276117.3775,85989.7126371
1662249600,2022-09-04 00:00:00,VOXEL/USDT,0.2796,0.3155,0.2764,0.3023,103937.4052,31357.70850979
1662163200,2022-09-03 00:00:00,VOXEL/USDT,0.2796,0.282,0.2739,0.2812,11495.8867,3204.71822098
1662076800,2022-09-02 00:00:00,VOXEL/USDT,0.2806,0.2994,0.2771,0.2807,83856.0892,24297.12160388
1661990400,2022-09-01 00:00:00,VOXEL/USDT,0.2763,0.29,0.2677,0.2823,69745.1589,19523.78892038
1661904000,2022-08-31 00:00:00,VOXEL/USDT,0.2803,0.2888,0.2751,0.2773,46902.4341,13140.30295445
1661817600,2022-08-30 00:00:00,VOXEL/USDT,0.3021,0.3063,0.2684,0.2794,127277.4214,36506.54488069
1661731200,2022-08-29 00:00:00,VOXEL/USDT,0.2816,0.3388,0.271,0.3016,329605.3657,101788.92609523
1661644800,2022-08-28 00:00:00,VOXEL/USDT,0.286,0.3197,0.2816,0.2816,84347.2846,24509.16161507
1661558400,2022-08-27 00:00:00,VOXEL/USDT,0.2981,0.3005,0.2828,0.2862,41566.6067,12151.8186531
1661472000,2022-08-26 00:00:00,VOXEL/USDT,0.3196,0.3219,0.2948,0.2981,64263.8055,19549.80971963
1661385600,2022-08-25 00:00:00,VOXEL/USDT,0.3163,0.3274,0.3125,0.318,26472.6782,8497.31980569
1661299200,2022-08-24 00:00:00,VOXEL/USDT,0.3207,0.328,0.313,0.3198,14731.3185,4754.57627447
1661212800,2022-08-23 00:00:00,VOXEL/USDT,0.3106,0.3388,0.2996,0.3212,66662.3587,21101.06645189
1661126400,2022-08-22 00:00:00,VOXEL/USDT,0.3209,0.3272,0.276,0.3126,70339.1846,21514.60929078
1661040000,2022-08-21 00:00:00,VOXEL/USDT,0.3149,0.3408,0.3144,0.3179,77188.767,24767.54186744
1660953600,2022-08-20 00:00:00,VOXEL/USDT,0.3136,0.354,0.3074,0.3138,129535.703,41738.83126669
1660867200,2022-08-19 00:00:00,VOXEL/USDT,0.3576,0.3591,0.3107,0.3126,45502.7385,14954.20647795
1660780800,2022-08-18 00:00:00,VOXEL/USDT,0.372,0.3813,0.358,0.358,37646.2377,13981.06974375
1660694400,2022-08-17 00:00:00,VOXEL/USDT,0.3999,0.4393,0.3644,0.3697,75280.5138,29112.34116854
1660608000,2022-08-16 00:00:00,VOXEL/USDT,0.4111,0.4133,0.3894,0.3983,20248.49,8153.59350522
1660521600,2022-08-15 00:00:00,VOXEL/USDT,0.4146,0.4229,0.3965,0.411,74588.4835,30343.1320989
1660435200,2022-08-14 00:00:00,VOXEL/USDT,0.4232,0.431,0.4123,0.4138,101933.616,43078.43065409
1660348800,2022-08-13 00:00:00,VOXEL/USDT,0.4271,0.4354,0.4206,0.4241,44000.0387,18866.47357243
1660262400,2022-08-12 00:00:00,VOXEL/USDT,0.4224,0.4324,0.4182,0.4278,15236.4205,6477.28530493
1660176000,2022-08-11 00:00:00,VOXEL/USDT,0.4348,0.4445,0.423,0.423,103708.7523,45324.06616547
1660089600,2022-08-10 00:00:00,VOXEL/USDT,0.4148,0.4362,0.4043,0.4329,26492.5829,11156.22189954
1660003200,2022-08-09 00:00:00,VOXEL/USDT,0.4328,0.4431,0.4048,0.4145,84187.3534,34939.7695494
1659916800,2022-08-08 00:00:00,VOXEL/USDT,0.4302,0.4514,0.4302,0.4358,60428.8497,26614.84661323
1659830400,2022-08-07 00:00:00,VOXEL/USDT,0.4284,0.4359,0.42,0.429,65057.1861,27796.19914797
1659744000,2022-08-06 00:00:00,VOXEL/USDT,0.4362,0.4465,0.426,0.429,71870.8704,31034.81752767
1659657600,2022-08-05 00:00:00,VOXEL/USDT,0.434,0.4536,0.4276,0.4373,117964.5217,51701.03733875
1659571200,2022-08-04 00:00:00,VOXEL/USDT,0.4162,0.4761,0.4162,0.4368,337969.0152,152093.75904289
1659484800,2022-08-03 00:00:00,VOXEL/USDT,0.4383,0.46,0.4118,0.4157,136067.9937,58774.27585789
