https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT
1663545600000.0,2022-09-19 00:00:00,DOGE/USDT,0.057422,0.057949,0.0573875,0.057858,477370.60199972347,27619.7082905
1663542000000.0,2022-09-18 23:00:00,DOGE/USDT,0.057623,0.057858,0.057235,0.057422,699637.8174306016,40174.6027525
1663538400000.0,2022-09-18 22:00:00,DOGE/USDT,0.057806,0.0578115,0.056936,0.057623,401770.0332853201,23151.194628
1663534800000.0,2022-09-18 21:00:00,DOGE/USDT,0.0596915,0.059692,0.056405,0.057806,3450039.85455662,199433.0038325
1663531200000.0,2022-09-18 20:00:00,DOGE/USDT,0.059858,0.0598905,0.0595605,0.0596915,204424.26321168002,12202.3909075
1663527600000.0,2022-09-18 19:00:00,DOGE/USDT,0.059782,0.0599325,0.0595795,0.059858,131991.1416769688,7900.7257585
1663524000000.0,2022-09-18 18:00:00,DOGE/USDT,0.0597355,0.059942,0.059395,0.059782,55988.322914924225,3347.0939205
1663520400000.0,2022-09-18 17:00:00,DOGE/USDT,0.0602735,0.0602735,0.0595525,0.0597355,280939.14925797895,16782.0405505
1663516800000.0,2022-09-18 16:00:00,DOGE/USDT,0.060512,0.060692,0.0598785,0.0602735,364919.8749035646,21994.99808
1663513200000.0,2022-09-18 15:00:00,DOGE/USDT,0.0606335,0.06084,0.0604555,0.060512,342891.5665405209,20749.0544745
1663509600000.0,2022-09-18 14:00:00,DOGE/USDT,0.060923,0.060923,0.060337,0.0606335,99679.1581221602,6043.896234
1663506000000.0,2022-09-18 13:00:00,DOGE/USDT,0.060921,0.061016,0.0607825,0.060923,138050.7648014707,8410.466744
1663502400000.0,2022-09-18 12:00:00,DOGE/USDT,0.060795,0.060923,0.0604945,0.060921,170608.624127969,10393.6479905
1663498800000.0,2022-09-18 11:00:00,DOGE/USDT,0.0606465,0.060813,0.0606215,0.060795,2817.7085122131757,171.302589
1663495200000.0,2022-09-18 10:00:00,DOGE/USDT,0.060362,0.060966,0.0603305,0.0606465,109390.3400196219,6634.141256
1663491600000.0,2022-09-18 09:00:00,DOGE/USDT,0.061452,0.061578,0.060353,0.060362,586703.8529952619,35414.6179745
1663488000000.0,2022-09-18 08:00:00,DOGE/USDT,0.0614095,0.061615,0.061409,0.061452,324175.8101933216,19921.251888
1663484400000.0,2022-09-18 07:00:00,DOGE/USDT,0.0614,0.061598,0.0613615,0.0614095,484803.0043315774,29771.5100945
1663480800000.0,2022-09-18 06:00:00,DOGE/USDT,0.061607,0.061676,0.0614,0.0614,62602.664161237786,3843.8035795
1663477200000.0,2022-09-18 05:00:00,DOGE/USDT,0.0614945,0.061675,0.0614515,0.061607,9986.369592741084,615.2302715
1663473600000.0,2022-09-18 04:00:00,DOGE/USDT,0.061434,0.0615295,0.061344,0.0614945,204877.3778386685,12598.8319115
1663470000000.0,2022-09-18 03:00:00,DOGE/USDT,0.0613775,0.061458,0.061268,0.061434,95991.01643226876,5897.1121035
1663466400000.0,2022-09-18 02:00:00,DOGE/USDT,0.0617715,0.0619705,0.0612945,0.0613775,121235.3958779683,7441.1255105
1663462800000.0,2022-09-18 01:00:00,DOGE/USDT,0.0617085,0.0618845,0.0615375,0.0617715,54496.24506447148,3366.314802
1663459200000.0,2022-09-18 00:00:00,DOGE/USDT,0.062214,0.0622545,0.0616585,0.0617085,477351.4983025029,29456.644933
