https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DRGN,Volume BTC
1663459200,2022-09-18 00:00:00,DRGN/BTC,0.00000092,0.00000092,0.00000092,0.00000092,1770.2121,0.001628595132
1663455600,2022-09-17 23:00:00,DRGN/BTC,0.00000093,0.00000094,0.00000092,0.00000093,1079.1889,0.00100661668
1663452000,2022-09-17 22:00:00,DRGN/BTC,0.00000092,0.00000094,0.00000092,0.00000092,17715.9973,0.01647718526
1663448400,2022-09-17 21:00:00,DRGN/BTC,0.00000093,0.00000094,0.0000009,0.00000091,12909.7831,0.011804172037
1663444800,2022-09-17 20:00:00,DRGN/BTC,0.00000094,0.00000095,0.00000092,0.00000092,7093.0981,0.006645294854
1663441200,2022-09-17 19:00:00,DRGN/BTC,0.0000009,0.00000094,0.0000009,0.00000093,43221.983,0.039901946131
1663437600,2022-09-17 18:00:00,DRGN/BTC,0.00000094,0.00000096,0.00000089,0.00000091,120585.7613,0.111278200945
1663434000,2022-09-17 17:00:00,DRGN/BTC,0.00000093,0.00000094,0.00000093,0.00000094,18029.2553,0.016872959982
1663430400,2022-09-17 16:00:00,DRGN/BTC,0.00000094,0.00000094,0.00000093,0.00000093,27582.8548,0.025919690577
1663426800,2022-09-17 15:00:00,DRGN/BTC,0.00000095,0.00000096,0.00000095,0.00000095,26303.4455,0.025074978937
1663423200,2022-09-17 14:00:00,DRGN/BTC,0.00000093,0.00000096,0.00000093,0.00000095,84472.2459,0.079445637775
1663419600,2022-09-17 13:00:00,DRGN/BTC,0.00000093,0.00000094,0.00000093,0.00000093,27637.5563,0.025717556205
1663416000,2022-09-17 12:00:00,DRGN/BTC,0.00000093,0.00000093,0.00000093,0.00000093,10004.9165,0.009304572345
1663412400,2022-09-17 11:00:00,DRGN/BTC,0.00000094,0.00000094,0.00000093,0.00000093,7338.8074,0.006835237382
1663408800,2022-09-17 10:00:00,DRGN/BTC,0.00000092,0.00000093,0.00000092,0.00000093,23932.6399,0.022235094134
1663405200,2022-09-17 09:00:00,DRGN/BTC,0.00000092,0.00000093,0.00000092,0.00000092,24301.4436,0.022365497221
1663401600,2022-09-17 08:00:00,DRGN/BTC,0.00000093,0.00000093,0.00000092,0.00000092,14158.6612,0.013062011584
1663398000,2022-09-17 07:00:00,DRGN/BTC,0.00000093,0.00000093,0.00000093,0.00000093,1345.3928,0.001251215304
1663394400,2022-09-17 06:00:00,DRGN/BTC,0.00000093,0.00000094,0.00000093,0.00000093,28704.9096,0.026772467866
1663390800,2022-09-17 05:00:00,DRGN/BTC,0.00000093,0.00000094,0.00000092,0.00000093,16413.2282,0.015195095716
