https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STARLY,Volume USDT
1663459200,2022-09-18 00:00:00,STARLY/USDT,0.08799,0.08799,0.08719,0.08762,86480.2524,7583.093374049
1663372800,2022-09-17 00:00:00,STARLY/USDT,0.09124,0.09152,0.08428,0.08729,2464578.5848,215285.358928617
1663286400,2022-09-16 00:00:00,STARLY/USDT,0.08057,0.11,0.07946,0.09128,2738396.8075,236475.33324288
1663200000,2022-09-15 00:00:00,STARLY/USDT,0.08726,0.09159,0.07955,0.08063,2515203.8409,218593.859259847
1663113600,2022-09-14 00:00:00,STARLY/USDT,0.08901,0.09245,0.08494,0.08756,1991005.6057,175409.875886309
1663027200,2022-09-13 00:00:00,STARLY/USDT,0.09583,0.09769,0.08779,0.08999,1384826.521,128540.449795072
1662940800,2022-09-12 00:00:00,STARLY/USDT,0.09998,0.10115,0.0931,0.09561,2312104.8549,227755.542627089
1662854400,2022-09-11 00:00:00,STARLY/USDT,0.09633,0.10399,0.09379,0.09998,2208135.8169,218587.161048172
1662768000,2022-09-10 00:00:00,STARLY/USDT,0.09805,0.105,0.09513,0.09633,1713742.3274,170724.308406916
1662681600,2022-09-09 00:00:00,STARLY/USDT,0.09501,0.09944,0.09401,0.09806,2060874.9818,198357.24669806
1662595200,2022-09-08 00:00:00,STARLY/USDT,0.09922,0.10031,0.09423,0.09502,2469283.4054,240723.441105384
1662508800,2022-09-07 00:00:00,STARLY/USDT,0.09632,0.1003,0.09441,0.09901,1866261.6667,180506.618973307
1662422400,2022-09-06 00:00:00,STARLY/USDT,0.10031,0.10501,0.09409,0.09633,2083580.6337,211083.360424546
1662336000,2022-09-05 00:00:00,STARLY/USDT,0.09823,0.10301,0.0967,0.10047,2285892.4935,225780.79122872
1662249600,2022-09-04 00:00:00,STARLY/USDT,0.09559,0.09846,0.0951,0.09819,2294930.9164,223202.248506768
1662163200,2022-09-03 00:00:00,STARLY/USDT,0.09749,0.0976,0.09288,0.09559,2632364.0936,249556.243168715
1662076800,2022-09-02 00:00:00,STARLY/USDT,0.09585,0.0987,0.09522,0.09749,2160515.9415,208837.10176884
1661990400,2022-09-01 00:00:00,STARLY/USDT,0.10028,0.10117,0.08783,0.09585,2514457.2505,244543.56854835
1661904000,2022-08-31 00:00:00,STARLY/USDT,0.10338,0.10361,0.09871,0.10028,1540257.8444,157020.56237697
