https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SENSO,Volume USDT
1663459200,2022-09-18 00:00:00,SENSO/USDT,0.164747,0.166285,0.164693,0.1655,2798.9887,462.9050717611
1663372800,2022-09-17 00:00:00,SENSO/USDT,0.161504,0.166023,0.1583,0.164999,115297.1528,18575.8992391063
1663286400,2022-09-16 00:00:00,SENSO/USDT,0.169592,0.172133,0.16014,0.160603,69963.3419,11577.4124887102
1663200000,2022-09-15 00:00:00,SENSO/USDT,0.171501,0.17365,0.16504,0.170431,132515.3539,22532.1568329703
1663113600,2022-09-14 00:00:00,SENSO/USDT,0.174,0.179552,0.1715,0.172109,88464.5213,15441.5952505806
1663027200,2022-09-13 00:00:00,SENSO/USDT,0.18333,0.195447,0.172359,0.174,317781.1116,58744.4072006231
1662940800,2022-09-12 00:00:00,SENSO/USDT,0.181922,0.184797,0.174652,0.183073,172469.0839,30892.0625469683
1662854400,2022-09-11 00:00:00,SENSO/USDT,0.180822,0.186344,0.17828,0.181932,114963.8542,20901.8755680236
1662768000,2022-09-10 00:00:00,SENSO/USDT,0.180311,0.1868,0.17659,0.180822,129075.0067,23281.1419445823
1662681600,2022-09-09 00:00:00,SENSO/USDT,0.164944,0.203462,0.164944,0.180311,385465.9732,70197.1344212118
1662595200,2022-09-08 00:00:00,SENSO/USDT,0.157683,0.166989,0.15423,0.165742,119928.5674,19309.2023822009
1662508800,2022-09-07 00:00:00,SENSO/USDT,0.155447,0.159532,0.15,0.156613,145550.093,22436.1235917391
1662422400,2022-09-06 00:00:00,SENSO/USDT,0.156613,0.16,0.15,0.155447,150272.6664,23344.693822478
1662336000,2022-09-05 00:00:00,SENSO/USDT,0.15831,0.159576,0.15399,0.15754,41379.0329,6455.4672305564
1662249600,2022-09-04 00:00:00,SENSO/USDT,0.158807,0.160773,0.154042,0.158956,81168.5994,12785.4726260724
1662163200,2022-09-03 00:00:00,SENSO/USDT,0.161573,0.16388,0.156143,0.15831,42307.6625,6748.3446264762
1662076800,2022-09-02 00:00:00,SENSO/USDT,0.161221,0.163909,0.156136,0.16157,148705.6617,23837.4558850696
1661990400,2022-09-01 00:00:00,SENSO/USDT,0.1596,0.168339,0.158,0.160602,243267.1681,39573.0955734171
1661904000,2022-08-31 00:00:00,SENSO/USDT,0.159022,0.164136,0.156287,0.159848,95932.1508,15432.4314174202
1661817600,2022-08-30 00:00:00,SENSO/USDT,0.160808,0.167339,0.156622,0.159022,158385.6651,25881.7747488102
1661731200,2022-08-29 00:00:00,SENSO/USDT,0.149058,0.16368,0.147205,0.160808,120439.6495,18704.0846792486
1661644800,2022-08-28 00:00:00,SENSO/USDT,0.156224,0.157999,0.148011,0.149058,187757.7224,29134.3764382916
1661558400,2022-08-27 00:00:00,SENSO/USDT,0.168004,0.169538,0.154514,0.156227,241039.671,39045.1219331367
1661472000,2022-08-26 00:00:00,SENSO/USDT,0.181552,0.183609,0.168,0.168312,189100.408,33316.5843260636
1661385600,2022-08-25 00:00:00,SENSO/USDT,0.172975,0.19,0.172047,0.18154,157925.4805,28750.3966859048
1661299200,2022-08-24 00:00:00,SENSO/USDT,0.172999,0.178788,0.167,0.172081,84856.8801,14597.2553669051
1661212800,2022-08-23 00:00:00,SENSO/USDT,0.173127,0.17668,0.169639,0.17208,57119.0997,9907.4894992729
1661126400,2022-08-22 00:00:00,SENSO/USDT,0.182632,0.183694,0.166605,0.172271,146497.138,25249.966633499
1661040000,2022-08-21 00:00:00,SENSO/USDT,0.181499,0.185497,0.17784,0.182632,97449.4643,17704.3149528286
1660953600,2022-08-20 00:00:00,SENSO/USDT,0.184,0.186634,0.174662,0.180763,84790.3452,15407.2167581847
1660867200,2022-08-19 00:00:00,SENSO/USDT,0.19,0.191098,0.17777,0.184,214216.1859,39252.1684157891
1660780800,2022-08-18 00:00:00,SENSO/USDT,0.203,0.207,0.19,0.19,160371.5393,31390.2317938852
1660694400,2022-08-17 00:00:00,SENSO/USDT,0.2053,0.21406,0.195001,0.202671,257344.3189,52175.0941563502
1660608000,2022-08-16 00:00:00,SENSO/USDT,0.203459,0.21,0.200172,0.205314,135620.0645,27909.5363953231
1660521600,2022-08-15 00:00:00,SENSO/USDT,0.209441,0.214,0.2,0.203083,126557.5915,26184.8542416477
1660435200,2022-08-14 00:00:00,SENSO/USDT,0.207,0.216478,0.202061,0.208291,261423.3569,54728.2270338881
1660348800,2022-08-13 00:00:00,SENSO/USDT,0.213241,0.217415,0.203255,0.208187,145391.4524,30525.7688967653
1660262400,2022-08-12 00:00:00,SENSO/USDT,0.205551,0.216499,0.203905,0.212999,127222.2365,26580.5586022494
1660176000,2022-08-11 00:00:00,SENSO/USDT,0.208039,0.214,0.200387,0.2068,184794.5425,38323.2049136884
1660089600,2022-08-10 00:00:00,SENSO/USDT,0.19299,0.21032,0.184122,0.208039,395441.0481,78728.6327704265
1660003200,2022-08-09 00:00:00,SENSO/USDT,0.202351,0.205248,0.185291,0.193,339470.322,66247.7625617303
1659916800,2022-08-08 00:00:00,SENSO/USDT,0.187,0.23,0.186895,0.202221,692687.69144475,141556.8215893031895
1659830400,2022-08-07 00:00:00,SENSO/USDT,0.188689,0.192012,0.1831,0.186181,139822.5024,26114.1808980617
1659744000,2022-08-06 00:00:00,SENSO/USDT,0.179997,0.2,0.178501,0.18869,225528.1641,42291.8929601383
1659657600,2022-08-05 00:00:00,SENSO/USDT,0.17455,0.183162,0.173,0.179,215062.1289,38246.8075782505
