https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume GMT
1663549200000,2022-09-19 01:00:00,GMT/USDT,0.099643,0.099696,0.098423,0.098423,966.9831558429963,9824.76815219
1663545600000,2022-09-19 00:00:00,GMT/USDT,0.099527,0.099734,0.098357,0.098824,3309.578910553327,33489.62712047
1663542000000,2022-09-18 23:00:00,GMT/USDT,0.09951,0.099734,0.09831,0.09951,2664.4852334410743,26776.05500393
1663538400000,2022-09-18 22:00:00,GMT/USDT,0.098985,0.099918,0.098179,0.099598,2023.256130264002,20314.22448507
1663534800000,2022-09-18 21:00:00,GMT/USDT,0.101607,0.101607,0.099093,0.099382,3120.78612351414,31401.92513246
1663531200000,2022-09-18 20:00:00,GMT/USDT,0.101651,0.101794,0.101019,0.101561,3144.9902178983025,30966.51488168
1663527600000,2022-09-18 19:00:00,GMT/USDT,0.101421,0.102225,0.100959,0.101719,3397.624481631129,33402.06334737
1663524000000,2022-09-18 18:00:00,GMT/USDT,0.101962,0.102315,0.10108,0.101155,3908.024369300061,38634.0207533
1663520400000,2022-09-18 17:00:00,GMT/USDT,0.102337,0.10404,0.1006,0.102656,2814.070178610089,27412.62253166
1663516800000,2022-09-18 16:00:00,GMT/USDT,0.104141,0.10473,0.102374,0.102723,3063.0170770851914,29818.22062328
1663513200000,2022-09-18 15:00:00,GMT/USDT,0.103833,0.105069,0.103833,0.104596,2829.6047180459423,27052.70486487
1663509600000,2022-09-18 14:00:00,GMT/USDT,0.105816,0.105816,0.104331,0.10465,3202.3574484445185,30600.64451452
1663506000000,2022-09-18 13:00:00,GMT/USDT,0.103929,0.1075,0.102802,0.105764,2443.5894492866446,23104.17012676
1663502400000,2022-09-18 12:00:00,GMT/USDT,0.104411,0.105031,0.103536,0.105031,3312.9100407041246,31542.21173467
1663498800000,2022-09-18 11:00:00,GMT/USDT,0.104608,0.104762,0.103479,0.104649,3042.3699595220387,29072.13599291
1663495200000,2022-09-18 10:00:00,GMT/USDT,0.104464,0.105194,0.103552,0.10397,3220.7199456318235,30977.39680323
1663491600000,2022-09-18 09:00:00,GMT/USDT,0.106468,0.106468,0.104576,0.104642,2773.239447330612,26502.16401952
1663488000000,2022-09-18 08:00:00,GMT/USDT,0.105187,0.106457,0.104922,0.106457,3192.72533963161,29990.75062825
1663484400000,2022-09-18 07:00:00,GMT/USDT,0.105628,0.105906,0.105167,0.105435,3479.9062145711637,33005.22800371
1663480800000,2022-09-18 06:00:00,GMT/USDT,0.105691,0.106484,0.105141,0.105372,3827.395035205616,36322.69516765
1663477200000,2022-09-18 05:00:00,GMT/USDT,0.105752,0.105886,0.105064,0.105689,3158.235397324704,29882.34723883
1663473600000,2022-09-18 04:00:00,GMT/USDT,0.105205,0.105913,0.10489,0.105544,3046.055472826058,28860.52710553
1663470000000,2022-09-18 03:00:00,GMT/USDT,0.10561,0.105864,0.105002,0.105209,3262.3780658777546,31008.54552251
1663466400000,2022-09-18 02:00:00,GMT/USDT,0.105268,0.105929,0.105086,0.105606,3611.7959673071696,34200.67010688
1663462800000,2022-09-18 01:00:00,GMT/USDT,0.105197,0.105918,0.104896,0.10529,3264.709158054342,31006.8302598
1663459200000,2022-09-18 00:00:00,GMT/USDT,0.106355,0.106488,0.105133,0.105743,3420.2341688415363,32344.78092017
1663455600000,2022-09-17 23:00:00,GMT/USDT,0.105391,0.106309,0.105166,0.105283,3557.295656241568,33787.93970766
1663452000000,2022-09-17 22:00:00,GMT/USDT,0.105364,0.105974,0.105154,0.105553,3469.055974746042,32865.53650532
1663448400000,2022-09-17 21:00:00,GMT/USDT,0.105439,0.105963,0.10515,0.105484,3439.0225690773964,32602.31474989
1663444800000,2022-09-17 20:00:00,GMT/USDT,0.106032,0.10613,0.105162,0.105737,3545.6993626062927,33533.19427075
1663441200000,2022-09-17 19:00:00,GMT/USDT,0.106223,0.106769,0.105013,0.10579,3081.6424901598016,29129.80896266
1663437600000,2022-09-17 18:00:00,GMT/USDT,0.105535,0.106626,0.105041,0.105813,3832.9276733462434,36223.59892779
1663434000000,2022-09-17 17:00:00,GMT/USDT,0.105357,0.106279,0.104818,0.105933,3542.848041237261,33444.23400864
1663430400000,2022-09-17 16:00:00,GMT/USDT,0.102898,0.105371,0.102898,0.105009,2934.1656928113384,27942.04013762
1663426800000,2022-09-17 15:00:00,GMT/USDT,0.103942,0.10429,0.102888,0.104135,3545.1422714157425,34043.71509498
1663423200000,2022-09-17 14:00:00,GMT/USDT,0.1031,0.104163,0.102819,0.104163,2749.5475580325797,26396.58571693
1663419600000,2022-09-17 13:00:00,GMT/USDT,0.103518,0.104426,0.10292,0.103477,2186.0563727844806,21126.01228084
1663416000000,2022-09-17 12:00:00,GMT/USDT,0.110718,0.110718,0.102801,0.103512,3474.874509134276,33569.77460714
