https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume NGN,tradecount
1612828800000,2021-02-09 00:00:00,ETH/NGN,807424.00000000,846000.00000000,791557.00000000,805670.00000000,329.75154000,269562921.27182000,2702
1612742400000,2021-02-08 00:00:00,ETH/NGN,756884.00000000,815000.00000000,734754.00000000,807240.00000000,808.64905000,632459558.29301000,7844
1612656000000,2021-02-07 00:00:00,ETH/NGN,755005.00000000,766778.00000000,709420.00000000,756935.00000000,629.21623000,466441082.69219000,6486
1612569600000,2021-02-06 00:00:00,ETH/NGN,811624.00000000,819786.00000000,740008.00000000,760990.00000000,798.69600000,616672665.34527000,10230
1612483200000,2021-02-05 00:00:00,ETH/NGN,768000.00000000,842107.00000000,766174.00000000,811624.00000000,2096.22760000,1697380621.80137000,15825
1612396800000,2021-02-04 00:00:00,ETH/NGN,794003.00000000,811000.00000000,750000.00000000,767344.00000000,2906.14936000,2294170605.17055000,15810
1612310400000,2021-02-03 00:00:00,ETH/NGN,728997.00000000,798000.00000000,721089.00000000,797997.00000000,2198.48434000,1673566139.48724000,15505
1612224000000,2021-02-02 00:00:00,ETH/NGN,666299.00000000,744866.00000000,657889.00000000,725252.00000000,3415.52045000,2385895940.74200000,16799
1612137600000,2021-02-01 00:00:00,ETH/NGN,636000.00000000,668000.00000000,617401.00000000,666299.00000000,1213.35523000,778592122.82925000,8454
1612051200000,2021-01-31 00:00:00,ETH/NGN,665233.00000000,667999.00000000,622924.00000000,638586.00000000,1183.32774000,763112064.21456000,6832
1611964800000,2021-01-30 00:00:00,ETH/NGN,669000.00000000,679000.00000000,643265.00000000,665233.00000000,1651.42165000,1086272827.92302000,7594
1611878400000,2021-01-29 00:00:00,ETH/NGN,642028.00000000,689984.00000000,621814.00000000,665993.00000000,3762.22172000,2484299375.52077000,15897
1611792000000,2021-01-28 00:00:00,ETH/NGN,607986.00000000,660000.00000000,597999.00000000,642009.00000000,1757.04985000,1126183319.14710000,9721
1611705600000,2021-01-27 00:00:00,ETH/NGN,665746.00000000,668104.00000000,597500.00000000,608869.00000000,1690.67918000,1054738785.45879000,12259
1611619200000,2021-01-26 00:00:00,ETH/NGN,642944.00000000,669967.00000000,609289.00000000,665746.00000000,1732.87668000,1118312578.80994000,10662
1611532800000,2021-01-25 00:00:00,ETH/NGN,676674.00000000,714999.00000000,626898.00000000,643118.00000000,2936.29470000,2000232296.07551000,16206
1611446400000,2021-01-24 00:00:00,ETH/NGN,594889.00000000,677989.00000000,592454.00000000,673549.00000000,1947.97361000,1252915571.26596000,10506
1611360000000,2021-01-23 00:00:00,ETH/NGN,595000.00000000,617250.00000000,581217.00000000,597412.00000000,914.63932000,551309460.00663000,5959
1611273600000,2021-01-22 00:00:00,ETH/NGN,541646.00000000,615880.00000000,507386.00000000,595001.00000000,1552.99972000,894103784.77275000,9895
1611187200000,2021-01-21 00:00:00,ETH/NGN,666828.00000000,674000.00000000,530000.00000000,543370.00000000,2481.01744000,1500923387.00231000,12741
1611100800000,2021-01-20 00:00:00,ETH/NGN,661782.00000000,679955.00000000,601170.00000000,668585.00000000,2084.57381000,1336794617.87675000,10569
1611014400000,2021-01-19 00:00:00,ETH/NGN,608500.00000000,693276.00000000,604719.00000000,661782.00000000,3273.16044000,2173896764.76771000,18326
1610928000000,2021-01-18 00:00:00,ETH/NGN,597070.00000000,608567.00000000,575000.00000000,607000.00000000,1147.64863000,681746046.02749000,6955
1610841600000,2021-01-17 00:00:00,ETH/NGN,596061.00000000,613000.00000000,566016.00000000,594923.00000000,1127.09708000,669052435.21093000,7016
1610755200000,2021-01-16 00:00:00,ETH/NGN,569627.00000000,624437.00000000,555609.00000000,596061.00000000,1557.17917000,925275935.66829000,8600
1610668800000,2021-01-15 00:00:00,ETH/NGN,598540.00000000,607665.00000000,521180.00000000,566314.00000000,1854.44466000,1071770096.14714000,11035
1610582400000,2021-01-14 00:00:00,ETH/NGN,547999.00000000,605000.00000000,526629.00000000,596856.00000000,2027.36227000,1168235595.28693000,10910
1610496000000,2021-01-13 00:00:00,ETH/NGN,510496.00000000,549000.00000000,480142.00000000,543205.00000000,1305.96970000,680577761.10565000,7907
1610409600000,2021-01-12 00:00:00,ETH/NGN,527198.00000000,556000.00000000,488330.00000000,510401.00000000,1556.08124000,822700114.69698000,9674
1610323200000,2021-01-11 00:00:00,ETH/NGN,605250.00000000,605250.00000000,442027.00000000,529423.00000000,3012.25487000,1537184509.13953000,22063
1610236800000,2021-01-10 00:00:00,ETH/NGN,617500.00000000,650000.00000000,560036.00000000,608486.00000000,2074.45730000,1288458652.64527000,14984
