https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AUSD,Volume USDT
1663462800,2022-09-18 01:00:00,AUSD/USDT,0.7162,0.7162,0.7159,0.7159,131.4144,94.11652372
1663459200,2022-09-18 00:00:00,AUSD/USDT,0.7176,0.7176,0.7162,0.7162,42.518,30.48099396
1663455600,2022-09-17 23:00:00,AUSD/USDT,0.7207,0.7289,0.7176,0.7176,2051.9243,1493.50571144
1663452000,2022-09-17 22:00:00,AUSD/USDT,0.7155,0.7155,0.7155,0.7155,0,0
1663448400,2022-09-17 21:00:00,AUSD/USDT,0.7216,0.7216,0.7155,0.7155,183.4833,131.87940143
1663444800,2022-09-17 20:00:00,AUSD/USDT,0.7217,0.7217,0.7217,0.7217,0,0
1663441200,2022-09-17 19:00:00,AUSD/USDT,0.722,0.722,0.7217,0.7217,91.4055,65.968581
1663437600,2022-09-17 18:00:00,AUSD/USDT,0.7232,0.729,0.722,0.722,23.4678,16.94790016
1663434000,2022-09-17 17:00:00,AUSD/USDT,0.7256,0.7292,0.7256,0.7292,510.5016,372.03777466
1663430400,2022-09-17 16:00:00,AUSD/USDT,0.7214,0.7214,0.7214,0.7214,2,1.4428
1663426800,2022-09-17 15:00:00,AUSD/USDT,0.7231,0.726,0.7231,0.726,46.3087,33.54933866
1663423200,2022-09-17 14:00:00,AUSD/USDT,0.7208,0.723,0.7151,0.723,168.3715,120.79347639
1663419600,2022-09-17 13:00:00,AUSD/USDT,0.715,0.7208,0.715,0.7208,4.3615,3.1424723
1663416000,2022-09-17 12:00:00,AUSD/USDT,0.7252,0.7336,0.715,0.715,4496.7757,3252.4831965
1663412400,2022-09-17 11:00:00,AUSD/USDT,0.7151,0.7393,0.7151,0.7252,2192.8911,1604.12859316
1663408800,2022-09-17 10:00:00,AUSD/USDT,0.74,0.74,0.7001,0.7167,8730.8521,6236.76608748
1663405200,2022-09-17 09:00:00,AUSD/USDT,0.7551,0.7551,0.74,0.74,313.153,233.03241857
1663401600,2022-09-17 08:00:00,AUSD/USDT,0.7316,0.7551,0.7315,0.7551,905.5279,677.4554284
1663398000,2022-09-17 07:00:00,AUSD/USDT,0.7348,0.7348,0.7316,0.7316,6.179,4.5237833
1663394400,2022-09-17 06:00:00,AUSD/USDT,0.734,0.7412,0.734,0.7348,5.9714,4.40579612
1663390800,2022-09-17 05:00:00,AUSD/USDT,0.7358,0.7422,0.734,0.734,234.0405,172.75189315
1663387200,2022-09-17 04:00:00,AUSD/USDT,0.7356,0.7441,0.7293,0.73,1527.1505,1125.22449071
1663383600,2022-09-17 03:00:00,AUSD/USDT,0.7355,0.7356,0.7355,0.7356,106.9618,78.67194315
1663380000,2022-09-17 02:00:00,AUSD/USDT,0.7355,0.7355,0.7355,0.7355,13.9299,10.24544145
1663376400,2022-09-17 01:00:00,AUSD/USDT,0.7348,0.7355,0.7348,0.7355,20.282,14.91634105
1663372800,2022-09-17 00:00:00,AUSD/USDT,0.7346,0.7348,0.7346,0.7348,1.3588,0.99838964
1663369200,2022-09-16 23:00:00,AUSD/USDT,0.7293,0.7293,0.728,0.728,43.0764,31.382597
1663365600,2022-09-16 22:00:00,AUSD/USDT,0.7293,0.7293,0.7293,0.7293,0,0
1663362000,2022-09-16 21:00:00,AUSD/USDT,0.7315,0.7357,0.7293,0.7293,369.4722,271.56314875
1663358400,2022-09-16 20:00:00,AUSD/USDT,0.7315,0.7315,0.7315,0.7315,1.3648,0.9983512
1663354800,2022-09-16 19:00:00,AUSD/USDT,0.7293,0.7315,0.7293,0.7315,164.4034,119.99995682
1663351200,2022-09-16 18:00:00,AUSD/USDT,0.7293,0.7293,0.7293,0.7293,4.2288,3.08406384
1663347600,2022-09-16 17:00:00,AUSD/USDT,0.7292,0.7293,0.7292,0.7293,9.2394,6.73821789
1663344000,2022-09-16 16:00:00,AUSD/USDT,0.7141,0.729,0.7015,0.729,1491.1475,1068.78665574
1663340400,2022-09-16 15:00:00,AUSD/USDT,0.7167,0.7167,0.7142,0.7142,197.2878,140.9654823
1663336800,2022-09-16 14:00:00,AUSD/USDT,0.7197,0.7232,0.7167,0.7232,1793.3817,1286.91602078
1663333200,2022-09-16 13:00:00,AUSD/USDT,0.7176,0.7252,0.7176,0.7252,194.596,140.4525185
1663329600,2022-09-16 12:00:00,AUSD/USDT,0.7212,0.7216,0.7212,0.7216,94.3835,68.0699336
1663326000,2022-09-16 11:00:00,AUSD/USDT,0.721,0.721,0.721,0.721,0,0
1663322400,2022-09-16 10:00:00,AUSD/USDT,0.7207,0.721,0.7207,0.721,146.0163,105.24127974
1663318800,2022-09-16 09:00:00,AUSD/USDT,0.7435,0.7435,0.714,0.714,2013.0428,1458.89512058
1663315200,2022-09-16 08:00:00,AUSD/USDT,0.7436,0.7436,0.7435,0.7435,2,1.48716431
