https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DAI
1663459200,2022-09-18 00:00:00,BTC/DAI,20095,20095,20033.6,20049.8,1.1563204,23236.222632984
1663455600,2022-09-17 23:00:00,BTC/DAI,20125.8,20125.8,20125.8,20125.8,0.00001411,0.283975038
1663452000,2022-09-17 22:00:00,BTC/DAI,20017.2,20179.2,20017.2,20179.2,0.11661818,2352.346358524
1663448400,2022-09-17 21:00:00,BTC/DAI,20013.2,20013.2,19975.3,19975.3,0.1718,3434.034901923
1663444800,2022-09-17 20:00:00,BTC/DAI,20064.5,20064.5,20064.5,20064.5,0,0
1663441200,2022-09-17 19:00:00,BTC/DAI,20050.6,20064.5,20050.6,20064.5,0.00005744,1.15192525
1663437600,2022-09-17 18:00:00,BTC/DAI,20125.9,20125.9,20003.1,20076,0.29823511,5971.479097894
1663434000,2022-09-17 17:00:00,BTC/DAI,20142,20153.7,20104.2,20104.2,0.47605897,9581.286150328
1663430400,2022-09-17 16:00:00,BTC/DAI,20041,20204.2,20041,20127.9,0.02603006,525.11057002
1663426800,2022-09-17 15:00:00,BTC/DAI,19951.9,19951.9,19951.9,19951.9,0.00001085,0.216478115
1663423200,2022-09-17 14:00:00,BTC/DAI,19943,19966.6,19914.4,19966.6,0.04828319,963.065929804
1663419600,2022-09-17 13:00:00,BTC/DAI,19846.7,19882.5,19846.7,19882.5,0.00012718,2.527683306
1663416000,2022-09-17 12:00:00,BTC/DAI,19819.7,19868.7,19800,19868.7,1.31741423,26086.615852287
1663412400,2022-09-17 11:00:00,BTC/DAI,19912.9,19912.9,19887.5,19902.6,0.00007045,1.401613951
1663408800,2022-09-17 10:00:00,BTC/DAI,19899.3,19907.2,19852.2,19907.2,0.00046547,9.260741789
1663405200,2022-09-17 09:00:00,BTC/DAI,19919.3,19919.3,19876.7,19876.7,0.00008344,1.659586556
1663401600,2022-09-17 08:00:00,BTC/DAI,19866.6,19884.8,19866.6,19884.8,0.00026128,5.19258519
1663398000,2022-09-17 07:00:00,BTC/DAI,19846,19846,19846,19846,0,0
1663394400,2022-09-17 06:00:00,BTC/DAI,19902.7,19902.7,19846,19846,0.0013775,27.381732937
1663390800,2022-09-17 05:00:00,BTC/DAI,19906.7,19906.9,19859,19859,0.10062494,2002.954695448
1663387200,2022-09-17 04:00:00,BTC/DAI,19888.7,19956.6,19888.7,19944.1,0.00509666,101.638369861
1663383600,2022-09-17 03:00:00,BTC/DAI,19893.5,19896.2,19892.9,19896.2,0.00005362,1.066710869
