https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC
1663545600000.0,2022-09-19 00:00:00,LTC/BTC,0.00271075,0.0027375,0.00271075,0.00273675,20.15525623458482,0.0551598975
1663542000000.0,2022-09-18 23:00:00,LTC/BTC,0.00274575,0.00274875,0.00269375,0.00271075,108.50297058009777,0.2941244275
1663538400000.0,2022-09-18 22:00:00,LTC/BTC,0.0027645,0.00276875,0.0027365,0.00274575,32.094157334061734,0.0881225325
1663534800000.0,2022-09-18 21:00:00,LTC/BTC,0.00284975,0.00284975,0.002693,0.0027645,614.0485485621269,1.6975372125
1663531200000.0,2022-09-18 20:00:00,LTC/BTC,0.0028645,0.0028645,0.0028465,0.00284975,69.62411176418985,0.1984113125
1663527600000.0,2022-09-18 19:00:00,LTC/BTC,0.0028485,0.00286825,0.0028465,0.0028645,24.863436899982545,0.071221315
1663524000000.0,2022-09-18 18:00:00,LTC/BTC,0.002842,0.0028525,0.002842,0.0028485,33.832515358960855,0.09637192
1663520400000.0,2022-09-18 17:00:00,LTC/BTC,0.00283725,0.0028435,0.00282625,0.002842,28.62610397607319,0.0813553875
1663516800000.0,2022-09-18 16:00:00,LTC/BTC,0.002852,0.0028525,0.00283025,0.00283725,112.7249740065204,0.3198289325
1663513200000.0,2022-09-18 15:00:00,LTC/BTC,0.0028445,0.002853,0.0028445,0.002852,12.679271563814869,0.0361612825
1663509600000.0,2022-09-18 14:00:00,LTC/BTC,0.00285575,0.0028575,0.002838,0.0028445,11.109526278783619,0.0316010475
1663506000000.0,2022-09-18 13:00:00,LTC/BTC,0.00284725,0.0028575,0.0028455,0.00285575,123.01300271382298,0.3512943825
1663502400000.0,2022-09-18 12:00:00,LTC/BTC,0.0028375,0.00284875,0.002832,0.00284725,16.035923259285276,0.0456582825
1663498800000.0,2022-09-18 11:00:00,LTC/BTC,0.00282925,0.00284275,0.00282925,0.0028375,14.61922731277533,0.0414820575
1663495200000.0,2022-09-18 10:00:00,LTC/BTC,0.0028305,0.0028345,0.00282925,0.00282925,31.686540602633205,0.089649145
1663491600000.0,2022-09-18 09:00:00,LTC/BTC,0.002853,0.00286125,0.00283025,0.0028305,14.22304098215863,0.0402583175
1663488000000.0,2022-09-18 08:00:00,LTC/BTC,0.00284825,0.00285375,0.00284725,0.002853,10.52,0.03001356
1663484400000.0,2022-09-18 07:00:00,LTC/BTC,0.00283275,0.00285275,0.00283275,0.00284825,24.19631879224085,0.068917165
1663480800000.0,2022-09-18 06:00:00,LTC/BTC,0.002862,0.002862,0.00283125,0.00283275,84.5540058247286,0.23952036
1663477200000.0,2022-09-18 05:00:00,LTC/BTC,0.0028605,0.00286675,0.0028605,0.002862,6.172147973445144,0.0176646875
1663473600000.0,2022-09-18 04:00:00,LTC/BTC,0.00286225,0.002871,0.00285825,0.0028605,0.4107341373885684,0.001174905
1663470000000.0,2022-09-18 03:00:00,LTC/BTC,0.00285925,0.002866,0.00285825,0.00286225,0.0,0.0
