https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND3S,Volume USDT
1663462800,2022-09-18 01:00:00,SAND3S/USDT,0.014963,0.014963,0.014903,0.014903,24037.1236,358.2653519229
1663459200,2022-09-18 00:00:00,SAND3S/USDT,0.01446,0.014957,0.01446,0.014838,126838.3128,1879.0028254967
1663455600,2022-09-17 23:00:00,SAND3S/USDT,0.01479,0.01479,0.014161,0.01432,424462.8465,6122.9532933418
1663452000,2022-09-17 22:00:00,SAND3S/USDT,0.014778,0.014832,0.014678,0.014678,23653.6348,350.7312017462
1663448400,2022-09-17 21:00:00,SAND3S/USDT,0.015036,0.015036,0.014636,0.014916,246188.6603,3633.373149774
1663444800,2022-09-17 20:00:00,SAND3S/USDT,0.015303,0.015303,0.015036,0.015036,5847.6721,88.5642675921
1663441200,2022-09-17 19:00:00,SAND3S/USDT,0.015304,0.015449,0.015303,0.015303,6444.9064,98.909502214
1663437600,2022-09-17 18:00:00,SAND3S/USDT,0.015268,0.015305,0.015207,0.015305,19507.1418,297.6330170171
1663434000,2022-09-17 17:00:00,SAND3S/USDT,0.015024,0.015226,0.015024,0.015226,365704.0546,5501.7724954196
1663430400,2022-09-17 16:00:00,SAND3S/USDT,0.015091,0.015184,0.014715,0.015045,769336.0405,11396.7854936035
1663426800,2022-09-17 15:00:00,SAND3S/USDT,0.015013,0.015226,0.015013,0.015136,319950.817,4867.1903749504
1663423200,2022-09-17 14:00:00,SAND3S/USDT,0.015614,0.015614,0.014861,0.015013,445821.7427,6842.1014473855
1663419600,2022-09-17 13:00:00,SAND3S/USDT,0.016103,0.016103,0.015376,0.015657,32696.2147,513.1306757709
1663416000,2022-09-17 12:00:00,SAND3S/USDT,0.016295,0.016323,0.016025,0.016042,10553.8515,170.7129529892
1663412400,2022-09-17 11:00:00,SAND3S/USDT,0.016418,0.016418,0.016311,0.016387,3797.3727,62.085403345
1663408800,2022-09-17 10:00:00,SAND3S/USDT,0.01619,0.016531,0.016161,0.016461,23846.6499,388.3012425008
1663405200,2022-09-17 09:00:00,SAND3S/USDT,0.016218,0.016327,0.01621,0.016327,15748.8009,255.4177123566
1663401600,2022-09-17 08:00:00,SAND3S/USDT,0.016182,0.016239,0.016139,0.016231,1752.3983,28.4484230177
1663398000,2022-09-17 07:00:00,SAND3S/USDT,0.016293,0.016293,0.016293,0.016293,576.9882,9.4008687426
1663394400,2022-09-17 06:00:00,SAND3S/USDT,0.016295,0.016295,0.016208,0.01623,62290.0715,1009.6948971473
1663390800,2022-09-17 05:00:00,SAND3S/USDT,0.0161,0.016491,0.0161,0.016409,10321.4455,169.1504777903
1663387200,2022-09-17 04:00:00,SAND3S/USDT,0.015946,0.016082,0.015946,0.016082,2291.163,36.6458366416
1663383600,2022-09-17 03:00:00,SAND3S/USDT,0.015967,0.015967,0.015967,0.015967,255.1744,4.0743696448
1663380000,2022-09-17 02:00:00,SAND3S/USDT,0.015859,0.01609,0.015736,0.01609,78560.6906,1249.3089785627
1663376400,2022-09-17 01:00:00,SAND3S/USDT,0.015846,0.01605,0.015788,0.015846,183572.7937,2918.8982654426
1663372800,2022-09-17 00:00:00,SAND3S/USDT,0.016297,0.016297,0.015627,0.016052,223045.5932,3560.1161373293
1663369200,2022-09-16 23:00:00,SAND3S/USDT,0.016441,0.016441,0.016441,0.016441,0,0
1663365600,2022-09-16 22:00:00,SAND3S/USDT,0.016317,0.016441,0.016245,0.016441,3171.5704,51.5802196188
1663362000,2022-09-16 21:00:00,SAND3S/USDT,0.016259,0.016441,0.0162,0.016441,36282.9892,589.6145018724
1663358400,2022-09-16 20:00:00,SAND3S/USDT,0.016773,0.016773,0.016259,0.016259,113011.7504,1869.5733006801
1663354800,2022-09-16 19:00:00,SAND3S/USDT,0.016881,0.016881,0.0165,0.016672,138089.9231,2330.0371754311
1663351200,2022-09-16 18:00:00,SAND3S/USDT,0.017159,0.017527,0.016717,0.016907,10678.3773,183.8264631401
1663347600,2022-09-16 17:00:00,SAND3S/USDT,0.017249,0.01771,0.016992,0.017277,22210.6079,385.0776857422
1663344000,2022-09-16 16:00:00,SAND3S/USDT,0.016907,0.017792,0.016907,0.017111,611410.3984,10520.4884408502
1663340400,2022-09-16 15:00:00,SAND3S/USDT,0.016864,0.017078,0.01664,0.016744,35409.088,593.173322203
1663336800,2022-09-16 14:00:00,SAND3S/USDT,0.017473,0.017499,0.016501,0.016789,91429.9002,1548.8202050052
1663333200,2022-09-16 13:00:00,SAND3S/USDT,0.016909,0.017666,0.016909,0.017508,194626.3752,3333.980236903
1663329600,2022-09-16 12:00:00,SAND3S/USDT,0.016668,0.016909,0.016655,0.016909,100825.1067,1691.7877743533
1663326000,2022-09-16 11:00:00,SAND3S/USDT,0.01705,0.017182,0.016551,0.016668,170894.714,2884.0917343239
1663322400,2022-09-16 10:00:00,SAND3S/USDT,0.017487,0.017487,0.01705,0.017154,95515.3411,1657.8039443396
1663318800,2022-09-16 09:00:00,SAND3S/USDT,0.017804,0.017812,0.01749,0.01749,88680.4582,1563.5866661227
1663315200,2022-09-16 08:00:00,SAND3S/USDT,0.017308,0.017811,0.017308,0.017807,130871.1102,2295.6474732942
1663311600,2022-09-16 07:00:00,SAND3S/USDT,0.017335,0.0174,0.017197,0.0174,51447.6573,892.7623487343
1663308000,2022-09-16 06:00:00,SAND3S/USDT,0.01732,0.017333,0.017192,0.017333,36896.0436,634.8389436109
1663304400,2022-09-16 05:00:00,SAND3S/USDT,0.017383,0.017383,0.017111,0.0173,49088.0898,845.139244067
1663300800,2022-09-16 04:00:00,SAND3S/USDT,0.017595,0.017704,0.017232,0.0173,313179.8539,5407.9269753364
1663297200,2022-09-16 03:00:00,SAND3S/USDT,0.017718,0.017869,0.017628,0.017725,51387.9846,906.1249898815
1663293600,2022-09-16 02:00:00,SAND3S/USDT,0.017419,0.017929,0.017322,0.017877,122143.5906,2164.1577208778
1663290000,2022-09-16 01:00:00,SAND3S/USDT,0.017508,0.01763,0.017239,0.017518,423209.9443,7356.9645615362
1663286400,2022-09-16 00:00:00,SAND3S/USDT,0.01749,0.018307,0.017352,0.017352,333014.5488,5986.9809781863
