https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAHA,Volume USDT
1663459200,2022-09-18 00:00:00,MAHA/USDT,1.0556,1.0626,1.0467,1.0558,11772.9776,12437.70300439
1663372800,2022-09-17 00:00:00,MAHA/USDT,0.993,1.0612,0.9888,1.0606,138709.8223,142718.00400584
1663286400,2022-09-16 00:00:00,MAHA/USDT,1.0444,1.1297,0.9873,0.9971,146933.9081,150582.97767217
1663200000,2022-09-15 00:00:00,MAHA/USDT,0.9995,1.239,0.9544,1.05,134158.1149,141052.64185955
1663113600,2022-09-14 00:00:00,MAHA/USDT,0.987,1.0213,0.9336,0.9965,167159.4862,161697.26181086
1663027200,2022-09-13 00:00:00,MAHA/USDT,1.0745,1.1074,0.9775,0.987,147559.3979,149523.53407205
1662940800,2022-09-12 00:00:00,MAHA/USDT,1.023,1.0973,0.9841,1.0808,137393.7083,144171.19180109
1662854400,2022-09-11 00:00:00,MAHA/USDT,0.9973,1.0352,0.9717,1.0263,140424.8445,140478.32192241
1662768000,2022-09-10 00:00:00,MAHA/USDT,1.0039,1.0294,0.987,0.9984,150252.0605,150424.47701344
1662681600,2022-09-09 00:00:00,MAHA/USDT,0.965,1.1053,0.9525,1.0093,144712.0825,145905.78302015
1662595200,2022-09-08 00:00:00,MAHA/USDT,0.9605,1.0003,0.9177,0.9665,149281.1288,144693.40168873
1662508800,2022-09-07 00:00:00,MAHA/USDT,0.9646,0.9993,0.9163,0.9601,157477.4427,149327.04018801
1662422400,2022-09-06 00:00:00,MAHA/USDT,1.0608,1.083,0.9448,0.97,120069.0547,122675.31510575
1662336000,2022-09-05 00:00:00,MAHA/USDT,1.1203,1.1362,1.0521,1.0677,142176.6142,151952.63771672
1662249600,2022-09-04 00:00:00,MAHA/USDT,1.1169,1.1362,1.1025,1.1179,1338.261,1491.7610803
1662163200,2022-09-03 00:00:00,MAHA/USDT,1.1193,1.1555,1.0998,1.117,8556.9285,9619.05371877
1662076800,2022-09-02 00:00:00,MAHA/USDT,1.1307,1.1401,1.1139,1.1202,4165.7609,4664.3939461
1661990400,2022-09-01 00:00:00,MAHA/USDT,1.1999,1.2007,1.1138,1.1306,9535.8766,11007.24480087
1661904000,2022-08-31 00:00:00,MAHA/USDT,1.1757,1.295,1.1447,1.2052,51463.6851,62009.57406613
1661817600,2022-08-30 00:00:00,MAHA/USDT,1.1504,1.29,1.1473,1.1757,31929.2275,37723.35322026
1661731200,2022-08-29 00:00:00,MAHA/USDT,1.1052,1.2111,1.1033,1.1487,21197.2693,24178.82623317
1661644800,2022-08-28 00:00:00,MAHA/USDT,1.1789,1.1811,1.0915,1.1051,6953.9053,7867.55135146
1661558400,2022-08-27 00:00:00,MAHA/USDT,1.0664,1.1974,1.0663,1.1698,8708.5227,9925.21391368
1661472000,2022-08-26 00:00:00,MAHA/USDT,1.1749,1.2128,1.065,1.0768,15280.8733,17356.38498945
1661385600,2022-08-25 00:00:00,MAHA/USDT,1.2161,1.297,1.1664,1.1749,11383.003,13917.79792261
1661299200,2022-08-24 00:00:00,MAHA/USDT,1.205,1.316,1.1921,1.2026,37621.719,46664.80343989
1661212800,2022-08-23 00:00:00,MAHA/USDT,1.143,1.2501,1.0836,1.2004,22774.1963,26423.48996866
1661126400,2022-08-22 00:00:00,MAHA/USDT,1.0862,1.35,1.045,1.1425,43282.8276,50563.46201705
1661040000,2022-08-21 00:00:00,MAHA/USDT,1.1252,1.1538,1.0715,1.0767,19942.1452,21998.69728578
1660953600,2022-08-20 00:00:00,MAHA/USDT,1.0388,1.1386,1.035,1.1254,13408.9464,14288.30609291
1660867200,2022-08-19 00:00:00,MAHA/USDT,1.0908,1.1009,1.0279,1.0335,99693.1504,104077.06865169
1660780800,2022-08-18 00:00:00,MAHA/USDT,1.1062,1.1523,1.0863,1.0922,16751.3464,18675.24191302
1660694400,2022-08-17 00:00:00,MAHA/USDT,1.2244,1.2294,1.1062,1.1062,23687.0181,27509.22761624
1660608000,2022-08-16 00:00:00,MAHA/USDT,1.2172,1.259,1.1801,1.2118,19769.0384,24108.22235768
1660521600,2022-08-15 00:00:00,MAHA/USDT,1.3756,1.3965,1.202,1.2172,21531.1365,27573.8389517
1660435200,2022-08-14 00:00:00,MAHA/USDT,1.375,1.4185,1.3095,1.3803,17892.3147,24312.9823171
1660348800,2022-08-13 00:00:00,MAHA/USDT,1.3712,1.4833,1.321,1.368,34458.5797,47549.05176094
1660262400,2022-08-12 00:00:00,MAHA/USDT,1.2678,1.4505,1.2304,1.3712,26699.5997,35044.63545523
1660176000,2022-08-11 00:00:00,MAHA/USDT,1.2766,1.3507,1.2602,1.2742,31264.4599,40802.67483831
1660089600,2022-08-10 00:00:00,MAHA/USDT,1.2833,1.3496,1.247,1.2767,20089.3484,25895.79021497
1660003200,2022-08-09 00:00:00,MAHA/USDT,1.378,1.4185,1.27,1.2787,84009.834,109872.32670824
1659916800,2022-08-08 00:00:00,MAHA/USDT,1.3759,1.4889,1.35,1.378,150432.7033,212381.61725234
1659830400,2022-08-07 00:00:00,MAHA/USDT,1.3214,1.5401,1.25,1.3759,213463.05379562,287695.622751448648
1659744000,2022-08-06 00:00:00,MAHA/USDT,1.2238,1.3318,1.2158,1.3115,153260.0537,192913.87137186
1659657600,2022-08-05 00:00:00,MAHA/USDT,1.145,1.26,1.1395,1.2337,168609.8964,199248.37373809
1659571200,2022-08-04 00:00:00,MAHA/USDT,1.1757,1.212,1.1335,1.1494,169223.2396,199105.87431364
1659484800,2022-08-03 00:00:00,MAHA/USDT,1.1375,1.1985,1.1184,1.1763,115199.2067,132286.54287495
1659398400,2022-08-02 00:00:00,MAHA/USDT,1.2191,1.31,1.1212,1.1432,169485.153,204845.35201792
1659312000,2022-08-01 00:00:00,MAHA/USDT,1.1795,1.2483,1.1187,1.2191,157587.3521,186360.86677479
1659225600,2022-07-31 00:00:00,MAHA/USDT,1.1365,1.2672,1.1185,1.1899,139270.9794,163665.06121084
1659139200,2022-07-30 00:00:00,MAHA/USDT,1.1773,1.2083,1.1236,1.1313,166458.63669736,194365.379675705712
1659052800,2022-07-29 00:00:00,MAHA/USDT,1.2044,1.2356,1.11,1.1833,166793.1873,196189.00964331
1658966400,2022-07-28 00:00:00,MAHA/USDT,1.0791,1.32,1.0791,1.2083,137840.0038,162008.19799005
1658880000,2022-07-27 00:00:00,MAHA/USDT,1.0322,1.1286,1.0322,1.0791,25968.9232,27818.73647401
1658793600,2022-07-26 00:00:00,MAHA/USDT,1.0682,1.0772,1.0201,1.0322,226372.80355563,237844.259899215334
1658707200,2022-07-25 00:00:00,MAHA/USDT,1.1516,1.1543,1.067,1.0678,218215.5449,238386.01706576
1658620800,2022-07-24 00:00:00,MAHA/USDT,1.1345,1.162,1.121,1.1516,162877.4991,188042.08687663
1658534400,2022-07-23 00:00:00,MAHA/USDT,1.1463,1.1526,1.075,1.1272,43859.6184,48964.33124645
1658448000,2022-07-22 00:00:00,MAHA/USDT,1.1244,1.4179,1.1244,1.1528,370561.85907472,453246.533701653392
1658361600,2022-07-21 00:00:00,MAHA/USDT,1.1115,1.1394,1.0782,1.1272,50495.2556,55499.32996781
1658275200,2022-07-20 00:00:00,MAHA/USDT,1.1864,1.2111,1.108,1.118,136628.57053343,155521.281775994075
1658188800,2022-07-19 00:00:00,MAHA/USDT,1.0513,1.361,1.0339,1.1864,320733.69388381,357997.051420180475
1658102400,2022-07-18 00:00:00,MAHA/USDT,1.0462,1.1544,1.03,1.0518,355730.06144466,382512.531784842149
1658016000,2022-07-17 00:00:00,MAHA/USDT,1.0858,1.1297,1.0311,1.0456,496945.93963626,534158.456930135961
1657929600,2022-07-16 00:00:00,MAHA/USDT,1.0788,1.1305,1.0411,1.0871,568685.53514558,616818.895324778919
1657843200,2022-07-15 00:00:00,MAHA/USDT,1.0628,1.3217,1.0433,1.0769,631725.20703345,707172.363169591938
1657756800,2022-07-14 00:00:00,MAHA/USDT,1.0193,1.0802,1.0004,1.0628,537669.56330072,558343.964134715532
1657670400,2022-07-13 00:00:00,MAHA/USDT,1.0965,1.1233,0.9948,1.0187,602801.91060224,641945.490218303743
1657584000,2022-07-12 00:00:00,MAHA/USDT,1.3074,1.3283,1.0589,1.0974,633772.20025422,777461.725759977249
1657497600,2022-07-11 00:00:00,MAHA/USDT,1.2984,1.6868,1.1934,1.3044,903022.32500705,1222900.762886557162
1657411200,2022-07-10 00:00:00,MAHA/USDT,0.9865,1.8,0.9551,1.3026,951156.07314951,1109587.096204334509
1657324800,2022-07-09 00:00:00,MAHA/USDT,0.856,1.0334,0.8455,0.9908,556447.65588735,490123.063118463895
1657238400,2022-07-08 00:00:00,MAHA/USDT,0.9,0.9949,0.8494,0.8565,318642.23196331,276681.319267026554
1657152000,2022-07-07 00:00:00,MAHA/USDT,0.8311,0.9198,0.797,0.9,70472.66414859,60026.598842273353
1657065600,2022-07-06 00:00:00,MAHA/USDT,0.8474,0.8903,0.776,0.8323,53651.42476516,44268.456793544281
1656979200,2022-07-05 00:00:00,MAHA/USDT,0.8864,0.916,0.8066,0.8479,51503.46610461,44085.450203643439
1656892800,2022-07-04 00:00:00,MAHA/USDT,0.9097,0.9155,0.8198,0.8979,96983.08835056,85457.301190997937
1656806400,2022-07-03 00:00:00,MAHA/USDT,0.8918,0.9118,0.87,0.9,9295.60519373,8287.052695998772
1656720000,2022-07-02 00:00:00,MAHA/USDT,0.9225,0.934,0.88,0.8917,20397.53837366,18315.510545327802
1656633600,2022-07-01 00:00:00,MAHA/USDT,0.8801,1.15,0.8508,0.9224,75814.87782573,72212.039703739451
1656547200,2022-06-30 00:00:00,MAHA/USDT,0.9154,0.9324,0.85,0.8871,16032.89344807,14101.003775212455
1656460800,2022-06-29 00:00:00,MAHA/USDT,0.882,0.95,0.8127,0.9154,43668.36239988,38308.147768713069
1656374400,2022-06-28 00:00:00,MAHA/USDT,0.9281,0.9449,0.8669,0.8815,13990.18706267,12746.377153286432
1656288000,2022-06-27 00:00:00,MAHA/USDT,0.95,0.9659,0.8586,0.9281,28275.58197545,26042.062272625484
1656201600,2022-06-26 00:00:00,MAHA/USDT,0.9802,1.0021,0.95,0.95,7391.91770903,7172.125043395663
1656115200,2022-06-25 00:00:00,MAHA/USDT,1.0138,1.0382,0.9665,0.9882,7286.91565445,7247.823279374196
1656028800,2022-06-24 00:00:00,MAHA/USDT,0.9894,1.0402,0.9397,1.0144,21448.79205633,21271.537656673444
1655942400,2022-06-23 00:00:00,MAHA/USDT,0.9998,1.05,0.9056,0.9898,23978.84202437,23227.679738842287
1655856000,2022-06-22 00:00:00,MAHA/USDT,1.0701,1.0801,0.99,0.9998,21043.81396281,21863.330929603518
1655769600,2022-06-21 00:00:00,MAHA/USDT,1.0306,1.1407,0.9897,1.0554,42208.0756684,44901.102088919642
1655683200,2022-06-20 00:00:00,MAHA/USDT,0.967,1.1,0.9619,1.0477,27085.16796643,27866.161896369927
1655596800,2022-06-19 00:00:00,MAHA/USDT,0.9348,1.025,0.9265,0.9825,14148.66472269,13832.99290698092
1655510400,2022-06-18 00:00:00,MAHA/USDT,1.0102,1.0258,0.9001,0.9348,191056.26385517,184379.594157217352
1655424000,2022-06-17 00:00:00,MAHA/USDT,0.945,1.0775,0.9449,1.0151,207395.87645566,207210.146369935769
1655337600,2022-06-16 00:00:00,MAHA/USDT,1.089,1.1009,0.9404,0.951,149185.41868593,149956.568965666678
1655251200,2022-06-15 00:00:00,MAHA/USDT,1.0917,1.1,0.9771,1.0998,193553.25003584,199582.710790107254
1655164800,2022-06-14 00:00:00,MAHA/USDT,1.0892,1.1629,1,1.0904,285464.8703921,311402.405075673482
1655078400,2022-06-13 00:00:00,MAHA/USDT,1.2801,1.2878,1.0657,1.0891,186547.93714685,214778.63469844477
1654992000,2022-06-12 00:00:00,MAHA/USDT,1.3608,1.3637,1.28,1.2814,447656.36728766,581649.982685185704
1654905600,2022-06-11 00:00:00,MAHA/USDT,1.4415,1.4539,1.3517,1.3631,454490.14140258,637679.410163104263
1654819200,2022-06-10 00:00:00,MAHA/USDT,1.4549,1.4998,1.4414,1.4433,452294.69243016,657777.828531651151
1654732800,2022-06-09 00:00:00,MAHA/USDT,1.504,1.5337,1.4508,1.4574,483348.37127221,724570.7033468842
1654646400,2022-06-08 00:00:00,MAHA/USDT,1.6205,1.6238,1.4585,1.5113,495477.24598141,766335.331818586526
1654560000,2022-06-07 00:00:00,MAHA/USDT,1.5305,1.68,1.5075,1.6198,511098.7174344,797960.663230386915
1654473600,2022-06-06 00:00:00,MAHA/USDT,1.545,1.85,1.4629,1.5325,555315.74985714,868478.524336232011
1654387200,2022-06-05 00:00:00,MAHA/USDT,1.3309,1.8691,1.3244,1.5432,584185.7734743,889155.347783224997
1654300800,2022-06-04 00:00:00,MAHA/USDT,1.2449,1.4621,1.2375,1.335,511321.19086748,680289.038363491981
1654214400,2022-06-03 00:00:00,MAHA/USDT,1.3212,1.3212,1.1866,1.2442,270787.03378427,336216.726806059832
1654128000,2022-06-02 00:00:00,MAHA/USDT,1.3012,1.357,1.255,1.3166,24600.37805611,32327.086272427459
1654041600,2022-06-01 00:00:00,MAHA/USDT,1.3726,1.4074,1.3,1.3012,13396.68374011,17739.683560960177
1653955200,2022-05-31 00:00:00,MAHA/USDT,1.445,1.4493,1.3365,1.3726,13486.38821826,18636.463232011476
1653868800,2022-05-30 00:00:00,MAHA/USDT,1.285,1.54,1.2505,1.4601,33367.52689474,46604.483332127585
1653782400,2022-05-29 00:00:00,MAHA/USDT,1.3389,1.3966,1.2476,1.285,8228.9821943,10898.514373181723
1653696000,2022-05-28 00:00:00,MAHA/USDT,1.3142,1.3792,1.2581,1.3499,20444.24212405,26941.610653248415
1653609600,2022-05-27 00:00:00,MAHA/USDT,1.3214,1.328,1.2366,1.3157,12638.14351445,16295.007156123891
1653523200,2022-05-26 00:00:00,MAHA/USDT,1.5475,1.79,1.2485,1.3262,62647.50685427,92030.490988886777
1653436800,2022-05-25 00:00:00,MAHA/USDT,1.3602,1.6371,1.3602,1.556,80840.58710897,121048.217024742274
1653350400,2022-05-24 00:00:00,MAHA/USDT,1.4099,1.5013,1.3052,1.3602,107344.66628894,148449.784346129612
1653264000,2022-05-23 00:00:00,MAHA/USDT,1.52,1.5665,1.3603,1.4099,34006.71138599,49963.477183290342
1653177600,2022-05-22 00:00:00,MAHA/USDT,1.5196,1.582,1.4622,1.5219,68392.27621937,104007.842199186569
