https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EWT,Volume USDT
1663459200,2022-09-18 00:00:00,EWT/USDT,4.018,4.029,4.006,4.009,1050.3367,4222.0419133
1663372800,2022-09-17 00:00:00,EWT/USDT,3.987,4.108,3.921,4.015,56585.9683,227886.1326157
1663286400,2022-09-16 00:00:00,EWT/USDT,4.055,4.099,3.87,3.987,87984.5273,349486.1980457
1663200000,2022-09-15 00:00:00,EWT/USDT,4.317,4.323,4.031,4.054,66798.3991,280776.5512665
1663113600,2022-09-14 00:00:00,EWT/USDT,4.235,4.459,4.234,4.32,76471.4707,331250.4820847
1663027200,2022-09-13 00:00:00,EWT/USDT,4.537,4.541,4.16,4.235,104295.4299,450196.1937539
1662940800,2022-09-12 00:00:00,EWT/USDT,4.477,4.638,4.367,4.535,85221.8739,383420.8437661
1662854400,2022-09-11 00:00:00,EWT/USDT,4.567,4.6,4.433,4.483,52859.9898,239157.558397
1662768000,2022-09-10 00:00:00,EWT/USDT,4.745,5,4.411,4.568,108262.2398,497047.4147135
1662681600,2022-09-09 00:00:00,EWT/USDT,4.735,5.028,4.595,4.744,169145.22166077,809719.00129906822
1662595200,2022-09-08 00:00:00,EWT/USDT,3.912,4.9,3.876,4.731,183410.1487,788053.2248917
1662508800,2022-09-07 00:00:00,EWT/USDT,3.85,4.168,3.619,3.912,98206.0612,377484.0044772
1662422400,2022-09-06 00:00:00,EWT/USDT,4.082,4.274,3.822,3.85,114605.9215,464136.3755361
1662336000,2022-09-05 00:00:00,EWT/USDT,4.033,4.107,3.858,4.082,42096.6785,167555.0324702
1662249600,2022-09-04 00:00:00,EWT/USDT,4.029,4.114,3.914,4.033,45108.1065,181282.3026843
1662163200,2022-09-03 00:00:00,EWT/USDT,3.792,4.176,3.74,4.026,118901.1505,472947.9782499
1662076800,2022-09-02 00:00:00,EWT/USDT,3.879,3.913,3.589,3.788,101631.9482,379295.1911902
1661990400,2022-09-01 00:00:00,EWT/USDT,3.798,4.1,3.688,3.879,137613.8608,534184.5540719
1661904000,2022-08-31 00:00:00,EWT/USDT,3.928,4.019,3.754,3.794,128954.1947,503196.0482002
1661817600,2022-08-30 00:00:00,EWT/USDT,4.208,4.55,3.9,3.924,198835.3343,826819.6447154
1661731200,2022-08-29 00:00:00,EWT/USDT,4.094,4.5,4.067,4.217,134446.0341,568194.1873032
1661644800,2022-08-28 00:00:00,EWT/USDT,4.13,4.555,3.967,4.1,132415.3936,562018.9647286
1661558400,2022-08-27 00:00:00,EWT/USDT,4.139,4.363,3.88,4.13,162144.1944,668888.8756086
1661472000,2022-08-26 00:00:00,EWT/USDT,4.727,4.8,4.103,4.137,232968.8198,1030326.7126722
1661385600,2022-08-25 00:00:00,EWT/USDT,4.772,5.2,4.5,4.727,167103.05685826,803603.60470951156
1661299200,2022-08-24 00:00:00,EWT/USDT,4.419,5.068,4.412,4.773,232999.1563,1102465.8099154
1661212800,2022-08-23 00:00:00,EWT/USDT,4.8,4.8,4.26,4.419,208655.3618,947717.6494676
1661126400,2022-08-22 00:00:00,EWT/USDT,5.155,5.161,4.4,4.803,321641.5856,1552597.7562988
1661040000,2022-08-21 00:00:00,EWT/USDT,3.943,5.241,3.919,5.155,431061.60162642,1932581.57227406138
