https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT
1663459200,2022-09-18 00:00:00,DOT/USDT,7.0577,7.0605,6.9965,7.0132,11026.30342137,77417.038721210016
1663372800,2022-09-17 00:00:00,DOT/USDT,6.9045,7.1583,6.904,7.0567,384538.998609,2713391.533254772829
1663286400,2022-09-16 00:00:00,DOT/USDT,6.9347,6.9748,6.7,6.9037,474859.86847754,3252148.552008920676
1663200000,2022-09-15 00:00:00,DOT/USDT,7.2073,7.2383,6.8701,6.9359,583169.88395875,4096149.090107545582
1663113600,2022-09-14 00:00:00,DOT/USDT,7.0692,7.3037,7.0151,7.2075,409489.53296262,2935914.785072519761
1663027200,2022-09-13 00:00:00,DOT/USDT,7.6626,7.9558,7.032,7.0707,857189.33763691,6407524.0475425575
1662940800,2022-09-12 00:00:00,DOT/USDT,7.7025,8.0508,7.5655,7.6615,842730.76505542,6575497.906765861053
1662854400,2022-09-11 00:00:00,DOT/USDT,7.7738,7.9,7.5462,7.7072,366354.10203704,2834607.672066130403
1662768000,2022-09-10 00:00:00,DOT/USDT,7.7573,7.8775,7.5872,7.7755,465463.47070288,3598043.880750986218
1662681600,2022-09-09 00:00:00,DOT/USDT,7.3891,7.9409,7.359,7.756,779970.42458126,6032059.287836091937
1662595200,2022-09-08 00:00:00,DOT/USDT,7.1999,7.4477,7.0304,7.388,698972.14709972,5053447.130363492226
1662508800,2022-09-07 00:00:00,DOT/USDT,6.8767,7.295,6.756,7.1985,506062.18928534,3566861.079618999923
1662422400,2022-09-06 00:00:00,DOT/USDT,7.3729,7.6888,6.82,6.8737,872576.06289755,6380378.068474425274
1662336000,2022-09-05 00:00:00,DOT/USDT,7.3754,7.6367,7.2587,7.373,496390.32871506,3701527.730654649369
1662249600,2022-09-04 00:00:00,DOT/USDT,7.288,7.426,7.1435,7.3757,359063.47352388,2611407.710306878246
1662163200,2022-09-03 00:00:00,DOT/USDT,7.3006,7.3081,7.1652,7.287,332952.20736965,2416309.857324474774
1662076800,2022-09-02 00:00:00,DOT/USDT,7.1855,7.5668,7.1198,7.3024,531372.56420977,3892124.197690995964
1661990400,2022-09-01 00:00:00,DOT/USDT,7.0326,7.2011,6.86,7.1837,488610.03364403,3435079.693952492066
1661904000,2022-08-31 00:00:00,DOT/USDT,7.011,7.2908,6.982,7.0322,426905.75630673,3040417.936689766535
1661817600,2022-08-30 00:00:00,DOT/USDT,7.2727,7.3799,6.88,7.0095,512446.11164549,3658558.49321429753
1661731200,2022-08-29 00:00:00,DOT/USDT,6.8606,7.3091,6.7859,7.2731,473737.1177178,3351703.907828199312
1661644800,2022-08-28 00:00:00,DOT/USDT,7.0452,7.1519,6.8134,6.8605,390691.42170836,2750713.369680210492
1661558400,2022-08-27 00:00:00,DOT/USDT,6.9265,7.101,6.8,7.0389,480267.60383131,3352750.452778562432
1661472000,2022-08-26 00:00:00,DOT/USDT,7.5819,7.6792,6.8667,6.926,768001.84583009,5591329.938336355749
1661385600,2022-08-25 00:00:00,DOT/USDT,7.5646,7.763,7.4558,7.582,279228.71028816,2129848.642103447355
1661299200,2022-08-24 00:00:00,DOT/USDT,7.6419,7.7747,7.4159,7.5634,404486.84364908,3069299.559183369787
