https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT
1653523200000.0,2022-05-26 00:00:00,LUNA/USDT,0.00018138,0.0001828,0.00017803,0.0001795,400040510.0350217,71807.2715512864
1653436800000.0,2022-05-25 00:00:00,LUNA/USDT,0.00017638,0.000208,0.0001638,0.00018138,30649021484.794525,5559119.516912031
1653350400000.0,2022-05-24 00:00:00,LUNA/USDT,0.0001596,0.00018425,0.00014719,0.0001762,14588127750.810244,2570428.109692765
1653264000000.0,2022-05-23 00:00:00,LUNA/USDT,0.00018882,0.00022021,0.0001558,0.0001596,34130249094.634117,5447187.755503605
1653177600000.0,2022-05-22 00:00:00,LUNA/USDT,0.00012345,0.00022812,0.00011047,0.00018882,60073865711.96906,11343147.323733998
1653091200000.0,2022-05-21 00:00:00,LUNA/USDT,0.00011805,0.0001378,0.0001,0.00012345,29150870529.28635,3598674.9668404
1653004800000.0,2022-05-20 00:00:00,LUNA/USDT,0.00013159,0.00014885,0.0001153,0.00011805,22379079173.571743,2641850.296440144
1652918400000.0,2022-05-19 00:00:00,LUNA/USDT,0.00014774,0.00016047,0.00012515,0.00013159,39899861649.57822,5250422.794467998
1652832000000.0,2022-05-18 00:00:00,LUNA/USDT,0.000187,0.00020291,0.000141,0.00014774,47291675464.05322,6986872.133059222
1652745600000.0,2022-05-17 00:00:00,LUNA/USDT,0.00019323,0.00022226,0.00016211,0.000187,59243885102.0586,11078606.514084958
1652659200000.0,2022-05-16 00:00:00,LUNA/USDT,0.00021344,0.00028312,0.00012226,0.00019323,156740559876.10318,30286978.384859417
1652572800000.0,2022-05-15 00:00:00,LUNA/USDT,0.00044954,0.0004725,0.000172,0.00021344,219092549415.7514,46763113.74729798
1652486400000.0,2022-05-14 00:00:00,LUNA/USDT,0.00011995,0.000598,8.1e-05,0.00044954,205788715305.83905,92510259.07858689
1652400000000.0,2022-05-13 00:00:00,LUNA/USDT,0.0001485,0.00027975,1e-06,0.00011995,237965263808.75565,28543933.39386024
1652313600000.0,2022-05-12 00:00:00,LUNA/USDT,1.06,1.36,0.00012,0.0001485,837649912026.6481,124391011.93595724
1652227200000.0,2022-05-11 00:00:00,LUNA/USDT,17.35,19.48,0.54,1.06,250688582.45943394,265729897.407
1652140800000.0,2022-05-10 00:00:00,LUNA/USDT,29.98,39.82,12.44,17.35,5528680.715279538,95922610.4101
1652054400000.0,2022-05-09 00:00:00,LUNA/USDT,64.22,65.26,29.58,29.98,1146565.2137525016,34374025.1083
1651968000000.0,2022-05-08 00:00:00,LUNA/USDT,68.08,68.45,59.44,64.22,244746.8893942697,15717645.2369
1651881600000.0,2022-05-07 00:00:00,LUNA/USDT,77.29,77.46,61.2,68.08,193775.63303319624,13192245.0969
1651795200000.0,2022-05-06 00:00:00,LUNA/USDT,82.33,83.0,77.22,77.29,61966.743570966486,4789409.6106
