https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume GMT
1663545600000,2022-09-19 00:00:00,GMT/USDT,0.099527,0.099734,0.098357,0.099665,4312.444279849658,43269.39527266
1663459200000,2022-09-18 00:00:00,GMT/USDT,0.106355,0.1075,0.098179,0.09951,72065.08724646941,724199.44976856
1663372800000,2022-09-17 00:00:00,GMT/USDT,0.110705,0.110729,0.102801,0.105283,76502.24172920674,726634.32585704
1663286400000,2022-09-16 00:00:00,GMT/USDT,0.108708,0.112276,0.108708,0.110518,74719.18007973453,676081.54399948
1663200000000,2022-09-15 00:00:00,GMT/USDT,0.110052,0.112276,0.102563,0.109,76615.99814661116,702899.06556524
1663113600000,2022-09-14 00:00:00,GMT/USDT,0.10758,0.11088,0.106532,0.110647,67642.61390027896,611337.08008603
1663027200000,2022-09-13 00:00:00,GMT/USDT,0.114354,0.116628,0.106773,0.107446,66868.2470097926,622342.82346288
1662940800000,2022-09-12 00:00:00,GMT/USDT,0.11478,0.115448,0.111571,0.114333,76589.85583306276,669884.07400368
1662854400000,2022-09-11 00:00:00,GMT/USDT,0.114289,0.115544,0.113477,0.114179,79892.98712851018,699716.99812146
1662768000000,2022-09-10 00:00:00,GMT/USDT,0.11431,0.117,0.112291,0.115454,79616.01770260562,689590.81281381
1662681600000,2022-09-09 00:00:00,GMT/USDT,0.111303,0.115828,0.11,0.113759,68020.87923362872,597938.44208923
1662595200000,2022-09-08 00:00:00,GMT/USDT,0.107933,0.11265,0.104627,0.110885,81777.91660562823,737502.06615528
1662508800000,2022-09-07 00:00:00,GMT/USDT,0.105456,0.108883,0.100239,0.108681,79491.50032430528,731420.39845332
1662422400000,2022-09-06 00:00:00,GMT/USDT,0.10305,0.11121,0.101924,0.105601,72176.37998205065,683481.97443254
1662336000000,2022-09-05 00:00:00,GMT/USDT,0.100657,0.10309,0.096,0.103084,68407.73057319509,663611.52626203
