https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCH,Volume BTC
1650837600000,2022-04-24 22:00:00,BTC/XCH,38747,39227,38747,39227,1104.39813481,0.02815403
1650816000000,2022-04-24 16:00:00,BTC/XCH,37558,37558,37339,37339,519.9063690500001,0.013923950000000001
1650812400000,2022-04-24 15:00:00,BTC/XCH,39130,39130,39130,39130,1399.8816195,0.03577515
1650808800000,2022-04-24 14:00:00,BTC/XCH,38379,38379,38379,38379,61.498893390000006,0.00160241
1650754800000,2022-04-23 23:00:00,BTC/XCH,38603,39020,37160,37160,1670.631848,0.0449578
1650751200000,2022-04-23 22:00:00,BTC/XCH,39368,39958,39368,39958,686.7821208,0.0171876
1650733200000,2022-04-23 17:00:00,BTC/XCH,38603,38603,38603,38603,2.65781655,6.885e-05
1650722400000,2022-04-23 14:00:00,BTC/XCH,38603,38603,38603,38603,2.38836761,6.187e-05
1650718800000,2022-04-23 13:00:00,BTC/XCH,38603,38603,38603,38603,9.90591583,0.00025661
1650715200000,2022-04-23 12:00:00,BTC/XCH,38603,38603,38603,38603,211.91695894999998,0.0054896499999999996
1650711600000,2022-04-23 11:00:00,BTC/XCH,38603,38603,38603,38603,33.736319789999996,0.00087393
1650708000000,2022-04-23 10:00:00,BTC/XCH,38537,38603,38537,38603,105.93512466,0.00274422
1650704400000,2022-04-23 09:00:00,BTC/XCH,38537,38537,38537,38537,66.63586817999999,0.0017291399999999999
1650661200000,2022-04-22 21:00:00,BTC/XCH,37459,37459,37459,37459,19.53711604,0.00052156
1650618000000,2022-04-22 09:00:00,BTC/XCH,39400,39400,39400,39400,922.194036,0.02340594
1650614400000,2022-04-22 08:00:00,BTC/XCH,39400,39487,39400,39400,577.304166,0.01465239
1650582000000,2022-04-21 23:00:00,BTC/XCH,39288,39614,39288,39614,65.79053506,0.0016607899999999999
1650567600000,2022-04-21 19:00:00,BTC/XCH,40201,41910,38991,40545,3192.2302959,0.07873302
1650560400000,2022-04-21 17:00:00,BTC/XCH,40196,40196,40196,40196,2.7642789199999998,6.877e-05
