https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RLC,Volume USDT
1663459200,2022-09-18 00:00:00,RLC/USDT,1.2471,1.2471,1.2316,1.2415,601.56259411,743.380320062781
1663372800,2022-09-17 00:00:00,RLC/USDT,1.2316,1.2647,1.2159,1.2469,41358.02913023,51353.938514269888
1663286400,2022-09-16 00:00:00,RLC/USDT,1.2069,1.3017,1.1986,1.229,79587.69266279,100606.073807710157
1663200000,2022-09-15 00:00:00,RLC/USDT,1.2312,1.3116,1.1985,1.2167,54134.50414553,66904.204005585123
1663113600,2022-09-14 00:00:00,RLC/USDT,1.2429,1.2695,1.1898,1.2306,31194.883532,38493.545604429279
1663027200,2022-09-13 00:00:00,RLC/USDT,1.3897,1.4498,1.2412,1.2461,235526.2240774,316811.380581520723
1662940800,2022-09-12 00:00:00,RLC/USDT,1.3094,1.4414,1.2737,1.3922,213503.94917927,289716.211014266604
1662854400,2022-09-11 00:00:00,RLC/USDT,1.3325,1.382,1.2873,1.3151,43620.04131231,57683.276525205872
1662768000,2022-09-10 00:00:00,RLC/USDT,1.3509,1.3723,1.303,1.3252,86010.98422705,114392.095531640168
1662681600,2022-09-09 00:00:00,RLC/USDT,1.2181,1.37,1.2131,1.3547,141383.1294816,184493.962976694173
1662595200,2022-09-08 00:00:00,RLC/USDT,1.2352,1.265,1.1857,1.2171,75338.16556742,92415.178002738909
1662508800,2022-09-07 00:00:00,RLC/USDT,1.0219,1.2665,1.011,1.2333,86942.76987526,100851.60801492334
1662422400,2022-09-06 00:00:00,RLC/USDT,1.1415,1.1726,1.0232,1.0232,25735.76191993,28454.166797518397
1662336000,2022-09-05 00:00:00,RLC/USDT,1.1258,1.1468,1.1014,1.138,41436.786453,46326.910251529501
1662249600,2022-09-04 00:00:00,RLC/USDT,1.1328,1.1412,1.0995,1.1248,28419.61526365,31851.041689220046
1662163200,2022-09-03 00:00:00,RLC/USDT,1.1043,1.145,1.0897,1.1302,36614.01942998,40897.742314426308
