https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume EUR
1663545600,2022-09-19 00:00:00,USDT/EUR,0.99807,0.99826,0.99745,0.99826,2633.91455,2629.331538683
1663459200,2022-09-18 00:00:00,USDT/EUR,0.99893,0.99950,0.99747,0.99826,1001833.19826,1000090.0084950277
1663372800,2022-09-17 00:00:00,USDT/EUR,0.99848,0.99990,0.99829,0.99893,1098478.82708,1097303.4547350244
1663286400,2022-09-16 00:00:00,USDT/EUR,1.00127,1.00490,0.99430,0.99848,4167919.40448,4161584.1669851905
1663200000,2022-09-15 00:00:00,USDT/EUR,1.00186,1.00463,0.99767,1.00127,3659882.40324,3664530.453892115
1663113600,2022-09-14 00:00:00,USDT/EUR,1.00237,1.00383,0.99714,1.00185,3792496.21522,3799512.333218157
1663027200,2022-09-13 00:00:00,USDT/EUR,0.98730,1.00434,0.98175,1.00215,11786332.35022,11811672.964772975
1662940800,2022-09-12 00:00:00,USDT/EUR,0.99282,0.99370,0.98103,0.98726,5862416.49540,5787729.309248605
1662854400,2022-09-11 00:00:00,USDT/EUR,0.99435,0.99508,0.99012,0.99285,1387516.43355,1377595.6910501174
1662768000,2022-09-10 00:00:00,USDT/EUR,0.99495,0.99526,0.99423,0.99435,1491690.81966,1483262.766528921
1662681600,2022-09-09 00:00:00,USDT/EUR,0.99917,0.99917,0.98884,0.99494,5024600.33014,4999175.852469492
1662595200,2022-09-08 00:00:00,USDT/EUR,1.00010,1.00645,0.99693,0.99918,6285820.02634,6280665.653918401
1662508800,2022-09-07 00:00:00,USDT/EUR,1.01030,1.01252,0.99549,1.00018,3517074.37797,3517707.4513580347
1662422400,2022-09-06 00:00:00,USDT/EUR,1.00474,1.01321,1.00114,1.01034,5519136.31152,5576204.180981117
1662336000,2022-09-05 00:00:00,USDT/EUR,1.00908,1.01203,1.00310,1.00481,4347346.35722,4368257.093198228
1662249600,2022-09-04 00:00:00,USDT/EUR,1.00486,1.00910,1.00321,1.00910,1829294.81061,1845941.3933865512
1662163200,2022-09-03 00:00:00,USDT/EUR,1.00413,1.00493,1.00363,1.00455,362984.16428,364635.74222747405
1662076800,2022-09-02 00:00:00,USDT/EUR,1.00434,1.00604,0.98858,1.00412,7136580.70501,7165983.41751464
1661990400,2022-09-01 00:00:00,USDT/EUR,0.99633,1.00823,0.99551,1.00396,3961980.64226,3977670.0856033494
