https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume ETH
1663459200,2022-09-18 00:00:00,ENJ/ETH,0.000352,0.0003523,0.0003513,0.0003513,15.502,0.00545502536
1663372800,2022-09-17 00:00:00,ENJ/ETH,0.0003478,0.0003548,0.0003441,0.0003497,1971.8585,0.69018624222
1663286400,2022-09-16 00:00:00,ENJ/ETH,0.0003315,0.0003495,0.0003309,0.0003465,5904.0931,2.02057333619
1663200000,2022-09-15 00:00:00,ENJ/ETH,0.000309,0.0003337,0.0003043,0.0003317,49434.5993,16.0014161463
1663113600,2022-09-14 00:00:00,ENJ/ETH,0.0003125,0.0003172,0.0003076,0.0003109,3630.6637,1.1369777029
1663027200,2022-09-13 00:00:00,ENJ/ETH,0.0003152,0.0003203,0.0003064,0.0003136,56085.2348,17.69994574697
1662940800,2022-09-12 00:00:00,ENJ/ETH,0.0003071,0.0003253,0.0003069,0.0003167,19618.4656,6.14991865803
1662854400,2022-09-11 00:00:00,ENJ/ETH,0.000309,0.0003148,0.000305,0.0003076,6817.9338,2.09511785023
1662768000,2022-09-10 00:00:00,ENJ/ETH,0.0003193,0.000322,0.0003073,0.0003077,4405.805,1.39023862506
1662681600,2022-09-09 00:00:00,ENJ/ETH,0.0003217,0.0003291,0.0003136,0.0003191,7534.7166,2.43034755486
1662595200,2022-09-08 00:00:00,ENJ/ETH,0.0003191,0.0003268,0.000313,0.000321,5511.6883,1.75643324853
1662508800,2022-09-07 00:00:00,ENJ/ETH,0.0003081,0.000325,0.0003081,0.00032,29134.5216,9.34870389504
1662422400,2022-09-06 00:00:00,ENJ/ETH,0.0003288,0.000334,0.000307,0.00031,47399.6704,14.93493968551
1662336000,2022-09-05 00:00:00,ENJ/ETH,0.0003383,0.0003424,0.0003269,0.0003282,10613.9307,3.53764117173
1662249600,2022-09-04 00:00:00,ENJ/ETH,0.0003354,0.000346,0.0003354,0.0003389,9708.1811,3.2914927427
1662163200,2022-09-03 00:00:00,ENJ/ETH,0.0003233,0.0003368,0.0003222,0.0003335,9266.349,3.01256284074
1662076800,2022-09-02 00:00:00,ENJ/ETH,0.000326,0.0003277,0.000321,0.0003226,2018.5995,0.6539434139
