https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EXM
1663549200000,2022-09-19 01:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0009372728760360001,1115.8010429
1663545600000,2022-09-19 00:00:00,EXM/BTC,8.3e-07,8.5e-07,8.3e-07,8.5e-07,0.004068627634083,4786.62074598
1663542000000,2022-09-18 23:00:00,EXM/BTC,8.4e-07,8.4e-07,8.3e-07,8.3e-07,0.0003925345981806,472.93325082
1663538400000,2022-09-18 22:00:00,EXM/BTC,8.4e-07,8.4e-07,8.3e-07,8.3e-07,0.0340295177285581,40999.41895007
1663534800000,2022-09-18 21:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.000492949999991,579.94117646
1663531200000,2022-09-18 20:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0083584911523092,9950.58470513
1663524000000,2022-09-18 18:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0018516882902028001,2204.39082167
1663520400000,2022-09-18 17:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,0.0049904414799624005,5941.00176186
1663516800000,2022-09-18 16:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0020956812119712,2494.85858568
1663513200000,2022-09-18 15:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,4.536e-05,54.0
1663509600000,2022-09-18 14:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,0.0084799151291316,10095.13705849
1663506000000,2022-09-18 13:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0005377676068463999,640.19953196
1663502400000,2022-09-18 12:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.007075132222452,8422.7764553
1663498800000,2022-09-18 11:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,0.000279199612986,332.38049165
1663495200000,2022-09-18 10:00:00,EXM/BTC,8.4e-07,8.5e-07,8.3e-07,8.5e-07,0.01305171686921,15354.9610226
1663491600000,2022-09-18 09:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0545956194248388,64994.78502957
1663488000000,2022-09-18 08:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.007009384126735199,8344.50491278
1663484400000,2022-09-18 07:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.026257237010104798,31258.61548822
1663480800000,2022-09-18 06:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.24191625184695362,287995.53791304
1663477200000,2022-09-18 05:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,0.0121954635599832,14518.40899998
1663473600000,2022-09-18 04:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.5e-07,0.008019100654417001,9434.23606402
1663466400000,2022-09-18 02:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.5e-07,0.000255,300.0
1663462800000,2022-09-18 01:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0379106046505452,45131.67220303
1663459200000,2022-09-18 00:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.0048994226105439995,5764.02660064
1663455600000,2022-09-17 23:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,0.0778993355522256,92737.30422884
1663448400000,2022-09-17 21:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.0011301210021445,1329.55412017
1663444800000,2022-09-17 20:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.000473,550.0
1663437600000,2022-09-17 18:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0019950099999936,2319.77906976
1663434000000,2022-09-17 17:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.5e-07,0.011299595216647501,13293.64143135
1663430400000,2022-09-17 16:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.0228323712588875,26861.61324575
1663426800000,2022-09-17 15:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.00013041999999940002,151.65116279
1663423200000,2022-09-17 14:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.011091943455469001,12897.60866915
1663419600000,2022-09-17 13:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.020094046972785,23640.0552621
1663416000000,2022-09-17 12:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.0132277273418184,15381.07830444
1663412400000,2022-09-17 11:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.008360773913264001,9836.20460384
1663408800000,2022-09-17 10:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.0042866604048,5043.129888
1663398000000,2022-09-17 07:00:00,EXM/BTC,8.6e-07,8.7e-07,8.6e-07,8.7e-07,0.0012425910285783,1428.26555009
1663394400000,2022-09-17 06:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.0026532204099995,3121.43577647
1663390800000,2022-09-17 05:00:00,EXM/BTC,8.6e-07,8.7e-07,8.6e-07,8.7e-07,0.0848712494385192,97553.16027416
1663372800000,2022-09-17 00:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.4e-07,8.95711764696e-05,106.63235294
1663362000000,2022-09-16 21:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.016769524641408,19963.7198112
1663358400000,2022-09-16 20:00:00,EXM/BTC,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.0001393466046,165.888815
1663354800000,2022-09-16 19:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.6e-07,0.0038089779154392,4429.04408772
1663351200000,2022-09-16 18:00:00,EXM/BTC,8.5e-07,8.5e-07,8.4e-07,8.5e-07,0.035642937362080004,41932.8674848
1663347600000,2022-09-16 17:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.0013166389544965,1548.98700529
1663340400000,2022-09-16 15:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0001219260239642,141.77444647
1663336800000,2022-09-16 14:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.0117363575324065,13807.47944989
1663333200000,2022-09-16 13:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0046211194491552,5373.39470832
1663329600000,2022-09-16 12:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.047607470737704605,55357.52411361
1663326000000,2022-09-16 11:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0013215575855598,1536.69486693
1663322400000,2022-09-16 10:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.0013957961167420001,1642.11307852
1663318800000,2022-09-16 09:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.0025926350843874,3014.69195859
1663315200000,2022-09-16 08:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.001061539999992,1234.3488372
1663311600000,2022-09-16 07:00:00,EXM/BTC,8.6e-07,8.7e-07,8.6e-07,8.7e-07,0.0601608863188368,69150.44404464
1663308000000,2022-09-16 06:00:00,EXM/BTC,8.6e-07,8.7e-07,8.6e-07,8.6e-07,0.014745425846157602,17145.84400716
1663304400000,2022-09-16 05:00:00,EXM/BTC,8.7e-07,8.7e-07,8.6e-07,8.7e-07,0.0081613400477433,9380.85062959
1663300800000,2022-09-16 04:00:00,EXM/BTC,8.6e-07,8.7e-07,8.6e-07,8.7e-07,0.009466071768923102,10880.54226313
1663286400000,2022-09-16 00:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.6e-07,0.0161601060190984,18790.82095244
1663282800000,2022-09-15 23:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.1259118929692578,146409.17787123
1663279200000,2022-09-15 22:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,4.25e-05,50.0
1663275600000,2022-09-15 21:00:00,EXM/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,0.0174930149999925,20580.01764705
1663272000000,2022-09-15 20:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,5.4619999994e-05,63.5116279
1663264800000,2022-09-15 18:00:00,EXM/BTC,8.5e-07,8.6e-07,8.4e-07,8.4e-07,0.0278317582228224,33133.04550336
1663261200000,2022-09-15 17:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.0017779071913068003,2067.33394338
1663257600000,2022-09-15 16:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.00019141849551700002,225.19823002
1663254000000,2022-09-15 15:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0094390596941318,10975.65080713
1663250400000,2022-09-15 14:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.6e-07,0.13193549799099422,153413.36975697
1663246800000,2022-09-15 13:00:00,EXM/BTC,8.6e-07,8.6e-07,8.5e-07,8.5e-07,0.0757545578797975,89123.00927035
1663243200000,2022-09-15 12:00:00,EXM/BTC,8.5e-07,8.6e-07,8.5e-07,8.6e-07,0.0005193028866998001,603.84056593
1663239600000,2022-09-15 11:00:00,EXM/BTC,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.0025700117954734,2988.38580869
