https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KCS,Volume USDT
1663372800,2022-09-17 00:00:00,KCS/USDT,9.137,9.215,9.116,9.193,4576.6067239,41986.74595344735
1663286400,2022-09-16 00:00:00,KCS/USDT,9.11,9.233,9.012,9.137,119384.23336335,1089617.40114921402
1663200000,2022-09-15 00:00:00,KCS/USDT,9.364,9.447,9.041,9.109,130882.07563559,1208778.72363866774
1663113600,2022-09-14 00:00:00,KCS/USDT,9.254,9.428,9.14,9.368,108888.24432529,1014514.81616039865
1663027200,2022-09-13 00:00:00,KCS/USDT,9.715,9.783,9.18,9.254,211073.64843379,2000095.48903323494
1662940800,2022-09-12 00:00:00,KCS/USDT,9.755,9.928,9.617,9.715,174822.52711841,1712331.9324835602
1662854400,2022-09-11 00:00:00,KCS/USDT,9.776,9.819,9.601,9.755,133591.2594968,1300152.04562479315
1662768000,2022-09-10 00:00:00,KCS/USDT,9.611,9.829,9.564,9.776,147716.17040853,1436753.98116867883
1662681600,2022-09-09 00:00:00,KCS/USDT,9.277,9.695,9.269,9.611,204730.92245265,1949208.52441196324
1662595200,2022-09-08 00:00:00,KCS/USDT,9.203,9.296,9.061,9.277,112780.12627308,1038177.35502068747
1662508800,2022-09-07 00:00:00,KCS/USDT,9.033,9.286,8.917,9.204,156517.86461546,1417985.7861070574
1662422400,2022-09-06 00:00:00,KCS/USDT,9.414,9.562,9,9.033,185106.47539355,1724077.27763457466
1662336000,2022-09-05 00:00:00,KCS/USDT,9.394,9.44,9.258,9.414,133695.67344353,1250544.60596756501
1662249600,2022-09-04 00:00:00,KCS/USDT,9.192,9.396,9.137,9.394,129425.45107655,1197991.76554502705
1662163200,2022-09-03 00:00:00,KCS/USDT,9.16,9.195,9.066,9.192,89110.20535885,814175.86173100966
1662076800,2022-09-02 00:00:00,KCS/USDT,9.143,9.291,9.027,9.161,145569.77321727,1333543.59423426628
1661990400,2022-09-01 00:00:00,KCS/USDT,9.002,9.157,8.901,9.143,134848.88280989,1217212.20578130128
1661904000,2022-08-31 00:00:00,KCS/USDT,8.979,9.17,8.933,9.001,112477.9788362,1017578.16719255476
1661817600,2022-08-30 00:00:00,KCS/USDT,9.1,9.257,8.839,8.973,126624.76032806,1145171.85986877534
1661731200,2022-08-29 00:00:00,KCS/USDT,8.816,9.136,8.791,9.1,91414.21953102,820125.60775601772
1661644800,2022-08-28 00:00:00,KCS/USDT,9.133,9.211,8.808,8.816,123609.18742385,1119629.1302028134
