https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/UST,1334.2,1353.5,1332.2,1345.2,8734.67288526,6.49321505
1663542000000,2022-09-18 23:00:00,ETH/UST,1340.4,1354.9,1330.2,1334.8,37180.904628963995,27.855037929999998
1663538400000,2022-09-18 22:00:00,ETH/UST,1330.9,1341.6,1327.8,1340.4,45551.807602548004,33.98374187
1663534800000,2022-09-18 21:00:00,ETH/UST,1371.5,1371.5,1324.9,1335.6,835449.4747022759,625.52371571
1663531200000,2022-09-18 20:00:00,ETH/UST,1380.1,1380.8,1367.7,1371.9,51434.462854704005,37.49140816
1663527600000,2022-09-18 19:00:00,ETH/UST,1372.9,1386.6,1369.1,1380.8,318456.958937152,230.63221244
1663524000000,2022-09-18 18:00:00,ETH/UST,1376.9,1387.2,1368.1,1374.8,82466.402111968,59.98429016
1663520400000,2022-09-18 17:00:00,ETH/UST,1395.1,1398.1,1373.2,1376.7,215819.27477420704,156.76565321
1663516800000,2022-09-18 16:00:00,ETH/UST,1417.0,1423.3,1385.0,1395.7,668834.98265477,479.2111361
1663513200000,2022-09-18 15:00:00,ETH/UST,1420.5,1425.0,1412.3,1416.5,197592.70672404,139.49361576
1663509600000,2022-09-18 14:00:00,ETH/UST,1435.2,1435.3,1410.9,1420.8,286000.951616256,201.29571482
1663506000000,2022-09-18 13:00:00,ETH/UST,1439.0,1439.2,1431.4,1435.4,239764.031234722,167.03638793
1663502400000,2022-09-18 12:00:00,ETH/UST,1433.8,1440.4,1426.6,1438.4,167322.872812448,116.32569022
1663498800000,2022-09-18 11:00:00,ETH/UST,1431.7,1435.2,1430.8,1435.0,48817.2555864,34.01899344
1663495200000,2022-09-18 10:00:00,ETH/UST,1422.9,1443.0,1419.8,1430.9,81050.80154164901,56.64323261
1663491600000,2022-09-18 09:00:00,ETH/UST,1455.4,1458.4,1423.4,1424.5,64228.042281865,45.08813077
1663488000000,2022-09-18 08:00:00,ETH/UST,1453.4,1458.9,1452.3,1454.7,9343.108396167001,6.42270461
1663484400000,2022-09-18 07:00:00,ETH/UST,1453.7,1457.1,1452.5,1453.4,15028.109709210003,10.33996815
1663480800000,2022-09-18 06:00:00,ETH/UST,1458.1,1459.4,1450.8,1453.7,7534.018072408,5.18264984
1663477200000,2022-09-18 05:00:00,ETH/UST,1453.1,1459.7,1452.1,1458.1,15894.115138789999,10.9005659
1663473600000,2022-09-18 04:00:00,ETH/UST,1451.2,1455.4,1448.8,1453.3,15486.823301617,10.65631549
1663470000000,2022-09-18 03:00:00,ETH/UST,1455.1,1455.9,1447.2,1451.3,41305.015332274,28.460700980000002
1663466400000,2022-09-18 02:00:00,ETH/UST,1452.4,1456.5,1451.3,1455.4,24509.260379552,16.84022288
1663462800000,2022-09-18 01:00:00,ETH/UST,1451.5,1457.1,1449.8,1452.4,39559.945402152,27.23763798
1663459200000,2022-09-18 00:00:00,ETH/UST,1469.1,1469.9,1449.2,1452.0,97459.93830276,67.12116963
1663455600000,2022-09-17 23:00:00,ETH/UST,1465.3,1473.5,1462.1,1468.9,281519.65928296006,191.65338640000002
1663452000000,2022-09-17 22:00:00,ETH/UST,1452.6,1467.1,1451.0,1465.0,30378.181898099996,20.73596034
1663448400000,2022-09-17 21:00:00,ETH/UST,1462.7,1462.7,1446.8,1452.5,94098.460973825,64.78379413
1663444800000,2022-09-17 20:00:00,ETH/UST,1465.0,1465.9,1461.1,1462.8,247380.86114785197,169.11461659
1663441200000,2022-09-17 19:00:00,ETH/UST,1468.2,1469.0,1459.2,1465.2,279742.076609292,190.92415821
1663437600000,2022-09-17 18:00:00,ETH/UST,1470.0,1476.2,1465.7,1468.2,328372.25945666997,223.65635435
1663434000000,2022-09-17 17:00:00,ETH/UST,1466.5,1475.0,1462.6,1470.3,618585.5287328339,420.72062078
1663430400000,2022-09-17 16:00:00,ETH/UST,1444.6,1470.6,1442.4,1466.3,382011.65114151593,260.52762132
1663426800000,2022-09-17 15:00:00,ETH/UST,1444.6,1450.4,1437.0,1444.9,286182.43614513404,198.06383566
1663423200000,2022-09-17 14:00:00,ETH/UST,1421.6,1445.0,1421.6,1445.0,359496.08080505003,248.78621509
1663419600000,2022-09-17 13:00:00,ETH/UST,1424.4,1427.4,1419.4,1423.0,237299.94192003,166.76032461
1663416000000,2022-09-17 12:00:00,ETH/UST,1419.3,1427.4,1410.2,1425.0,261029.97183000002,183.1789276
1663412400000,2022-09-17 11:00:00,ETH/UST,1426.3,1427.7,1419.0,1420.1,265989.501038965,187.30335965
1663408800000,2022-09-17 10:00:00,ETH/UST,1432.0,1433.7,1416.9,1426.7,268522.83806563605,188.21254508
1663405200000,2022-09-17 09:00:00,ETH/UST,1433.8,1435.7,1430.2,1432.3,286439.26838849497,199.98552565
1663401600000,2022-09-17 08:00:00,ETH/UST,1432.0,1435.5,1430.4,1433.8,369874.01470605994,257.9676487
1663398000000,2022-09-17 07:00:00,ETH/UST,1431.4,1433.1,1426.3,1432.0,1027417.6899848001,717.4704539
1663394400000,2022-09-17 06:00:00,ETH/UST,1432.0,1433.7,1425.2,1431.4,171478.00893804603,119.79740739
1663390800000,2022-09-17 05:00:00,ETH/UST,1441.1,1441.2,1428.2,1431.6,233416.42835205598,163.04584266
1663387200000,2022-09-17 04:00:00,ETH/UST,1440.6,1447.5,1439.3,1440.6,285934.58588603995,198.4829834
1663383600000,2022-09-17 03:00:00,ETH/UST,1440.0,1442.9,1436.5,1439.4,198092.775651636,137.62176994
1663380000000,2022-09-17 02:00:00,ETH/UST,1445.6,1446.3,1436.8,1439.6,201444.983865724,139.93121969
1663376400000,2022-09-17 01:00:00,ETH/UST,1443.1,1448.4,1438.2,1446.6,167851.56170791798,116.03177223
1663372800000,2022-09-17 00:00:00,ETH/UST,1433.6,1455.4,1431.0,1443.1,270265.42294708,187.2811468
1663369200000,2022-09-16 23:00:00,ETH/UST,1432.5,1434.7,1424.4,1433.8,237946.300664718,165.95501511
1663365600000,2022-09-16 22:00:00,ETH/UST,1440.2,1442.7,1431.1,1431.8,369102.959480592,257.78946744
1663362000000,2022-09-16 21:00:00,ETH/UST,1437.0,1448.6,1434.3,1437.1,365699.21382199094,254.47026221
1663358400000,2022-09-16 20:00:00,ETH/UST,1428.2,1438.1,1427.0,1437.3,350978.639460606,244.19302822
1663354800000,2022-09-16 19:00:00,ETH/UST,1428.4,1438.4,1426.9,1427.9,396580.836203941,277.73712179
1663351200000,2022-09-16 18:00:00,ETH/UST,1420.9,1433.9,1410.6,1428.4,473062.463819996,331.18346669
1663347600000,2022-09-16 17:00:00,ETH/UST,1427.6,1432.6,1406.8,1421.4,712615.1913466321,501.34739788
1663344000000,2022-09-16 16:00:00,ETH/UST,1452.4,1452.4,1412.4,1428.0,542311.12200384,379.76969328
1663340400000,2022-09-16 15:00:00,ETH/UST,1447.4,1456.2,1440.0,1452.2,385539.138116888,265.48625404
1663336800000,2022-09-16 14:00:00,ETH/UST,1428.7,1457.9,1426.8,1448.4,544943.553372384,376.23829976
1663333200000,2022-09-16 13:00:00,ETH/UST,1454.4,1463.7,1425.5,1431.0,522942.92683541996,365.43880282
1663329600000,2022-09-16 12:00:00,ETH/UST,1478.2,1478.2,1452.5,1454.2,355410.25575759,244.40259645
1663326000000,2022-09-16 11:00:00,ETH/UST,1469.3,1482.1,1466.0,1478.7,394638.601889889,266.88212747
1663322400000,2022-09-16 10:00:00,ETH/UST,1463.1,1474.3,1458.5,1469.0,515621.50705416,351.00170664
1663318800000,2022-09-16 09:00:00,ETH/UST,1450.8,1465.8,1450.8,1463.0,349172.88128877,238.66909179
1663315200000,2022-09-16 08:00:00,ETH/UST,1471.1,1471.5,1443.6,1452.3,441505.69247810397,304.00447048
1663311600000,2022-09-16 07:00:00,ETH/UST,1473.1,1477.8,1469.9,1472.0,616742.21450496,418.98248268
1663308000000,2022-09-16 06:00:00,ETH/UST,1472.1,1476.0,1468.3,1472.2,304174.7296418,206.612369
1663304400000,2022-09-16 05:00:00,ETH/UST,1469.3,1478.6,1469.3,1472.1,194029.65994767597,131.80467356
1663300800000,2022-09-16 04:00:00,ETH/UST,1474.0,1479.8,1470.0,1470.0,68633.1652041,46.68922803
1663297200000,2022-09-16 03:00:00,ETH/UST,1464.8,1473.6,1460.0,1473.6,277359.328998192,188.21887147
1663293600000,2022-09-16 02:00:00,ETH/UST,1470.5,1473.7,1453.4,1466.3,156156.682641773,106.49708971
1663290000000,2022-09-16 01:00:00,ETH/UST,1479.7,1481.2,1466.2,1471.8,273441.103167804,185.78686178
1663286400000,2022-09-16 00:00:00,ETH/UST,1475.2,1482.3,1447.1,1481.9,731282.31305717,493.4761543
1663282800000,2022-09-15 23:00:00,ETH/UST,1474.1,1478.5,1463.3,1471.9,319759.77505416004,217.2428664
1663279200000,2022-09-15 22:00:00,ETH/UST,1489.5,1490.6,1458.7,1474.7,599558.181451872,406.56281376
1663275600000,2022-09-15 21:00:00,ETH/UST,1504.3,1504.3,1484.5,1490.0,236504.9828658,158.72817642
1663272000000,2022-09-15 20:00:00,ETH/UST,1498.9,1509.4,1493.6,1504.3,125291.76141935599,83.28907892
