https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YLD,Volume USDT
1663459200,2022-09-18 00:00:00,YLD/USDT,0.099931,0.099981,0.099209,0.099923,38647.9499,3853.1687577419
1663372800,2022-09-17 00:00:00,YLD/USDT,0.099538,0.1,0.098996,0.099243,1071939.2464,106713.1344634507
1663286400,2022-09-16 00:00:00,YLD/USDT,0.0971,0.1005,0.096292,0.099792,1157301.0221,114121.1344558438
1663200000,2022-09-15 00:00:00,YLD/USDT,0.102258,0.1036,0.0891,0.096957,1781757.4724,177368.7307055747
1663113600,2022-09-14 00:00:00,YLD/USDT,0.102691,0.106621,0.101984,0.102803,1095216.9702,113490.1185894981
1663027200,2022-09-13 00:00:00,YLD/USDT,0.101811,0.1033,0.100888,0.10221,1096166.2425,111492.0749496223
1662940800,2022-09-12 00:00:00,YLD/USDT,0.103319,0.1042,0.100886,0.10123,1123182.7063,114612.9640163921
1662854400,2022-09-11 00:00:00,YLD/USDT,0.105259,0.1058,0.103273,0.103928,977940.4709,102730.2096745026
1662768000,2022-09-10 00:00:00,YLD/USDT,0.101676,0.106899,0.100927,0.105667,1129176.9123,118654.0123427397
1662681600,2022-09-09 00:00:00,YLD/USDT,0.101312,0.1021,0.100886,0.101692,182926.0782,18521.4546160278
1662595200,2022-09-08 00:00:00,YLD/USDT,0.100889,0.1016,0.100885,0.100888,44402.8196,4491.5426462907
1662508800,2022-09-07 00:00:00,YLD/USDT,0.100094,0.1102,0.099896,0.101526,101867.3275,10407.2150722892
1662422400,2022-09-06 00:00:00,YLD/USDT,0.098798,0.109399,0.097909,0.100874,230281.6889,23192.7572258956
1662336000,2022-09-05 00:00:00,YLD/USDT,0.097773,0.098799,0.097016,0.098798,208613.1116,20427.6854493473
1662249600,2022-09-04 00:00:00,YLD/USDT,0.096851,0.098,0.096619,0.097976,557648.1185,54325.6730852341
1662163200,2022-09-03 00:00:00,YLD/USDT,0.096643,0.097799,0.096619,0.097584,1011529.5021,98435.7830896117
1662076800,2022-09-02 00:00:00,YLD/USDT,0.097058,0.0975,0.096225,0.097315,1053872.1258,102128.2329529246
1661990400,2022-09-01 00:00:00,YLD/USDT,0.097919,0.098798,0.096621,0.097296,1046404.9484,102375.883383228
1661904000,2022-08-31 00:00:00,YLD/USDT,0.098216,0.098799,0.097674,0.097913,1037316.189,102070.9938093242
1661817600,2022-08-30 00:00:00,YLD/USDT,0.09884,0.100599,0.097909,0.098382,1076718.5898,106708.1712061657
1661731200,2022-08-29 00:00:00,YLD/USDT,0.096496,0.1,0.095528,0.099493,1168334.2997,113505.988777545
1661644800,2022-08-28 00:00:00,YLD/USDT,0.1,0.1,0.095825,0.095951,1067874.847,104913.7398362056
1661558400,2022-08-27 00:00:00,YLD/USDT,0.097512,0.100599,0.095726,0.0994,1189714.2931,117347.4887146989
1661472000,2022-08-26 00:00:00,YLD/USDT,0.095125,0.1005,0.095,0.097897,1491769.8327,145964.8876365784
1661385600,2022-08-25 00:00:00,YLD/USDT,0.091975,0.0975,0.0919,0.095685,1449869.3324,137015.2114783937
1661299200,2022-08-24 00:00:00,YLD/USDT,0.08894,0.092,0.08788,0.091456,1311227.3916,117638.4703402582
1661212800,2022-08-23 00:00:00,YLD/USDT,0.085904,0.0894,0.085597,0.088518,1231013.1513,106781.044556304
1661126400,2022-08-22 00:00:00,YLD/USDT,0.085635,0.0876,0.084206,0.0864,923763.3524,79615.339832495
1661040000,2022-08-21 00:00:00,YLD/USDT,0.088394,0.088698,0.085601,0.086076,881773.605,76925.0112270562
1660953600,2022-08-20 00:00:00,YLD/USDT,0.08497,0.098023,0.084505,0.088697,1648281.878,145888.9958710698
1660867200,2022-08-19 00:00:00,YLD/USDT,0.083101,0.0954,0.082769,0.0847,2029975.4682,175272.5076807117
1660780800,2022-08-18 00:00:00,YLD/USDT,0.081078,0.083299,0.080436,0.083221,1529217.4194,125205.3461380511
1660694400,2022-08-17 00:00:00,YLD/USDT,0.081121,0.081354,0.080333,0.080914,1294508.8482,104799.6020367112
1660608000,2022-08-16 00:00:00,YLD/USDT,0.080715,0.081354,0.080235,0.080703,1122725.0879,90903.1568523121
1660521600,2022-08-15 00:00:00,YLD/USDT,0.080631,0.08151,0.079627,0.081133,1333010.2509,107906.1210048681
1660435200,2022-08-14 00:00:00,YLD/USDT,0.082095,0.08232,0.080301,0.081263,1340633.8521,109092.8179284557
1660348800,2022-08-13 00:00:00,YLD/USDT,0.081872,0.0841,0.081128,0.082134,1789192.844,146863.6934465124
1660262400,2022-08-12 00:00:00,YLD/USDT,0.082627,0.0832,0.080301,0.081628,2775429.9576,226444.3466836275
1660176000,2022-08-11 00:00:00,YLD/USDT,0.0823,0.0832,0.0817,0.0827,1317201.7379,108625.6921962529
1660089600,2022-08-10 00:00:00,YLD/USDT,0.0816,0.0833,0.0804,0.0826,1310491.268,107365.73533171
1660003200,2022-08-09 00:00:00,YLD/USDT,0.0813,0.0826,0.0807,0.0818,1255190.2687,102577.84900388
1659916800,2022-08-08 00:00:00,YLD/USDT,0.0821,0.0837,0.0808,0.0816,1375842.4835,113184.63765855
1659830400,2022-08-07 00:00:00,YLD/USDT,0.0828,0.0833,0.0819,0.0824,614884.7107,50696.46592438
1659744000,2022-08-06 00:00:00,YLD/USDT,0.0832,0.0839,0.0825,0.0832,85309.0183,7085.58805268
1659657600,2022-08-05 00:00:00,YLD/USDT,0.0844,0.0853,0.0828,0.0835,120719.5696,10164.48005415
1659571200,2022-08-04 00:00:00,YLD/USDT,0.0845,0.0849,0.0841,0.0849,108162.5738,9137.66071764
1659484800,2022-08-03 00:00:00,YLD/USDT,0.0841,0.0846,0.0835,0.0841,160266.2996,13469.24599722
1659398400,2022-08-02 00:00:00,YLD/USDT,0.0825,0.0841,0.082,0.0836,515956.2507,42845.30179051
1659312000,2022-08-01 00:00:00,YLD/USDT,0.0867,0.0887,0.0824,0.083,1284889.3635,108578.90496351
1659225600,2022-07-31 00:00:00,YLD/USDT,0.0827,0.0868,0.082,0.0863,1529676.5185,129645.18092931
1659139200,2022-07-30 00:00:00,YLD/USDT,0.0805,0.0828,0.0802,0.0823,1360531.2802,110915.49568816
1659052800,2022-07-29 00:00:00,YLD/USDT,0.0805,0.0811,0.0793,0.0809,1285961.4395,103650.99761845
1658966400,2022-07-28 00:00:00,YLD/USDT,0.0825,0.0829,0.0799,0.0806,1271671.9783,104244.43113643
1658880000,2022-07-27 00:00:00,YLD/USDT,0.081,0.0825,0.0803,0.0825,1270529.2548,103459.6398756
1658793600,2022-07-26 00:00:00,YLD/USDT,0.0827,0.0829,0.0802,0.0809,1256226.4383,102655.76131666
1658707200,2022-07-25 00:00:00,YLD/USDT,0.0825,0.0832,0.0816,0.0828,1235717.6165,101777.69866322
1658620800,2022-07-24 00:00:00,YLD/USDT,0.0833,0.0841,0.0818,0.0826,1308437.2922,108689.84358131
1658534400,2022-07-23 00:00:00,YLD/USDT,0.0834,0.0841,0.083,0.0836,1210443.2227,101027.72616953
1658448000,2022-07-22 00:00:00,YLD/USDT,0.0821,0.085,0.0808,0.0836,1436191.258,119449.03214132
1658361600,2022-07-21 00:00:00,YLD/USDT,0.0801,0.0827,0.0782,0.0815,1337297.2483,107538.83130509
1658275200,2022-07-20 00:00:00,YLD/USDT,0.0784,0.081,0.0778,0.0798,1021084.9482102,81263.64347261968
