https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORTH,Volume USDT
1663459200,2022-09-18 00:00:00,FORTH/USDT,4.8566,4.8678,4.8321,4.8392,91.9038,444.66634846
1663372800,2022-09-17 00:00:00,FORTH/USDT,4.6125,4.8566,4.6125,4.8322,2137.1268,10184.4886332
1663286400,2022-09-16 00:00:00,FORTH/USDT,4.6517,4.7076,4.5626,4.6089,1705.2597,7866.06809325
1663200000,2022-09-15 00:00:00,FORTH/USDT,4.6726,4.9,4.58,4.6443,14553.8488,68676.56577487
1663113600,2022-09-14 00:00:00,FORTH/USDT,4.6524,4.7756,4.5629,4.6872,2690.3696,12542.78579569
1663027200,2022-09-13 00:00:00,FORTH/USDT,4.753,4.8714,4.5726,4.66,7302.3033,34529.07891753
1662940800,2022-09-12 00:00:00,FORTH/USDT,4.9446,5.0263,4.6355,4.773,8235.0168,40142.95169565
1662854400,2022-09-11 00:00:00,FORTH/USDT,4.9422,5.4752,4.88,4.9632,30864.2744,158488.42046502
1662768000,2022-09-10 00:00:00,FORTH/USDT,4.8916,5.0479,4.8602,4.9421,3339.1924,16530.21405765
1662681600,2022-09-09 00:00:00,FORTH/USDT,4.7176,5.0055,4.7008,4.9051,13336.9697,64716.98305727
1662595200,2022-09-08 00:00:00,FORTH/USDT,4.5629,5.3819,4.5159,4.7153,23628.8519,115996.46907683
1662508800,2022-09-07 00:00:00,FORTH/USDT,4.44,4.6388,4.2771,4.5531,6493.8463,28978.68879969
1662422400,2022-09-06 00:00:00,FORTH/USDT,4.781,4.8312,4.44,4.44,5758.664,26863.18597925
1662336000,2022-09-05 00:00:00,FORTH/USDT,4.8421,4.87,4.72,4.784,1991.6967,9520.96927379
1662249600,2022-09-04 00:00:00,FORTH/USDT,4.8402,4.8917,4.7584,4.8608,4414.1313,21238.50797542
1662163200,2022-09-03 00:00:00,FORTH/USDT,4.7653,4.9043,4.7424,4.8578,7556.8024,36406.35532244
1662076800,2022-09-02 00:00:00,FORTH/USDT,4.7623,5.8495,4.7454,4.75,42614.8787,223703.97311408
1661990400,2022-09-01 00:00:00,FORTH/USDT,4.7756,4.8078,4.2987,4.7655,12100.5377,56506.61955288
1661904000,2022-08-31 00:00:00,FORTH/USDT,4.8494,4.9532,4.7725,4.7903,6929.3862,33637.01079603
1661817600,2022-08-30 00:00:00,FORTH/USDT,4.9446,5.1923,4.7025,4.8301,11932.0011,59130.85502781
1661731200,2022-08-29 00:00:00,FORTH/USDT,4.8218,5.0251,4.8142,4.9446,7384.2944,36237.78677887
1661644800,2022-08-28 00:00:00,FORTH/USDT,4.8176,5.0332,4.7944,4.8134,7308.7675,35807.1890354
1661558400,2022-08-27 00:00:00,FORTH/USDT,4.6547,5.22,4.6547,4.8352,18145.7829,89265.75331758
1661472000,2022-08-26 00:00:00,FORTH/USDT,5.1999,5.2085,4.6148,4.6547,15780.7473,78264.54143325
1661385600,2022-08-25 00:00:00,FORTH/USDT,5.0144,5.8135,5,5.1793,32024.9831,170864.47391836
1661299200,2022-08-24 00:00:00,FORTH/USDT,5.2283,5.7505,4.9379,5.0144,37185.9335,194472.56597869
1661212800,2022-08-23 00:00:00,FORTH/USDT,4.7019,6.4,4.7019,5.2374,128278.2341,724000.55781869
1661126400,2022-08-22 00:00:00,FORTH/USDT,4.719,4.8923,4.54,4.7015,14834.268,69949.13193148
1661040000,2022-08-21 00:00:00,FORTH/USDT,4.7021,4.9579,4.6684,4.7475,6301.7823,30279.04973757
1660953600,2022-08-20 00:00:00,FORTH/USDT,4.446,5.2864,4.4262,4.7076,31118.7158,151328.79232075
1660867200,2022-08-19 00:00:00,FORTH/USDT,5.1656,5.1656,4.3834,4.4538,11585.5306,53534.3183256
1660780800,2022-08-18 00:00:00,FORTH/USDT,5.2115,5.5811,5.1292,5.1743,9044.8451,47980.8129792
1660694400,2022-08-17 00:00:00,FORTH/USDT,5.6887,5.7298,5.1815,5.2313,9271.8006,50593.64266327
1660608000,2022-08-16 00:00:00,FORTH/USDT,5.6421,5.7929,5.551,5.6827,3955.8385,22350.09323516
1660521600,2022-08-15 00:00:00,FORTH/USDT,5.6441,5.8089,5.5011,5.649,8613.0327,48609.56467216
1660435200,2022-08-14 00:00:00,FORTH/USDT,5.8683,5.8983,5.5501,5.6528,16427.0263,94182.86114908
1660348800,2022-08-13 00:00:00,FORTH/USDT,5.7711,6.7535,5.6413,5.8423,47046.3344,290024.08825339
1660262400,2022-08-12 00:00:00,FORTH/USDT,5.4932,6.05,5.4832,5.7711,18565.0027,107228.07577555
1660176000,2022-08-11 00:00:00,FORTH/USDT,5.6129,5.7942,5.4428,5.5052,12570.8986,71281.09170527
1660089600,2022-08-10 00:00:00,FORTH/USDT,5.4534,5.7254,5.3817,5.6265,9574.6084,53472.79088867
1660003200,2022-08-09 00:00:00,FORTH/USDT,5.641,5.7016,5.3387,5.44,9148.2425,50394.97273715
1659916800,2022-08-08 00:00:00,FORTH/USDT,5.6277,5.8192,5.6152,5.641,15123.1529,86814.53967061
1659830400,2022-08-07 00:00:00,FORTH/USDT,5.671,5.78,5.6007,5.6526,4301.6332,24327.85888577
1659744000,2022-08-06 00:00:00,FORTH/USDT,5.4714,6.29,5.4311,5.6984,31459.7044,184713.07213683
1659657600,2022-08-05 00:00:00,FORTH/USDT,5.4343,5.7276,5.2953,5.4714,26450.7339,144218.49649236
1659571200,2022-08-04 00:00:00,FORTH/USDT,5.5514,5.88,4.8545,5.4515,15066.3443,82975.10026296
1659484800,2022-08-03 00:00:00,FORTH/USDT,6.1799,6.47,5.5078,5.5517,55272.22,323005.85465679
1659398400,2022-08-02 00:00:00,FORTH/USDT,5.4529,6.44,5.1058,6.19,127869.3448,743960.80477362
1659312000,2022-08-01 00:00:00,FORTH/USDT,5.5913,5.8294,5.144,5.4713,58281.305,320321.06305341
1659225600,2022-07-31 00:00:00,FORTH/USDT,5.744,6.5605,5.5168,5.5913,163018.1056,967004.00613699
1659139200,2022-07-30 00:00:00,FORTH/USDT,7.2936,10.52,5.4882,5.779,353662.28937863,2644562.834948605324
1659052800,2022-07-29 00:00:00,FORTH/USDT,3.7839,12.384,3.7737,7.2981,459246.95757775,3507095.212247738004
1658966400,2022-07-28 00:00:00,FORTH/USDT,3.598,3.8899,3.5634,3.78,26208.09436526,98792.747660985514
1658880000,2022-07-27 00:00:00,FORTH/USDT,3.4135,3.6247,3.4135,3.5951,8531.3897,30170.85034433
1658793600,2022-07-26 00:00:00,FORTH/USDT,3.4419,3.4768,3.3495,3.4112,4497.9924,15361.40422874
1658707200,2022-07-25 00:00:00,FORTH/USDT,3.5707,3.5707,3.4353,3.4416,2099.2885,7313.3857676
1658620800,2022-07-24 00:00:00,FORTH/USDT,3.5869,3.9208,3.5555,3.5557,10962.5268,40461.57010479
1658534400,2022-07-23 00:00:00,FORTH/USDT,3.4297,3.6711,3.4296,3.5768,7358.1967,26035.25495146
1658448000,2022-07-22 00:00:00,FORTH/USDT,3.5853,3.6568,3.4275,3.4456,4500.4097,16059.37729114
1658361600,2022-07-21 00:00:00,FORTH/USDT,3.4841,3.5889,3.3843,3.5763,10037.73179866,34852.23781385261
1658275200,2022-07-20 00:00:00,FORTH/USDT,3.6543,3.9323,3.4537,3.4841,14081.00148176,52064.762132767858
1658188800,2022-07-19 00:00:00,FORTH/USDT,3.6538,4.0552,3.5466,3.659,10611.22098844,38940.491500515084
1658102400,2022-07-18 00:00:00,FORTH/USDT,3.5958,3.7699,3.5416,3.6462,10016.69357652,36443.897149461874
1658016000,2022-07-17 00:00:00,FORTH/USDT,3.5542,3.7818,3.4844,3.5773,13894.79999721,50304.031726232531
1657929600,2022-07-16 00:00:00,FORTH/USDT,3.5179,3.6882,3.4344,3.5543,18249.77679797,64610.040999714313
1657843200,2022-07-15 00:00:00,FORTH/USDT,3.4669,3.5873,3.4085,3.5142,12760.7222998,44740.569746835109
1657756800,2022-07-14 00:00:00,FORTH/USDT,3.4841,3.5492,3.2747,3.4743,16574.71000465,57093.944218349825
1657670400,2022-07-13 00:00:00,FORTH/USDT,3.3906,3.6187,3.1855,3.4995,27825.97505417,95349.679251299391
1657584000,2022-07-12 00:00:00,FORTH/USDT,3.6358,3.9198,3.3455,3.3898,50284.70823709,184855.484072449636
1657497600,2022-07-11 00:00:00,FORTH/USDT,3.289,4.0153,3.2171,3.6358,63071.21035891,230082.050223190071
1657411200,2022-07-10 00:00:00,FORTH/USDT,3.5648,3.5758,3.2349,3.2753,10227.86482348,34211.006513267092
1657324800,2022-07-09 00:00:00,FORTH/USDT,3.5305,3.8008,3.4943,3.5799,25111.31629511,91452.503441992112
1657238400,2022-07-08 00:00:00,FORTH/USDT,3.5092,3.8737,3.42,3.5397,27851.22940057,99681.634607934325
1657152000,2022-07-07 00:00:00,FORTH/USDT,3.4045,3.8962,3.3252,3.5252,21470.77439516,74984.563102576569
1657065600,2022-07-06 00:00:00,FORTH/USDT,3.253,4.3862,3.2048,3.4044,125727.25776775,480599.507980914933
1656979200,2022-07-05 00:00:00,FORTH/USDT,3.3325,3.4618,3.1748,3.2492,23833.53310375,78759.696461868823
1656892800,2022-07-04 00:00:00,FORTH/USDT,3.3748,3.3854,3.2441,3.3143,20186.59130074,66920.910328783818
1656806400,2022-07-03 00:00:00,FORTH/USDT,3.9626,4.645,3.352,3.3751,193226.80533823,771110.99885732736
1656720000,2022-07-02 00:00:00,FORTH/USDT,2.8008,5.0895,2.7481,3.9479,395278.08844897,1604584.969637358894
1656633600,2022-07-01 00:00:00,FORTH/USDT,2.8442,2.9215,2.7499,2.8137,8802.87152397,24620.092666044544
1656547200,2022-06-30 00:00:00,FORTH/USDT,2.8824,2.8854,2.6675,2.841,9124.12465539,25438.640741160895
1656460800,2022-06-29 00:00:00,FORTH/USDT,2.8246,3.0893,2.78,2.8846,7612.52253726,21893.128756057501
1656374400,2022-06-28 00:00:00,FORTH/USDT,2.9938,3.1051,2.8219,2.8219,7195.85736086,21743.116939728289
1656288000,2022-06-27 00:00:00,FORTH/USDT,3.0281,3.1464,2.9552,2.9999,3636.90291963,11072.844331448491
1656201600,2022-06-26 00:00:00,FORTH/USDT,3.185,3.2721,3.0281,3.0281,6714.54304484,21273.462383682171
1656115200,2022-06-25 00:00:00,FORTH/USDT,3.0579,3.5121,3.0191,3.1775,27979.61538596,91003.125101519226
1656028800,2022-06-24 00:00:00,FORTH/USDT,3.0004,3.08,2.9244,3.0453,4233.37509836,12706.739273212854
1655942400,2022-06-23 00:00:00,FORTH/USDT,2.788,3.3654,2.788,3.0004,12370.97134324,38400.815501157105
1655856000,2022-06-22 00:00:00,FORTH/USDT,2.8266,2.8853,2.7399,2.805,3188.95719032,8908.803304958152
1655769600,2022-06-21 00:00:00,FORTH/USDT,2.8854,3.0128,2.8134,2.8155,7081.39017919,20696.392916145526
1655683200,2022-06-20 00:00:00,FORTH/USDT,2.663,3.1015,2.567,2.8936,19651.66236344,56300.518634672934
1655596800,2022-06-19 00:00:00,FORTH/USDT,2.5435,2.788,2.4398,2.6432,12012.16984225,30720.919729046652
1655510400,2022-06-18 00:00:00,FORTH/USDT,2.8311,2.8645,2.3295,2.5427,18946.56539669,48642.115999648666
1655424000,2022-06-17 00:00:00,FORTH/USDT,2.749,2.966,2.749,2.8311,6264.74815307,17696.868689585799
1655337600,2022-06-16 00:00:00,FORTH/USDT,3.012,3.1951,2.721,2.7255,22308.7557817,64587.984823654399
1655251200,2022-06-15 00:00:00,FORTH/USDT,2.9948,3.095,2.6026,2.9952,24013.07829944,68784.40802544364
1655164800,2022-06-14 00:00:00,FORTH/USDT,2.8922,3.1795,2.735,2.9851,21222.25249934,62768.511213320084
1655078400,2022-06-13 00:00:00,FORTH/USDT,3.0862,3.0862,2.618,2.8886,23362.88675312,67256.085303020303
1654992000,2022-06-12 00:00:00,FORTH/USDT,3.3747,3.5142,3.0949,3.1,20213.07909822,67388.157505587808
1654905600,2022-06-11 00:00:00,FORTH/USDT,4.3643,4.3866,3.3106,3.3645,48252.80484965,182677.580102555146
1654819200,2022-06-10 00:00:00,FORTH/USDT,3.4397,4.5941,3.36,4.3529,104991.72920656,422073.245198322779
1654732800,2022-06-09 00:00:00,FORTH/USDT,3.4069,3.7524,3.3734,3.4436,3946.86196092,13685.927374338578
1654646400,2022-06-08 00:00:00,FORTH/USDT,3.52,3.556,3.3455,3.4054,10926.21072301,37988.343653136749
1654560000,2022-06-07 00:00:00,FORTH/USDT,3.432,3.7636,3.25,3.52,20937.95987049,71029.058481955065
1654473600,2022-06-06 00:00:00,FORTH/USDT,3.4121,3.5421,3.3247,3.4356,9161.31057409,31589.741227869331
1654387200,2022-06-05 00:00:00,FORTH/USDT,3.3835,3.7669,3.2934,3.3851,14002.22461027,49198.778433266716
