https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRIAS,Volume BTC
1663459200,2022-09-18 00:00:00,TRIAS/BTC,0.00005193,0.00005232,0.00005137,0.00005188,570.7552,0.029462596862
1663372800,2022-09-17 00:00:00,TRIAS/BTC,0.0000518,0.00005358,0.00005101,0.00005193,8176.0762,0.428602864001
1663286400,2022-09-16 00:00:00,TRIAS/BTC,0.0000526,0.00005315,0.00005032,0.0000517,5454.6491,0.283800784802
1663200000,2022-09-15 00:00:00,TRIAS/BTC,0.00005291,0.00005408,0.00005138,0.00005284,9707.7783,0.509403075229
1663113600,2022-09-14 00:00:00,TRIAS/BTC,0.00005297,0.00005333,0.00005126,0.00005284,10055.345,0.523666349451
1663027200,2022-09-13 00:00:00,TRIAS/BTC,0.0000515,0.00005446,0.00004926,0.00005303,17483.0531,0.899230175458
1662940800,2022-09-12 00:00:00,TRIAS/BTC,0.00005218,0.00005372,0.00005025,0.00005141,13492.1681,0.699951734499
1662854400,2022-09-11 00:00:00,TRIAS/BTC,0.00005218,0.0000539,0.00005126,0.00005213,9252.8356,0.487176208729
1662768000,2022-09-10 00:00:00,TRIAS/BTC,0.00005432,0.00005528,0.00005125,0.00005209,8978.1445,0.471520694374
1662681600,2022-09-09 00:00:00,TRIAS/BTC,0.00006029,0.00006113,0.00005283,0.00005447,22185.7512,1.236453434421
1662595200,2022-09-08 00:00:00,TRIAS/BTC,0.0000562,0.00006071,0.00005429,0.00006071,8926.5611,0.508098420065
1662508800,2022-09-07 00:00:00,TRIAS/BTC,0.00005548,0.00005645,0.000054,0.00005644,6321.6331,0.348790003695
1662422400,2022-09-06 00:00:00,TRIAS/BTC,0.00005395,0.00005601,0.00005308,0.00005524,8335.4104,0.452354977264
1662336000,2022-09-05 00:00:00,TRIAS/BTC,0.00005442,0.00005504,0.00005308,0.0000538,7207.6664,0.387656495182
1662249600,2022-09-04 00:00:00,TRIAS/BTC,0.00005404,0.00005601,0.00005348,0.00005437,3074.5237,0.168854686656
1662163200,2022-09-03 00:00:00,TRIAS/BTC,0.00005412,0.00005489,0.00005356,0.0000538,1425.6186,0.077313319474
1662076800,2022-09-02 00:00:00,TRIAS/BTC,0.00005404,0.00005518,0.0000532,0.00005415,5624.2743,0.306033201498
1661990400,2022-09-01 00:00:00,TRIAS/BTC,0.00005476,0.00005485,0.00005295,0.00005428,6381.3473,0.343370931468
1661904000,2022-08-31 00:00:00,TRIAS/BTC,0.00005635,0.00005702,0.00005437,0.00005452,6462.7153,0.360440744002
1661817600,2022-08-30 00:00:00,TRIAS/BTC,0.00005493,0.00005739,0.00005411,0.00005646,8490.1335,0.470222731201
1661731200,2022-08-29 00:00:00,TRIAS/BTC,0.00005644,0.00005667,0.00005391,0.0000549,5499.91,0.30162003149
1661644800,2022-08-28 00:00:00,TRIAS/BTC,0.0000562,0.00005685,0.00005551,0.00005668,3363.3894,0.189094077304
1661558400,2022-08-27 00:00:00,TRIAS/BTC,0.0000553,0.00005691,0.00005499,0.00005623,6620.0235,0.37084358946
