https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTV,Volume BTC
1663459200,2022-09-18 00:00:00,MTV/BTC,0.0000000732,0.0000000754,0.0000000714,0.000000073,967449.8676,0.07088800798261
1663372800,2022-09-17 00:00:00,MTV/BTC,0.0000000563,0.0000000907,0.0000000558,0.0000000734,47066129.09637924,3.32940284264703148
1663286400,2022-09-16 00:00:00,MTV/BTC,0.0000000541,0.0000000583,0.000000054,0.0000000566,3973428.721,0.22428983999155
1663200000,2022-09-15 00:00:00,MTV/BTC,0.0000000562,0.0000000567,0.0000000533,0.0000000541,7581290.0035,0.41649842366494
1663113600,2022-09-14 00:00:00,MTV/BTC,0.0000000574,0.0000000589,0.0000000556,0.0000000562,11835409.6273,0.6684818788372
1663027200,2022-09-13 00:00:00,MTV/BTC,0.0000000595,0.0000000604,0.0000000564,0.0000000575,7478029.2925,0.4327321312862
1662940800,2022-09-12 00:00:00,MTV/BTC,0.0000000549,0.0000000628,0.0000000537,0.0000000596,12319157.2047,0.72869781693266
1662854400,2022-09-11 00:00:00,MTV/BTC,0.0000000549,0.0000000562,0.0000000546,0.0000000548,537053.5761,0.02969127651226
1662768000,2022-09-10 00:00:00,MTV/BTC,0.0000000541,0.0000000564,0.0000000531,0.0000000551,2786605.6874,0.15500261947391
1662681600,2022-09-09 00:00:00,MTV/BTC,0.0000000553,0.0000000559,0.0000000521,0.0000000539,4513980.3148,0.2439228539005
1662595200,2022-09-08 00:00:00,MTV/BTC,0.0000000564,0.0000000573,0.0000000532,0.0000000551,4105380.088,0.22550124397873
1662508800,2022-09-07 00:00:00,MTV/BTC,0.0000000547,0.0000000566,0.0000000537,0.0000000566,2070546.6634,0.11323341960022
1662422400,2022-09-06 00:00:00,MTV/BTC,0.0000000545,0.0000000562,0.0000000487,0.0000000546,6634611.2513,0.35205957346557
1662336000,2022-09-05 00:00:00,MTV/BTC,0.0000000554,0.0000000562,0.0000000522,0.0000000538,4572417.9053,0.24743416349919
1662249600,2022-09-04 00:00:00,MTV/BTC,0.0000000563,0.0000000572,0.0000000553,0.0000000558,497467.5256,0.02779381779568
1662163200,2022-09-03 00:00:00,MTV/BTC,0.0000000557,0.0000000577,0.0000000551,0.0000000572,1116669.8189,0.0634275409259
1662076800,2022-09-02 00:00:00,MTV/BTC,0.0000000555,0.0000000569,0.0000000545,0.0000000558,967996.9837,0.05413223145667
1661990400,2022-09-01 00:00:00,MTV/BTC,0.0000000542,0.0000000563,0.0000000542,0.0000000553,1453434.8436,0.08024349343254
1661904000,2022-08-31 00:00:00,MTV/BTC,0.0000000564,0.0000000564,0.0000000537,0.0000000546,6482023.6332,0.34948625824034
1661817600,2022-08-30 00:00:00,MTV/BTC,0.0000000543,0.0000000596,0.000000054,0.0000000564,3959951.8492,0.22185735355698
1661731200,2022-08-29 00:00:00,MTV/BTC,0.0000000562,0.0000000565,0.0000000538,0.0000000542,473958.6814,0.02596338691227
1661644800,2022-08-28 00:00:00,MTV/BTC,0.0000000561,0.0000000566,0.000000053,0.0000000566,1237038.9989,0.06753478199594
