https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1663545600,2022-09-19 00:00:00,BTC/EUR,19383,19401,19351,19385,0.87349150,16932.6327275
1663459200,2022-09-18 00:00:00,BTC/EUR,20090,20090,19341,19377,390.59690849,7568596.295810729
1663372800,2022-09-17 00:00:00,BTC/EUR,19777,20166,19740,20092,317.35290235,6376254.514016201
1663286400,2022-09-16 00:00:00,BTC/EUR,19728,19943,19328,19768,935.69126175,18496744.862274
1663200000,2022-09-15 00:00:00,BTC/EUR,20256,20411,19505,19730,1013.00763677,19986640.6734721
1663113600,2022-09-14 00:00:00,BTC/EUR,20215,20545,19656,20264,975.91861381,19776014.79024584
1663027200,2022-09-13 00:00:00,BTC/EUR,22108,22450,19912,20222,1066.68155528,21570434.41087216
1662940800,2022-09-12 00:00:00,BTC/EUR,21683,22221,21390,22116,749.74468858,16581353.53263528
1662854400,2022-09-11 00:00:00,BTC/EUR,21524,21749,21236,21697,538.34749250,11680525.5447725
1662768000,2022-09-10 00:00:00,BTC/EUR,21250,21690,21021,21545,557.22495056,12005411.5598152
1662681600,2022-09-09 00:00:00,BTC/EUR,19299,21500,19227,21273,1655.18088038,35210662.868323736
1662595200,2022-09-08 00:00:00,BTC/EUR,19298,19462,19078,19307,969.73754619,18722722.80429033
1662508800,2022-09-07 00:00:00,BTC/EUR,18988,19450,18754,19295,719.10364312,13875104.7940004
1662422400,2022-09-06 00:00:00,BTC/EUR,19886,20235,18848,18977,940.93209037,17856068.27895149
1662336000,2022-09-05 00:00:00,BTC/EUR,20187,20209,19780,19887,365.16248972,7261986.43306164
1662249600,2022-09-04 00:00:00,BTC/EUR,19920,20187,19681,20187,320.36184412,6467144.54725044
1662163200,2022-09-03 00:00:00,BTC/EUR,20036,20141,19765,19929,188.90060804,3764600.2176291603
1662076800,2022-09-02 00:00:00,BTC/EUR,20214,20410,19852,20044,429.23568539,8603600.07795716
1661990400,2022-09-01 00:00:00,BTC/EUR,19976,20272,19685,20224,504.83371547,10209757.06166528
1661904000,2022-08-31 00:00:00,BTC/EUR,19772,20446,19772,19975,426.28698194,8515082.4642515
1661817600,2022-08-30 00:00:00,BTC/EUR,20270,20576,19504,19763,471.96184150,9327381.8735645
1661731200,2022-08-29 00:00:00,BTC/EUR,19687,20434,19670,20281,452.40819659,9175290.63504179
1661644800,2022-08-28 00:00:00,BTC/EUR,20117,20244,19645,19683,397.78887973,7829678.51972559
1661558400,2022-08-27 00:00:00,BTC/EUR,20333,20456,19864,20133,503.48384150,10136640.1809195
1661472000,2022-08-26 00:00:00,BTC/EUR,21622,21785,20200,20336,884.09490340,17978953.9555424
1661385600,2022-08-25 00:00:00,BTC/EUR,21430,21816,21362,21636,355.20905553,7685303.1254470805
1661299200,2022-08-24 00:00:00,BTC/EUR,21591,21973,21259,21441,424.04043170,9091850.8960797
1661212800,2022-08-23 00:00:00,BTC/EUR,21518,21711,21071,21591,483.83102999,10446395.76851409
1661126400,2022-08-22 00:00:00,BTC/EUR,21448,21673,20900,21539,435.21386409,9374071.41863451
1661040000,2022-08-21 00:00:00,BTC/EUR,21070,21705,20995,21442,457.99196255,9820263.6609971
1660953600,2022-08-20 00:00:00,BTC/EUR,20749,21296,20672,21069,387.44522480,8163083.4413112
1660867200,2022-08-19 00:00:00,BTC/EUR,22972,23000,20700,20750,1050.48140413,21797489.135697503
1660780800,2022-08-18 00:00:00,BTC/EUR,22930,23244,22865,22994,339.63744999,7809623.52507006
1660694400,2022-08-17 00:00:00,BTC/EUR,23462,24041,22769,22932,814.23397469,18672013.50759108
1660608000,2022-08-16 00:00:00,BTC/EUR,23710,23893,23251,23466,562.77571450,13206094.916457001
1660521600,2022-08-15 00:00:00,BTC/EUR,23720,24600,23337,23734,464.50207502,11024492.24852468
1660435200,2022-08-14 00:00:00,BTC/EUR,23837,24400,23561,23717,334.11571620,7924222.4411154
1660348800,2022-08-13 00:00:00,BTC/EUR,23774,24241,23693,23861,603.09241949,14390388.22145089
1660262400,2022-08-12 00:00:00,BTC/EUR,23209,23823,22945,23788,367.61407272,8744803.56186336
1660176000,2022-08-11 00:00:00,BTC/EUR,23269,24077.74,23137,23211,570.40836545,13239748.57045995
1660089600,2022-08-10 00:00:00,BTC/EUR,22690.68,23520,22222,23262,715.48774231,16643675.861615222
1660003200,2022-08-09 00:00:00,BTC/EUR,23345.71,23465.05,22364.99,22673.82,440.40666544,9985701.45898678
1659916800,2022-08-08 00:00:00,BTC/EUR,22782.05,23764.58,22778.22,23370.58,415.86101090,9718913.024119323
1659830400,2022-08-07 00:00:00,BTC/EUR,22542.72,22994.79,22445,22799.27,185.44207969,4227944.044213827
1659744000,2022-08-06 00:00:00,BTC/EUR,22888.69,22923.74,22522.66,22562.86,129.55609079,2923155.93864206
1659657600,2022-08-05 00:00:00,BTC/EUR,22072,22939.36,22066.42,22891.24,553.00775519,12659033.245915536
